date,inflow (m3/d)
2015-10-24,56165.54286810362
2015-10-25,1355671.0629317916
2015-10-26,2039822.087962229
2015-10-27,1304039.5667760589
2015-10-28,899467.6682576587
2015-10-29,952112.4968737494
2015-10-30,1526677.0491821966
2015-10-31,1487973.848020126
2015-11-01,1471051.0535414475
2015-11-02,2061264.8647688949
2015-11-03,2182659.3039343143
2015-11-04,1858735.623140789
2015-11-05,3204460.008273484
2015-11-06,4925104.466246991
2015-11-07,4696923.983059784
2015-11-08,3490233.8837287114
2015-11-09,2093550.732434585
2015-11-10,1327297.7148965565
2015-11-11,1348955.672918705
2015-11-12,1391770.5963415944
2015-11-13,1746346.5051211205
2015-11-14,2387983.9489963795
2015-11-15,2245408.651173097
2015-11-16,2015014.6703209456
2015-11-17,1602174.9023615108
2015-11-18,910924.2697490512
2015-11-19,545643.1370910548
2015-11-20,322898.3258607632
2015-11-21,302666.1048651749
2015-11-22,285685.1846438477
2015-11-23,232964.609803118
2015-11-24,400997.34394552605
2015-11-25,621591.8819170328
2015-11-26,542518.2410907513
2015-11-27,330936.454515034
2015-11-28,189230.46585342195
2015-11-29,90097.44358674547
2015-11-30,48008.403969910665
2015-12-01,36071.17735416373
2015-12-02,32786.00887879512
2015-12-03,37845.60131112961
2015-12-04,37210.709076130624
2015-12-05,22729.307695062307
2015-12-06,11688.472046665083
2015-12-07,10555.191178512605
2015-12-08,10525.107595855972
2015-12-09,14747.414828269795
2015-12-10,16305.921003708803
2015-12-11,11649.462671248535
2015-12-12,9781.475449770882
2015-12-13,15506.541431097165
2015-12-14,32990.55654283081
2015-12-15,52935.6716493547
2015-12-16,55112.78653349411
2015-12-17,41474.00305527692
2015-12-18,28471.45596068281
2015-12-19,17953.325827122982
2015-12-20,11564.622696435868
2015-12-21,8768.828128438463
2015-12-22,7752.777816199194
2015-12-23,7340.942347943074
2015-12-24,6845.827281848205
2015-12-25,6086.080643371393
2015-12-26,5197.986160610696
2015-12-27,4854.108243632228
2015-12-28,4709.450229841673
2015-12-29,4698.549047492061
2015-12-30,4673.068647859186
2015-12-31,4609.08343009179
2016-01-01,4563.23125189906
2016-01-02,4478.088831413089
2016-01-03,4414.810600591278
2016-01-04,4359.2574077000845
2016-01-05,4313.044457472202
2016-01-06,4271.525091235794
2016-01-07,4232.96370827384
2016-01-08,4197.587179539954
2016-01-09,4188.331808583538
2016-01-10,4171.41466814103
2016-01-11,4122.271478805782
2016-01-12,4082.0806031097486
2016-01-13,4043.775572337145
2016-01-14,4010.760869805939
2016-01-15,3981.5971506361698
2016-01-16,3955.184923761844
2016-01-17,3929.848015786788
2016-01-18,3903.80443892098
2016-01-19,3876.6618847700265
2016-01-20,3848.153823390153
2016-01-21,3821.660517001078
2016-01-22,3797.4712731652257
2016-01-23,3776.52114860381
2016-01-24,3759.5010562608586
2016-01-25,3745.231869035201
2016-01-26,3732.154653432508
2016-01-27,3719.565676452727
2016-01-28,3707.330180712855
2016-01-29,3695.545001674383
2016-01-30,3684.7015829742354
2016-01-31,3680.97745455665
2016-02-01,3811.0699518872025
2016-02-02,3869.694844885849
2016-02-03,3893.308066966956
2016-02-04,3903.1814673808326
2016-02-05,3779.9311611825706
2016-02-06,3715.226723591686
2016-02-07,3663.849443764836
2016-02-08,3639.244306545996
2016-02-09,3627.142981010977
2016-02-10,3621.3755215998153
2016-02-11,3616.291684337455
2016-02-12,3605.5553033189553
2016-02-13,3601.2565966262227
2016-02-14,3592.737375796319
2016-02-15,3589.4264984600886
2016-02-16,3587.010725265857
2016-02-17,3584.8005867491875
2016-02-18,3583.676825653409
2016-02-19,3606.103898961446
2016-02-20,3617.427678311128
2016-02-21,3600.8611076835905
2016-02-22,3589.7531652316425
2016-02-23,3579.132849758706
