date,inflow (m3/d)
2015-10-24,28276.45556853608
2015-10-25,682630.1260000867
2015-10-26,1029260.6386795808
2015-10-27,647240.1215278961
2015-10-28,438789.0513557892
2015-10-29,478722.9338596647
2015-10-30,783818.2167066846
2015-10-31,722447.3092953336
2015-11-01,678409.9176848636
2015-11-02,854171.6749848553
2015-11-03,698856.160219109
2015-11-04,715609.4706210034
2015-11-05,1234768.060063561
2015-11-06,1650401.739045851
2015-11-07,1514895.8874208308
2015-11-08,1042944.9769057971
2015-11-09,590669.9679047607
2015-11-10,442587.5972628125
2015-11-11,604311.784647383
2015-11-12,578811.8637879544
2015-11-13,382913.4560742871
2015-11-14,389518.7917780228
2015-11-15,338824.06249984715
2015-11-16,302404.76410820946
2015-11-17,277219.4019177799
2015-11-18,158496.12540846362
2015-11-19,106526.34834224304
2015-11-20,71295.43685103006
2015-11-21,64604.452407991965
2015-11-22,57620.12428678862
2015-11-23,51554.223267930975
2015-11-24,50661.96571662775
2015-11-25,49142.86076015032
2015-11-26,43457.3985742437
2015-11-27,26093.36076436208
2015-11-28,16438.649490501622
2015-11-29,10563.673651777288
2015-11-30,8144.843754940416
2015-12-01,7242.056876310099
2015-12-02,6367.906406414616
2015-12-03,7961.543547796474
2015-12-04,7915.483141556051
2015-12-05,5643.172882334932
2015-12-06,4740.022613833592
2015-12-07,4985.536815887454
2015-12-08,5449.416867460101
2015-12-09,7063.293060676569
2015-12-10,7110.255861854208
2015-12-11,5056.201209456193
2015-12-12,5142.897866011372
2015-12-13,9281.419744482386
2015-12-14,15089.828910146764
2015-12-15,16330.548306902409
2015-12-16,12712.514293765082
2015-12-17,8348.314803391779
2015-12-18,5485.143966008965
2015-12-19,3818.15687397484
2015-12-20,3126.407152176778
2015-12-21,2973.5839615086115
2015-12-22,2938.6688324635065
2015-12-23,2869.4974127114388
2015-12-24,2648.621596838564
2015-12-25,2403.915271167508
2015-12-26,2267.784642429576
2015-12-27,2237.557856811048
2015-12-28,2210.349697735888
2015-12-29,2206.1520590804007
2015-12-30,2691.079493933526
2015-12-31,3258.924181442145
2016-01-01,3081.263110820148
2016-01-02,2676.744958674102
2016-01-03,2397.4059806813466
2016-01-04,2189.076561586843
2016-01-05,2092.187028331872
2016-01-06,2052.94884672043
2016-01-07,2032.484908105008
2016-01-08,2017.5297377851264
2016-01-09,2098.001014270845
2016-01-10,2205.918442917916
2016-01-11,2157.5686829366737
2016-01-12,2048.3318111857257
2016-01-13,1975.722808394681
2016-01-14,1915.6224345947712
2016-01-15,1882.837110757136
2016-01-16,1864.607680997747
2016-01-17,1851.98851816844
2016-01-18,1839.7681936437489
2016-01-19,1831.5250150434736
2016-01-20,1902.1463904737752
2016-01-21,2014.3416614170264
2016-01-22,1991.62104307766
2016-01-23,1901.65203541192
2016-01-24,1843.6237202960497
2016-01-25,1796.7724805183157
2016-01-26,1773.77187606948
2016-01-27,1763.2042109030392
2016-01-28,1757.2376883163306
2016-01-29,1751.7666853614555
2016-01-30,1746.7273341828718
2016-01-31,1738.5980461224594
2016-02-01,1730.2316432964824
2016-02-02,1729.4939028958463
2016-02-03,1803.9503907518
2016-02-04,1832.368188172188
2016-02-05,1778.2957288800374
2016-02-06,1753.5912778186532
2016-02-07,1726.3641602293258
2016-02-08,1712.7517660046324
2016-02-09,1709.737663179505
2016-02-10,1784.3048316681554
2016-02-11,1813.7039016224933
2016-02-12,1761.60186047846
2016-02-13,1738.0386537419404
2016-02-14,1708.5579195412918
2016-02-15,1695.8619073264265
2016-02-16,1690.4272164463152
2016-02-17,1688.6806428378154
2016-02-18,1690.4762140154746
2016-02-19,1764.1280256094742
2016-02-20,1793.623485748545
2016-02-21,1740.6082749484283
2016-02-22,1718.5397962232707
2016-02-23,1693.797721722602
2016-02-24,1682.1825796869955
2016-02-25,1677.5258778224006
2016-02-26,1676.3790920038416
2016-02-27,1675.4777344146617
2016-02-28,1674.6523527835727
2016-02-29,1673.8756751325686
2016-03-01,1669.8569667821798
2016-03-02,1668.9382556324113
2016-03-03,1668.0468140140606
2016-03-04,1667.230910416774
2016-03-05,1666.4548174973395
2016-03-06,1665.7121203345785
2016-03-07,1664.9847338418
2016-03-08,1664.158182747581
2016-03-09,1663.285699643406
2016-03-10,1662.479420874454
2016-03-11,1905.564873097195
2016-03-12,8515.821337599908
2016-03-13,33961.2505732818
2016-03-14,43964.01880880181
2016-03-15,30200.332754033618
2016-03-16,35904.551856287995
2016-03-17,194316.06244828965
2016-03-18,252067.729073098
2016-03-19,143029.29808887903
2016-03-20,94850.2364198779
2016-03-21,42796.206141066206
2016-03-22,19784.61417023108
2016-03-23,12063.328625976428
2016-03-24,12478.146543262808
2016-03-25,12896.478305795608
2016-03-26,11784.939689980338
2016-03-27,10721.81807093642
2016-03-28,2968.5394896473435
2016-03-29,2465.9332782473807
2016-03-30,2547.664805387376
2016-03-31,2591.59145520075
2016-04-01,2408.1358048772863
2016-04-02,2312.153755436741
2016-04-03,2200.930714484087
2016-04-04,2068.6573616999963
2016-04-05,2020.3965543137097
2016-04-06,1993.242060873928
2016-04-07,1968.5612314997684
2016-04-08,2133.38687669058
2016-04-09,6833.200382946912
2016-04-10,17565.31912425665
2016-04-11,18729.488547363355
2016-04-12,12082.442497701428
2016-04-13,8367.555236471573
2016-04-14,5080.829687006074
2016-04-15,5212.392723055221
2016-04-16,5356.225066518763
2016-04-17,4197.86190551192
2016-04-18,3678.400965812509
2016-04-19,3112.6524308642533
2016-04-20,2726.911599506315
2016-04-21,2320.0072826237165
2016-04-22,2252.2919521148697
2016-04-23,2153.737218355206
2016-04-24,2083.681505878649
2016-04-25,2026.4585961042465
2016-04-26,1939.417214603161
2016-04-27,2372.578740884716
2016-04-28,2546.725075706791
2016-04-29,2425.9980403406303
2016-04-30,2585.85636398453
2016-05-01,5777.291391043974
2016-05-02,7017.218660023828
2016-05-03,4699.025909538517
2016-05-04,3716.9836584477753
2016-05-05,3034.5552183522705
2016-05-06,7031.006336709426
2016-05-07,8793.35162343017
2016-05-08,8003.111894476007
2016-05-09,20173.62064174276
2016-05-10,23730.569387614367
2016-05-11,25904.641710361488
2016-05-12,103458.14243403732
2016-05-13,127971.34712885134
2016-05-14,74345.4245788309
2016-05-15,55284.01819921581
2016-05-16,132136.97650204526
2016-05-17,322248.7160057004
2016-05-18,698651.5090649264
2016-05-19,742053.3610764989
2016-05-20,430027.2843625317
2016-05-21,261791.2596066214
2016-05-22,116271.20298387112
2016-05-23,51085.06059483002
2016-05-24,31792.477043927585
2016-05-25,30831.79978321949
2016-05-26,30562.908160038995
2016-05-27,26585.430969283618
2016-05-28,26970.73457311951
2016-05-29,14818.846859392765
2016-05-30,10677.736259299703
2016-05-31,7794.358420222388
2016-06-01,5241.864979871479
2016-06-02,8566.115396088373
2016-06-03,12620.816934585771
2016-06-04,10926.735730597193
2016-06-05,8657.127371584484
2016-06-06,8328.587868757739
2016-06-07,8046.707840668132
2016-06-08,12630.802021174914
2016-06-09,71747.03482406378
2016-06-10,163941.35760411876
2016-06-11,158437.86926333647
2016-06-12,97785.55975596073
2016-06-13,59616.59993278302
2016-06-14,27441.019490439365
2016-06-15,13753.60665269041
2016-06-16,9451.608899883362
2016-06-17,11368.57952484508
2016-06-18,16954.105704030088
2016-06-19,17199.67884408969
2016-06-20,10974.143588338737
2016-06-21,5932.525681947019
2016-06-22,4313.761059459818
2016-06-23,7521.496347394835
2016-06-24,14706.360360325249
2016-06-25,16302.433997396518
2016-06-26,12326.307683348074
2016-06-27,8756.628817551427
2016-06-28,12342.55634594465
2016-06-29,20039.739548728063
2016-06-30,25125.975238069
2016-07-01,22329.694315311885
2016-07-02,14362.363172787209
2016-07-03,9342.621101759414
2016-07-04,6215.529153077571
2016-07-05,18824.090774661265
2016-07-06,73318.19410122854
2016-07-07,87975.43977482407
2016-07-08,58381.74399906433
2016-07-09,131626.76298193162
2016-07-10,156452.3970910167
2016-07-11,92003.95889329143
2016-07-12,63913.64662398448
2016-07-13,36629.5394817075
2016-07-14,21010.86750382408
2016-07-15,15138.608734076755
2016-07-16,41188.88623215967
2016-07-17,139226.3375808777
2016-07-18,205193.1807698068
2016-07-19,274786.13326156384
2016-07-20,263818.69275206985
2016-07-21,147720.12968282474
2016-07-22,88140.36221143801
2016-07-23,42548.20631608528
2016-07-24,26959.735747938463
2016-07-25,33860.47098729994
2016-07-26,218893.1601983689
2016-07-27,359642.39248129865
2016-07-28,482429.8285988557
2016-07-29,690803.471993557
2016-07-30,573182.4181518882
2016-07-31,338189.64587914106
2016-08-01,191192.19498836028
2016-08-02,89307.6243996679
2016-08-03,46733.66371641621
2016-08-04,34591.537129749944
2016-08-05,33335.66095261369
2016-08-06,26039.11773716016
2016-08-07,23544.113464957525
2016-08-08,13618.708273549217
2016-08-09,3659.130488784588
2016-08-10,2759.473073911182
2016-08-11,4154.018365871018
2016-08-12,4799.254722425634
2016-08-13,6715.825772663499
2016-08-14,7685.118037635485
2016-08-15,10518.553537929833
2016-08-16,11658.768784182492
2016-08-17,7122.928854239436
2016-08-18,5212.133141386098
2016-08-19,3584.063555855468
2016-08-20,2899.2167247298494
