date,inflow (m3/d)
2015-10-24,102564.33571107636
2015-10-25,2479495.79658228
2015-10-26,3823136.02226811
2015-10-27,2626926.000697683
2015-10-28,1919482.6439927327
2015-10-29,1186177.013905385
2015-10-30,991932.2172678736
2015-10-31,861452.3438393105
2015-11-01,1503933.932133789
2015-11-02,2566025.9392034328
2015-11-03,2967356.3012307147
2015-11-04,3182403.78689199
2015-11-05,3913785.3418658767
2015-11-06,4497729.352997617
2015-11-07,3728970.924629221
2015-11-08,2674502.525359769
2015-11-09,2193662.770269236
2015-11-10,2221877.9814452305
2015-11-11,1891201.2823061848
2015-11-12,1286684.919901887
2015-11-13,933324.905361356
2015-11-14,700910.8286439232
2015-11-15,550002.1078334941
2015-11-16,465932.6550876666
2015-11-17,414580.6606194358
2015-11-18,376010.92260187375
2015-11-19,1327029.0760046334
2015-11-20,2612225.947046493
2015-11-21,2407612.4016235624
2015-11-22,1535506.7624724845
2015-11-23,902620.2619401125
2015-11-24,455864.6834110002
2015-11-25,256422.2592808581
2015-11-26,180652.4065934029
2015-11-27,149605.04857740385
2015-11-28,130429.45806885728
2015-11-29,127300.19639908732
2015-11-30,152479.91311636416
2015-12-01,317274.9648581665
2015-12-02,407862.9561458496
2015-12-03,536270.1347807193
2015-12-04,1228396.1227770825
2015-12-05,1774848.574837388
2015-12-06,1467718.670805863
2015-12-07,928582.7250391204
2015-12-08,559183.1493771843
2015-12-09,311007.21988594753
2015-12-10,233500.61952684048
2015-12-11,225010.10314493856
2015-12-12,196236.29717206245
2015-12-13,187866.79208825028
2015-12-14,545221.6239239655
2015-12-15,1192788.6960261776
2015-12-16,1206899.4381240692
2015-12-17,774829.5445077615
2015-12-18,472204.3561725997
2015-12-19,226270.21874824128
2015-12-20,108564.12218404132
2015-12-21,67702.02431823646
2015-12-22,60657.80182489711
2015-12-23,58697.38405447009
2015-12-24,57031.831487562005
2015-12-25,40312.77950489553
2015-12-26,15463.753368627573
2015-12-27,11952.37040481122
2015-12-28,11328.743011156172
2015-12-29,12780.869951821242
2015-12-30,14751.18766800719
2015-12-31,16713.033406737708
2016-01-01,16649.942705934158
2016-01-02,14384.125266852385
2016-01-03,12813.90390890227
2016-01-04,11411.851715690598
2016-01-05,10681.63509767951
2016-01-06,10233.569710661155
2016-01-07,10851.107381969552
2016-01-08,11995.269297154617
2016-01-09,12877.174286216474
2016-01-10,12815.667840964516
2016-01-11,11754.99027752855
2016-01-12,10913.184295249685
2016-01-13,10903.4617017546
2016-01-14,11217.049814220734
2016-01-15,10646.12439874077
2016-01-16,9925.476362291942
2016-01-17,9461.209604982996
2016-01-18,9185.206985411152
2016-01-19,9057.67928219346
2016-01-20,9781.959578146803
2016-01-21,10462.32604434282
2016-01-22,10458.526365671303
2016-01-23,10163.590138063242
2016-01-24,9456.865685573535
2016-01-25,8999.074230922777
2016-01-26,8639.737185753424
2016-01-27,8374.946928479303
2016-01-28,8221.313236252736
2016-01-29,8119.348480128016
2016-01-30,8049.79996968168
2016-01-31,7963.567037062087
2016-02-01,7992.314862848871
2016-02-02,8068.452441717899
2016-02-03,10297.9437137541
2016-02-04,11241.463629229154
2016-02-05,9693.154854208184
2016-02-06,9123.6602939909
2016-02-07,9456.788104661866
2016-02-08,9927.699932508554
2016-02-09,9386.576376507091
2016-02-10,10012.997221228785
2016-02-11,10443.176012230731
2016-02-12,9612.486706678628
2016-02-13,8898.509405345392
2016-02-14,8295.888138366798
2016-02-15,8295.834484964313
2016-02-16,8337.649568791174
2016-02-17,8187.533220414097
2016-02-18,8226.104536472907
2016-02-19,8816.18174559938
2016-02-20,9101.129975193351
2016-02-21,8991.66154729656
2016-02-22,8830.23250255718
2016-02-23,8467.495328974406
2016-02-24,8250.311297789925
2016-02-25,8156.694844725036
2016-02-26,8246.949091298015
2016-02-27,8230.033125211781
2016-02-28,8412.984524075167
2016-02-29,9858.477477189874
2016-03-01,10901.5286134567
2016-03-02,10557.918743298862
2016-03-03,10573.109261956732
2016-03-04,11101.50913252693
2016-03-05,10779.290357713193
2016-03-06,11280.397185268455
2016-03-07,11618.238128069794
2016-03-08,17701.354965316856
2016-03-09,21433.26026376618
2016-03-10,17779.008564744534
2016-03-11,19068.545120173527
2016-03-12,110268.49529966264
2016-03-13,1029861.2313928824
2016-03-14,2311731.3957545045
2016-03-15,2226807.8679391765
2016-03-16,1909479.8172840567
2016-03-17,1913431.758586845
2016-03-18,1339271.3609917415
2016-03-19,788163.3373847611
2016-03-20,450587.9850421739
2016-03-21,252380.94457210315
2016-03-22,166895.25362940805
2016-03-23,142261.81271164832
2016-03-24,102549.80427541418
2016-03-25,58389.33156391307
2016-03-26,53555.65469742185
2016-03-27,30230.00898185605
2016-03-28,13255.289214886316
2016-03-29,12134.683663365868
2016-03-30,16662.62384541607
2016-03-31,18963.811965916106
2016-04-01,16172.736377364708
2016-04-02,13695.909232028687
2016-04-03,11834.866297282308
2016-04-04,10648.122810606676
2016-04-05,9921.603188489977
2016-04-06,9723.467093818595
2016-04-07,9808.485570785646
2016-04-08,9955.491122777486
2016-04-09,15707.33974252103
2016-04-10,22617.81634061229
2016-04-11,22132.57785547956
2016-04-12,17986.002804361022
2016-04-13,13953.18468561184
2016-04-14,11355.17507975846
2016-04-15,15117.268943422583
2016-04-16,18379.315273360666
2016-04-17,15496.520159655183
2016-04-18,12872.489142910748
2016-04-19,10668.741619902934
2016-04-20,9894.27166084116
2016-04-21,10417.867386669388
2016-04-22,10213.152743850313
2016-04-23,9352.653431723018
2016-04-24,9018.640743595985
2016-04-25,11270.650101551822
2016-04-26,12042.904637493668
2016-04-27,10226.738015338113
2016-04-28,9338.453360257525
2016-04-29,8526.879712430591
2016-04-30,8288.723366244183
2016-05-01,8656.94828225196
2016-05-02,8598.098818080764
2016-05-03,8108.486100467113
2016-05-04,7860.142849671904
2016-05-05,8275.17016936225
2016-05-06,21943.25205073493
2016-05-07,32373.89863563552
2016-05-08,29832.019638976155
2016-05-09,28860.849749574685
2016-05-10,31010.34132746152
2016-05-11,210108.88030593205
2016-05-12,495589.356790386
2016-05-13,732497.247263394
2016-05-14,686393.5439749209
2016-05-15,419119.5354040581
2016-05-16,336126.0963849689
2016-05-17,1499180.7006296548
2016-05-18,3125553.7621484403
2016-05-19,3520349.589922719
2016-05-20,2759826.8487401693
2016-05-21,1606102.3534427353
2016-05-22,841212.4699553053
2016-05-23,378841.0429433245
2016-05-24,199178.65759348831
2016-05-25,157271.53114670338
2016-05-26,159263.66681227507
2016-05-27,160862.213790464
2016-05-28,139337.64233500816
2016-05-29,295475.8932496688
2016-05-30,344160.0071429382
2016-05-31,214040.88740020312
2016-06-01,140745.2651606255
2016-06-02,72026.2343594813
2016-06-03,39594.86125961674
2016-06-04,28947.81401256689
2016-06-05,32646.203476408784
2016-06-06,38888.0585411742
2016-06-07,36856.22743146165
2016-06-08,32876.32128046965
2016-06-09,51808.1166488285
2016-06-10,71318.81583796507
2016-06-11,57540.364944224304
2016-06-12,43325.85550225129
2016-06-13,29505.74456417822
2016-06-14,20091.157074723225
2016-06-15,15434.23910410859
2016-06-16,13439.940372134468
2016-06-17,14322.804320960971
2016-06-18,56093.89832742571
2016-06-19,576777.0566637054
2016-06-20,1392914.7398585312
2016-06-21,1371177.0430450535
2016-06-22,843292.6708428807
2016-06-23,510151.6633432261
2016-06-24,263950.6781649273
2016-06-25,404437.2805902181
2016-06-26,670206.1093788367
2016-06-27,599167.2405051291
2016-06-28,407044.0090085372
2016-06-29,268070.22212787834
2016-06-30,147716.11656489957
2016-07-01,68180.57107663513
2016-07-02,47912.23275369279
2016-07-03,41216.22720359022
2016-07-04,37101.61162248915
2016-07-05,35140.25583498445
2016-07-06,23106.08101954668
2016-07-07,17275.283852386292
2016-07-08,19036.82010549397
2016-07-09,36782.084203143066
2016-07-10,65672.94878660057
2016-07-11,66922.21945432622
2016-07-12,74088.16201870107
2016-07-13,200624.89080697647
2016-07-14,245200.23056300165
2016-07-15,165230.0134902017
2016-07-16,351841.28072956915
2016-07-17,586817.6633925005
2016-07-18,561019.460931412
2016-07-19,1097816.6468100494
2016-07-20,1939011.0488046904
2016-07-21,1720997.180774992
2016-07-22,1042027.9587863288
2016-07-23,606468.0299971607
2016-07-24,291075.48241004185
2016-07-25,197625.4689032797
2016-07-26,892955.5886753364
2016-07-27,1722126.3928411591
2016-07-28,2683438.5692713736
2016-07-29,3694585.968512472
2016-07-30,3112694.316238197
2016-07-31,2421200.2738212044
2016-08-01,2065376.437788604
2016-08-02,1315313.6170304902
2016-08-03,784922.9385512876
2016-08-04,464545.40514156816
2016-08-05,296300.046699817
2016-08-06,197863.2721352125
2016-08-07,159293.60702560272
2016-08-08,105114.98298995972
