date,inflow (m3/d)
2015-10-24,6365.983813925956
2015-10-25,157762.33206821364
2015-10-26,332260.6121700548
2015-10-27,344016.9509755777
2015-10-28,269605.7908254117
2015-10-29,238570.96588214044
2015-10-30,307516.6048746748
2015-10-31,328422.72043454106
2015-11-01,348921.11417386687
2015-11-02,467714.0899516168
2015-11-03,533489.2884714658
2015-11-04,545962.2855358433
2015-11-05,818221.9160389582
2015-11-06,930298.4179706388
2015-11-07,750457.0448211747
2015-11-08,604891.2095887595
2015-11-09,387118.99227575207
2015-11-10,256525.4436059784
2015-11-11,260637.61359012884
2015-11-12,255688.14715181003
2015-11-13,227160.8803982931
2015-11-14,246855.46616534304
2015-11-15,223233.5956842081
2015-11-16,189128.49429581704
2015-11-17,160750.1811800982
2015-11-18,97481.73519266488
2015-11-19,60844.311376490674
2015-11-20,38309.590944822514
2015-11-21,26112.64736432309
2015-11-22,17780.799335740892
2015-11-23,15410.447086284035
2015-11-24,13496.5820220358
2015-11-25,9708.574641463734
2015-11-26,7752.385825859641
2015-11-27,4708.785837776953
2015-11-28,3402.440378409139
2015-11-29,2809.7968827587065
2015-11-30,4947.919811099689
2015-12-01,7852.814156985377
2015-12-02,9320.716690392712
2015-12-03,9990.70899108496
2015-12-04,8295.367237959897
2015-12-05,6327.792818041185
2015-12-06,5086.65928943698
2015-12-07,5120.037381839201
2015-12-08,5137.287011903149
2015-12-09,5652.786407490611
2015-12-10,6198.709435274687
2015-12-11,5405.570098339435
2015-12-12,4886.548392354045
2015-12-13,6036.367524254593
2015-12-14,14487.970607763047
2015-12-15,24415.35556813133
2015-12-16,27101.447277359795
2015-12-17,22461.59683818862
2015-12-18,14865.608405263129
2015-12-19,9154.088036434485
2015-12-20,5434.865639001492
2015-12-21,3645.785838005156
2015-12-22,2801.84260069616
2015-12-23,2433.939064410096
2015-12-24,2127.297858957691
2015-12-25,1622.5088960081089
2015-12-26,1158.410768921064
2015-12-27,836.7345540478541
2015-12-28,711.4626595732033
2015-12-29,637.996924731574
2015-12-30,588.390936266304
2015-12-31,575.1756677433197
2016-01-01,555.6402094539629
2016-01-02,511.3232280792662
2016-01-03,482.5784507256605
2016-01-04,455.7582647129549
2016-01-05,436.5602503605821
2016-01-06,421.9525867430477
2016-01-07,410.1866965064592
2016-01-08,400.92987228415774
2016-01-09,419.0539402661559
2016-01-10,421.3158678947203
2016-01-11,394.50042089892
2016-01-12,380.43928067436
2016-01-13,365.8079219723251
2016-01-14,356.4132185365862
2016-01-15,349.88398601286525
2016-01-16,345.00843306942045
2016-01-17,340.48931927575967
2016-01-18,336.2932855738512
2016-01-19,332.3729002029091
2016-01-20,328.6473429851885
2016-01-21,351.1384994474064
2016-01-22,358.000365940511
2016-01-23,338.032529241912
2016-01-24,328.50953472244606
2016-01-25,318.01715313319875
2016-01-26,312.1390033030454
2016-01-27,308.57020796909086
2016-01-28,306.26551664594206
2016-01-29,304.1318825476848
2016-01-30,302.0932538723808
2016-01-31,300.12595266155614
2016-02-01,297.1749568069584
2016-02-02,296.6522190217949
2016-02-03,320.9919199161437
2016-02-04,329.5169831685312
2016-02-05,311.00322707459134
2016-02-06,302.8203125240313
2016-02-07,293.5919615483318
2016-02-08,288.8399802443241
2016-02-09,286.4402467995888
2016-02-10,285.1904699353728
2016-02-11,283.9739616059127
2016-02-12,282.8810028967027
2016-02-13,281.84030793504866
2016-02-14,279.7161494240131
2016-02-15,278.7419890852733
2016-02-16,277.7773410324058
2016-02-17,276.8126758534944
2016-02-18,276.9600159746986
2016-02-19,301.4755302368621
2016-02-20,310.6040609288649
2016-02-21,293.3163474694272
2016-02-22,285.9697703154009
2016-02-23,277.52551500786626
2016-02-24,273.4958337660058
2016-02-25,271.6710602622135
2016-02-26,270.9534992169715
2016-02-27,270.2406967612329
2016-02-28,269.64196589194273
2016-02-29,269.09075730674016
2016-03-01,267.4703046694349
2016-03-02,266.8620419416829
2016-03-03,266.2158254869555
2016-03-04,265.6455336122227
2016-03-05,265.1038397594467
2016-03-06,264.6001143131184
2016-03-07,264.11066463530017
2016-03-08,263.63067341867713
2016-03-09,263.15549461622595
2016-03-10,262.7895970052381
2016-03-11,377.2840177779437
2016-03-12,3654.695874818339
2016-03-13,19587.759004670785
2016-03-14,29478.8633042993
2016-03-15,25041.313936670984
2016-03-16,19246.3003839554
2016-03-17,11735.26742867574
2016-03-18,6933.666048816018
2016-03-19,4228.503136140684
2016-03-20,3086.657540852495
2016-03-21,2572.948916261395
2016-03-22,2343.7507334764173
2016-03-23,2639.547639461468
2016-03-24,3286.60219312471
2016-03-25,3278.755805045285
2016-03-26,2596.726915207874
2016-03-27,2379.6520942641782
2016-03-28,1984.3629292034807
2016-03-29,1717.847845931209
2016-03-30,1988.834721332256
2016-03-31,2000.6527089492604
2016-04-01,1523.349124107313
2016-04-02,1455.5095491507466
2016-04-03,1261.086800838371
2016-04-04,956.6651605583404
2016-04-05,825.8334548818032
2016-04-06,712.2087134376624
2016-04-07,639.9120013400477
2016-04-08,728.7076093380566
2016-04-09,3987.653061308308
2016-04-10,8889.858950201333
2016-04-11,9844.10125228256
2016-04-12,7799.644369093489
2016-04-13,5479.572183712759
2016-04-14,3644.4555859303673
2016-04-15,2561.0499959241747
2016-04-16,2054.559072671804
2016-04-17,1728.5111746494306
2016-04-18,1503.8469147801052
2016-04-19,1343.4293357639078
2016-04-20,1122.9514113708892
2016-04-21,926.6041084162292
2016-04-22,795.4491782999866
2016-04-23,702.2010253833014
2016-04-24,633.4207910474256
2016-04-25,579.4382703202042
2016-04-26,543.0142280185199
2016-04-27,641.0619212219337
2016-04-28,669.4644789230256
