date,inflow (m3/d)
2015-10-24,243858.39664406708
2015-10-25,5970166.467449431
2015-10-26,10889807.06984909
2015-10-27,8776874.279414063
2015-10-28,5918194.645290682
2015-10-29,4543808.720198788
2015-10-30,5616196.083679578
2015-10-31,10170549.691426149
2015-11-01,13180498.280148476
2015-11-02,11028492.52779755
2015-11-03,7859537.444544439
2015-11-04,5082316.373123504
2015-11-05,5472293.719222909
2015-11-06,7317338.422849168
2015-11-07,7119967.984005801
2015-11-08,8564072.970327767
2015-11-09,10160812.369546076
2015-11-10,9173666.904314367
2015-11-11,6794249.70087855
2015-11-12,4249033.403866681
2015-11-13,3280748.83444492
2015-11-14,4772904.2960504815
2015-11-15,7067687.966721139
2015-11-16,6606123.79466177
2015-11-17,4957656.88832221
2015-11-18,4077552.089572712
2015-11-19,3246136.0042785746
2015-11-20,3335679.422782309
2015-11-21,3069060.9129739315
2015-11-22,2085320.417928716
2015-11-23,1629355.5741600129
2015-11-24,1475113.4993234945
2015-11-25,1594303.4222029266
2015-11-26,1446166.436654288
2015-11-27,982671.3977876446
2015-11-28,627037.9542667423
2015-11-29,409852.40620540624
2015-11-30,1232094.1340003395
2015-12-01,2641393.7275317204
2015-12-02,3098368.75991116
2015-12-03,2591446.495597596
2015-12-04,1896102.0472109923
2015-12-05,1311786.0611745229
2015-12-06,887268.014850046
2015-12-07,1432101.611886897
2015-12-08,1886877.5153397776
2015-12-09,3234709.1996311806
2015-12-10,5459667.211773714
2015-12-11,5088862.871131095
2015-12-12,3656538.317490975
2015-12-13,2535515.4046421945
2015-12-14,1452624.236510775
2015-12-15,858877.7952296056
2015-12-16,644350.0454052621
2015-12-17,566919.4513417785
2015-12-18,431907.5731128241
2015-12-19,366180.4938414984
2015-12-20,258598.813654532
2015-12-21,153335.61344602398
2015-12-22,112501.00114426648
2015-12-23,77120.3239968202
2015-12-24,52455.20702035824
2015-12-25,38091.181472861135
2015-12-26,29544.68866495828
2015-12-27,22826.421650248743
2015-12-28,51940.88251929619
2015-12-29,236172.6230709705
2015-12-30,464560.9727019888
2015-12-31,439249.9127979445
2016-01-01,282367.7529316376
2016-01-02,168557.7496894431
2016-01-03,83282.08820803011
2016-01-04,44568.555646597146
2016-01-05,32355.11358366858
2016-01-06,30363.66858638341
2016-01-07,29728.00861596716
2016-01-08,28270.251542178285
2016-01-09,20838.196346427903
2016-01-10,13002.414221074308
2016-01-11,11820.756039606384
2016-01-12,11406.491097332771
2016-01-13,11143.628717150574
2016-01-14,10994.266574627793
2016-01-15,10958.75472579853
2016-01-16,10821.34112016575
2016-01-17,10700.141142167213
2016-01-18,10571.41417653133
2016-01-19,10362.33171125936
2016-01-20,10207.744294939888
2016-01-21,10350.795006436882
2016-01-22,10377.36007088774
2016-01-23,10103.282979695246
2016-01-24,9921.786363603713
2016-01-25,9739.468432089703
2016-01-26,9607.540269100884
2016-01-27,9512.442805973904
2016-01-28,9431.972390682786
2016-01-29,9359.218597102295
2016-01-30,9308.453205828197
2016-01-31,9829.90350506386
