date,outflow (m3/d)
2017-08-02,368857.66451473767
2017-08-14,699315.3439972624
2017-08-17,1129189.8683598647
2017-08-30,506364.2332337666
2017-09-06,1228429.2827037887
2017-09-11,1512213.6704372964
2017-09-15,552028.1627907826
2017-09-26,622900.1760527635
2017-10-01,0.0
2017-10-16,801474.8365678587
2017-10-17,215004.03995787405
2017-10-21,1261905.9788259072
2017-11-02,177076.16662935502
2017-11-05,1157151.4201732192
2017-11-10,543075.461045951
2017-11-18,77848.12247190178
2017-11-25,0.0
2017-11-30,449552.581770164
2017-12-04,2044234.930864848
2017-12-05,0.0
2017-12-15,261510.5194316632
2017-12-20,0.0
2017-12-25,0.0
2018-01-04,457151.3432010132
2018-01-05,0.0
2018-01-14,0.0
2018-01-21,0.0
2018-01-24,46280.87891065765
2018-01-29,274065.21569249214
2018-02-03,0.0
2018-02-06,634758.8124137314
2018-02-08,0.0
2018-02-13,3789340.6518192096
2018-02-18,973535.9696446258
2018-02-22,0.0
2018-02-23,911317.3866289086
2018-02-28,0.0
2018-03-05,200375.95315947928
2018-03-10,339084.3624118052
2018-03-15,195458.55702746203
2018-03-20,763259.7065066919
2018-03-25,444643.9204022592
2018-03-26,658884.515189464
2018-03-30,384616.32007607137
2018-04-04,126719.31767186506
2018-04-09,523380.6443224888
2018-04-11,1618086.218302715
2018-04-14,556125.2354598772
2018-04-19,301764.0115493034
2018-04-24,145115.87966618064
2018-04-27,57598.13639228525
2018-04-29,71971.91533787167
2018-05-09,27542.588946733355
2018-05-13,752659.2021047832
2018-05-14,1182919.7554549724
2018-05-19,473893.4851870029
2018-05-24,325978.5469701337
2018-05-29,243510.79686013583
2018-06-03,553199.0054970953
2018-06-08,136847.4039279579
2018-06-13,26473.10274174644
2018-06-14,0.0
2018-06-18,88118.99899958888
2018-06-23,33789.611764198824
2018-06-28,13189.233071236133
2018-06-30,0.0
2018-07-03,146881.21920175717
2018-07-08,291163.39689963235
2018-07-13,217540.21085750352
2018-07-18,896479.9847002636
2018-07-23,1344227.6177047824
2018-07-28,85285.09408804747
2018-08-01,0.0
2018-08-02,0.0
2018-08-07,0.0
2018-08-12,2276137.4242130104
2018-08-17,3092652.01862659
2018-08-22,3731022.3793303184
2018-08-27,117893.8208719655
2018-09-01,0.0
2018-09-02,99712.50678918396
2018-09-06,892229.7939832633
2018-09-11,0.0
2018-09-21,140684.9445703471
2018-09-26,1012577.875958569
2018-10-01,2340215.623299875
2018-10-04,2669303.932339148
2018-10-06,2905614.8828120423
2018-10-11,1560643.6787259353
2018-10-16,517748.82856628735
2018-10-20,1151568.6813675696
2018-10-21,2663636.947138144
2018-10-26,1027884.147692577
2018-10-31,128195.34977678682
2018-11-05,157112.118210229
2018-11-10,137189.52555616165
2018-11-15,45387.65943324601
2018-11-20,2001654.999564346
2018-11-21,2597550.885364086
2018-11-25,425911.6881972573
2018-11-30,117421.71149741452
2018-12-07,22482.254395839394
2018-12-10,27136.106062908297
2018-12-15,0.0
2018-12-20,10651.244632560818
2018-12-23,0.0
2018-12-25,0.0
2018-12-30,0.0
2019-01-04,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-14,0.0
2019-01-19,0.0
2019-01-24,0.0
2019-01-29,0.0
2019-02-03,20892.03140638389
2019-02-08,92618.40338577784
2019-02-09,0.0
2019-02-13,918104.1660912782
2019-02-18,358514.3630269751
2019-02-23,56704.44910070732
2019-02-25,1693934.0456027016
2019-02-28,0.0
2019-03-05,1144053.866846937
2019-03-10,0.0
2019-03-13,956011.4436761444
2019-03-15,229329.3654560548
2019-03-20,292108.0922839799
2019-03-25,378804.8776962604
2019-03-29,343823.002222324
2019-03-30,904203.8177639866
2019-04-04,106435.2690629211
2019-04-09,146739.4245915976
2019-04-14,140685.64035765515
2019-04-19,1067636.7750428368
2019-04-24,4280673.754891841
2019-04-29,1810868.1474104088
2019-04-30,724169.6300376782
2019-05-04,188772.42527003284
2019-05-09,31093.97782551172
2019-05-14,17088.103209913104
2019-05-16,32060.88783439554
2019-05-19,28675.594223947788
2019-05-24,40074.765167823134
2019-05-29,0.0
2019-06-01,13217.889963480497
2019-06-03,90688.29871888948
2019-06-08,0.0
2019-06-13,14636.948124396778
2019-06-17,97991.95884582197
2019-06-18,100230.98246847276
2019-06-23,19925.53306224911
2019-06-28,67227.99287658228
2019-07-03,0.0
2019-07-08,11693.189457814007
2019-07-13,0.0
2019-07-18,12266.864165892122
2019-07-19,32675.287319586947
2019-07-23,223382.5179974633
2019-07-28,86469.87989583502
2019-08-02,0.0
2019-08-04,0.0
2019-08-07,86554.88082082444
2019-08-12,4322949.379369517
2019-08-17,1622147.4620622722
2019-08-20,1292428.1858276832
2019-08-22,1904654.210539524
2019-08-27,304342.71783416386
2019-09-01,159885.86664324152
2019-09-05,348987.99806258985
2019-09-06,79651.18559618843
2019-09-11,0.0
2019-09-16,147032.5267631434
2019-09-21,402685.4821717252
2019-09-26,648950.3925590488
2019-10-01,793074.3947544006
2019-10-06,565661.0112124037
2019-10-07,0.0
2019-10-11,99248.52128123929
2019-10-16,645235.5986229285
2019-10-21,616020.3043898636
2019-10-23,1163091.1408642796
2019-10-26,1125579.4484354346
2019-10-31,294075.86344823043
2019-11-05,41239.85158160775
2019-11-08,0.0
2019-11-10,0.0
2019-11-15,107454.44406740836
2019-11-20,110798.29269733012
2019-11-24,192341.0697280247
2019-11-25,279373.42914526485
2019-11-30,43309.97436889468
2019-12-05,536413.5955388076
2019-12-10,114077.06700662286
2019-12-15,27649.062121105795
2019-12-20,13882.788091531316
2019-12-25,607435.9684707389
2019-12-26,803735.7724635786
2019-12-30,136817.33871299677
2020-01-04,9435.406329949255
2020-01-09,0.0
2020-01-11,0.0
2020-01-14,0.0
2020-01-19,0.0
2020-01-24,0.0
2020-01-27,56068.068841952336
2020-01-29,156082.10973985933
2020-02-03,50093.062411343206
2020-02-08,57911.789783914646
2020-02-12,68804.827649669
2020-02-13,271586.22600636026
2020-02-18,0.0
2020-02-23,0.0
2020-02-28,0.0
2020-03-04,0.0
2020-03-09,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-19,0.0
2020-03-24,496061.3402819421
2020-03-29,513762.1391796701
2020-03-31,249602.19276824384
2020-04-03,126388.27560489273
2020-04-08,252993.5452604208
2020-04-13,957785.652848841
2020-04-16,502219.1188936155
2020-04-18,554598.0006775784
2020-04-23,234304.7278676708
2020-04-28,387892.85613479273
2020-05-02,1077892.0221371586
2020-05-03,1988731.574822339
2020-05-08,377389.5431658257
2020-05-13,176978.6988913999
2020-05-18,697492.6028578383
2020-05-23,530197.1000581536
2020-05-28,76394.91003119155
2020-06-02,113415.31990563204
2020-06-03,92293.49646625492
2020-06-07,24898.893260185727
2020-06-12,18557.78264693397
2020-06-17,12883.080691667805
2020-06-19,21361.544670750493
2020-06-22,17635.138231834844
2020-06-27,34005.61809392189
2020-07-02,271850.9120238322
2020-07-05,459672.5806752774
2020-07-07,432674.68013181153
2020-07-12,270851.76708766434
2020-07-17,199900.7984647156
2020-07-21,287753.02142730536
2020-07-22,2054550.3681997976
2020-07-27,1230632.7119586165
2020-08-01,128089.4497793674
2020-08-06,515674.4745227536
2020-08-11,1632209.326512887
2020-08-16,803958.6322572131
2020-08-21,0.0
2020-08-22,0.0
2020-08-26,0.0
2020-08-31,0.0
2020-09-05,701429.8101651595
2020-09-07,1894756.3284521848
2020-09-10,849229.4183731099
2020-09-15,147393.7427050019
