date,outflow (m3/d)
2017-08-02,620922.3555183576
2017-08-14,706213.2397027649
2017-08-17,1013955.5533334793
2017-08-30,566562.8045491963
2017-09-06,1200879.0305682383
2017-09-11,1391784.1440926883
2017-09-15,346558.6964451114
2017-09-26,753616.9362973631
2017-10-01,0.0
2017-10-16,1035929.5342116004
2017-10-17,0.0
2017-10-21,1129196.86395776
2017-11-02,528560.2586359984
2017-11-05,1397805.6592575617
2017-11-10,936738.3435156428
2017-11-18,307354.4613525238
2017-11-25,146390.37547716542
2017-11-30,1486680.6627134474
2017-12-04,1633283.7155222804
2017-12-05,0.0
2017-12-15,494437.89829712885
2017-12-20,0.0
2017-12-25,280849.4179270456
2018-01-04,467689.6773796534
2018-01-05,0.0
2018-01-14,37811.50110709227
2018-01-21,164421.62047223872
2018-01-24,259341.6030518145
2018-01-29,408211.92565379717
2018-02-03,0.0
2018-02-06,858602.5477998327
2018-02-08,0.0
2018-02-13,494302.4570757214
2018-02-18,0.0
2018-02-22,134526.90514955652
2018-02-23,1164148.8372918293
2018-02-28,340671.28799141623
2018-03-05,333582.14874431666
2018-03-10,326451.7298950276
2018-03-15,344112.17412453797
2018-03-20,443196.09178583784
2018-03-25,409797.1819033747
2018-03-26,910943.5936823721
2018-03-30,365637.7527528012
2018-04-04,317580.10964509234
2018-04-09,1524257.0268824894
2018-04-11,1188084.5218351008
2018-04-14,299593.8599269178
2018-04-19,263019.75135910336
2018-04-24,204628.45063599848
2018-04-27,185027.00379351625
2018-04-29,234283.86403518694
2018-05-09,231780.65286138814
2018-05-13,897973.6758957704
2018-05-14,1284863.780812232
2018-05-19,652828.9595287195
2018-05-24,376918.4532188144
2018-05-29,529854.2017638426
2018-06-03,548473.1395792932
2018-06-08,812405.2824728732
2018-06-13,805682.1985533213
2018-06-14,1104198.0458831668
2018-06-18,970896.7331705865
2018-06-23,838456.4678871662
2018-06-28,505413.36870674475
2018-06-30,397165.98351587955
2018-07-03,1481105.3036318128
2018-07-08,1231861.0276809605
2018-07-13,2053323.0577227483
2018-07-18,4121014.933696931
2018-07-23,4878367.068073977
2018-07-28,1520785.0977315616
2018-08-01,872561.1068195286
2018-08-02,875960.8134238255
2018-08-07,429158.96477663686
2018-08-12,2068102.5102633496
2018-08-17,3055058.0083489516
2018-08-22,3331053.945263485
2018-08-27,330688.89239103254
2018-09-01,0.0
2018-09-02,0.0
2018-09-06,270545.21928714175
2018-09-11,163993.50410965664
2018-09-21,276766.1508514032
2018-09-26,733883.0870296088
2018-10-01,814109.8392401772
2018-10-04,1235035.0337068776
2018-10-06,2002584.052979199
2018-10-11,1410370.5126479883
2018-10-16,863592.1176435953
2018-10-20,1900630.9464302796
2018-10-21,3820517.4623076404
2018-10-26,1480083.7632552995
2018-10-31,393421.368497903
2018-11-05,603545.8252585913
2018-11-10,605270.098105714
2018-11-15,355104.377748909
2018-11-20,2315693.503026866
2018-11-21,2648841.6187482313
2018-11-25,712386.5699291455
2018-11-30,407189.5642570148
2018-12-07,228935.93059774174
2018-12-10,269950.3704519292
2018-12-15,125107.814344977
2018-12-20,225386.32092253203
2018-12-23,114197.17489757527
2018-12-25,223530.12745514035
2018-12-30,214104.1465443996
2019-01-04,168756.89498153314
2019-01-08,154153.21328197705
2019-01-09,114825.92729062535
2019-01-14,151726.68041087917
2019-01-19,184679.01215894378
2019-01-24,173456.22129105064
2019-01-29,233726.78578688236
2019-02-03,191565.38245175415
2019-02-08,288131.7396537705
2019-02-09,441892.41753641167
2019-02-13,942817.0015830526
2019-02-18,392842.0351329609
2019-02-23,247310.99240437627
2019-02-25,890036.9422793189
2019-02-28,227930.28047143505
2019-03-05,728969.2846601433
2019-03-10,257601.464535507
2019-03-13,1027320.2201103983
2019-03-15,761201.799938922
2019-03-20,421179.3848364007
2019-03-25,962515.0023229349
2019-03-29,497382.8183499285
2019-03-30,781379.0581892661
2019-04-04,317917.98266360315
2019-04-09,337061.29599324096
2019-04-14,550532.1563952382
2019-04-19,955907.0377527341
2019-04-24,2743453.774378589
2019-04-29,1231114.4896065316
2019-04-30,933780.9168236085
2019-05-04,546832.0357987332
2019-05-09,260377.81347466714
2019-05-14,255133.87787959765
2019-05-16,272951.6143846277
2019-05-19,340437.91423802
2019-05-24,292424.14803309797
2019-05-29,253353.60107291848
2019-06-01,344784.176366408
2019-06-03,359583.57360692206
2019-06-08,325839.55995044444
2019-06-13,303036.09522691974
2019-06-17,282975.6867156133
2019-06-18,403293.4031596555
2019-06-23,243083.31894911724
2019-06-28,437690.40729424375
