date,outflow (m3/d)
2017-08-02,724129.3429599325
2017-08-14,715065.2037798984
2017-08-17,978547.6970249461
2017-08-30,566562.8045491963
2017-09-06,1207038.639293624
2017-09-11,1388175.0364578287
2017-09-15,578852.8818952115
2017-09-26,696767.0809755995
2017-10-01,120519.94620922781
2017-10-16,946959.0141508472
2017-10-17,0.0
2017-10-21,1474767.59706771
2017-11-02,478194.1684410068
2017-11-05,1521108.4328087282
2017-11-10,877281.5661500427
2017-11-18,312657.2140170863
2017-11-25,145828.64086375115
2017-11-30,739812.3330183474
2017-12-04,2120458.5471582306
2017-12-05,0.0
2017-12-15,479260.1282770989
2017-12-20,0.0
2017-12-25,184022.08797742563
2018-01-04,489787.57421699347
2018-01-05,0.0
2018-01-14,44357.31327204781
2018-01-21,166765.69120595304
2018-01-24,255378.92956978115
2018-01-29,457273.5671134971
2018-02-03,0.0
2018-02-06,834039.266688699
2018-02-08,0.0
2018-02-13,486702.43487898144
2018-02-18,115363.7354494372
2018-02-22,0.0
2018-02-23,1164148.8372918293
2018-02-28,153045.70261078348
2018-03-05,356215.2920424967
2018-03-10,491444.17197748757
2018-03-15,344112.17412453797
2018-03-20,443196.09178583784
2018-03-25,409797.1819033747
2018-03-26,910943.5936823721
2018-03-30,523230.7221611262
2018-04-04,252650.1477756123
2018-04-09,621714.4171973097
2018-04-11,1843520.6848740005
2018-04-14,783885.398108051
2018-04-19,455146.4770260635
2018-04-24,230458.11655887848
2018-04-27,192373.84070318294
2018-04-29,233961.30183218693
2018-05-09,232594.34686822805
2018-05-13,900853.3368801204
2018-05-14,1301982.7135873395
2018-05-19,657107.2886516586
2018-05-24,382098.1874625711
2018-05-29,540620.6398364231
2018-06-03,556213.4854877309
2018-06-08,832937.3082273786
2018-06-13,798952.8594800711
2018-06-14,1102898.1653312177
2018-06-18,967008.8585947562
2018-06-23,837738.4456045962
2018-06-28,504255.2088536561
2018-06-30,397141.5069288262
2018-07-03,1473805.4363526849
2018-07-08,1237674.0981623789
2018-07-13,2055016.5259852896
2018-07-18,4123431.1875073113
2018-07-23,4880383.922050317
2018-07-28,1424499.5657748017
2018-08-01,927597.4725351285
2018-08-02,1093158.1287313255
2018-08-07,357561.3109300768
2018-08-12,2085592.4672378688
2018-08-17,3053609.3459438714
2018-08-22,3333011.2161723454
2018-08-27,323389.0010456526
2018-09-01,0.0
2018-09-02,0.0
2018-09-06,563676.1744154228
2018-09-11,50837.32078613667
2018-09-21,305197.0486879132
2018-09-26,555672.7105774886
2018-10-01,814109.8392401772
2018-10-04,1235035.0337068776
2018-10-06,1979382.2685484348
2018-10-11,1414992.706748256
2018-10-16,882252.4294576858
2018-10-20,1883128.7062527293
2018-10-21,3855739.114140524
2018-10-26,1476560.9359843875
2018-10-31,395160.380922143
2018-11-05,598285.3097386713
2018-11-10,607880.886136776
2018-11-15,353792.756396949
2018-11-20,2314394.3363477653
2018-11-21,2648841.6187482313
2018-11-25,712386.5699291455
2018-11-30,407189.5642570148
2018-12-07,237687.76255699556
2018-12-10,259703.22856629617
2018-12-15,119003.53473339703
2018-12-20,228479.75975525766
2018-12-23,109041.4435097086
2018-12-25,223530.12745514035
2018-12-30,214104.1465443996
2019-01-04,186055.64456063314
2019-01-08,165148.65958355207
2019-01-09,0.0
2019-01-14,182476.2379347876
2019-01-19,153929.45463502372
2019-01-24,189005.10384843082
2019-01-29,179713.98506115619
2019-02-03,218680.15584771428
2019-02-08,299481.1506061305
2019-02-09,413791.733057351
2019-02-13,949842.1727028278
2019-02-18,392842.0351329609
2019-02-23,234831.7742939591
2019-02-25,1900639.1719994685
2019-02-28,0.0
2019-03-05,1310856.9513973035
2019-03-10,0.0
2019-03-13,1381230.0966272315
2019-03-15,508214.362181522
2019-03-20,456534.5728606806
2019-03-25,533435.967627095
2019-03-29,497382.8183499285
2019-03-30,1164359.1022632662
2019-04-04,277303.63274100306
2019-04-09,352865.996894861
2019-04-14,522238.3445999783
2019-04-19,908044.7878040423
2019-04-24,2739160.610330046
2019-04-29,1234338.6821844205
2019-04-30,929308.4188865147
2019-05-04,549504.4086251835
2019-05-09,261032.29623798205
2019-05-14,246928.36519969738
2019-05-16,288032.1955946246
2019-05-19,339054.3199251832
2019-05-24,294874.1792711898
2019-05-29,254201.76418190342
2019-06-01,325043.355338045
2019-06-03,359633.00102076953
2019-06-08,326085.86050063476
2019-06-13,306273.40534700826
2019-06-17,285175.9485267219
2019-06-18,388462.99152060837
2019-06-23,244174.0161680276
2019-06-28,445908.9267505703
