date,outflow (m3/d)
2017-02-16,34710969.31730731
2017-02-26,0.0
2017-03-08,1511697.7218616495
2017-03-14,12318.861457170635
2017-03-18,1456155.9291137077
2017-03-28,0.0
2017-03-30,6854475.064319593
2017-04-15,1430288.1051489636
2017-04-17,1744100.9736129644
2017-04-27,1001464.4594252775
2017-05-01,1573530.2297055195
2017-05-07,2923009.5899393433
2017-05-17,1089541.2649405499
2017-05-27,1214809.155358406
2017-06-02,1684004.1869419764
2017-06-06,868464.9679318115
2017-06-18,2321085.245798406
2017-06-26,506153.6228804115
2017-07-01,1110641.4576614061
2017-07-04,1503012.88415087
2017-07-06,1568836.542113487
2017-07-16,822901.1363386224
2017-07-20,1139876.796477287
2017-07-21,1736996.2711456667
2017-07-31,528352.1414740669
2017-08-05,0.0
2017-08-15,1037719.1870094625
2017-08-20,2065413.851839949
2017-08-21,2952842.6389189465
2017-08-30,1729015.6471074678
2017-09-06,2697958.440902266
2017-09-09,3957379.9508927013
2017-09-14,2426195.5975405336
2017-09-19,1894695.3151583811
2017-09-22,3145225.877173111
2017-09-24,1241548.3760699045
2017-09-29,383914.3417673502
2017-10-04,390776.1541696974
2017-10-08,248741.22880575078
2017-10-09,0.0
2017-10-14,213342.9912490033
2017-10-19,1067364.6687397063
2017-10-24,923115.7227186748
2017-10-29,93865.45780488156
2017-11-03,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-13,78869.76476619428
2017-11-18,0.0
2017-11-23,0.0
2017-11-25,0.0
2017-11-28,0.0
2017-12-03,361295.1664758938
2017-12-08,0.0
2017-12-11,0.0
2017-12-13,0.0
2017-12-18,0.0
2017-12-23,0.0
2017-12-27,0.0
2017-12-28,0.0
2018-01-02,0.0
2018-01-07,0.0
2018-01-12,0.0
2018-01-17,0.0
2018-01-22,0.0
2018-01-27,0.0
2018-01-28,682583.5358060672
2018-02-06,202749.13938574036
2018-02-11,252202.43092362472
2018-02-13,748625.434963053
2018-02-16,453301.1130279363
2018-02-21,286698.09977120283
2018-02-26,278958.90636757325
2018-03-01,454741.1595246027
2018-03-03,645511.9476578041
2018-03-08,262029.0195069554
2018-03-13,260708.79730848502
2018-03-17,355921.2868623941
2018-03-18,1373750.1060008896
2018-03-23,287646.0812433708
2018-03-28,261022.06921072054
2018-04-02,491622.70500044717
2018-04-07,605316.4386017764
2018-04-12,541558.5616927252
2018-04-17,599203.8811075955
2018-04-18,2917738.0497510727
2018-04-22,857667.5950669261
2018-04-27,788623.9656269391
2018-05-02,0.0
2018-05-04,3903703.1434822064
2018-05-07,1165434.0049765226
2018-05-12,1022606.0644441176
2018-05-17,1455632.25121187
2018-05-20,1673354.9709486014
2018-05-22,7106353.127327724
2018-06-01,387594.4728106941
2018-06-05,1237238.2761933475
2018-06-06,0.0
2018-06-11,805890.0704737382
2018-06-16,3986151.1810697066
2018-06-21,6335632.869102875
2018-06-26,4915735.168444252
2018-07-01,3817976.9652071423
2018-07-06,2126916.9471130865
2018-07-07,0.0
2018-07-11,7578514.494702412
2018-07-16,9837095.273766737
2018-07-23,5580954.1594531145
2018-07-26,3309425.69308169
2018-07-31,740849.9133335032
2018-08-05,4841492.363180511
2018-08-08,2689233.6231817026
2018-08-10,5012842.67474468
2018-08-15,9301717.681214863
2018-08-20,7749755.979385233
2018-08-24,4135576.699338448
2018-08-25,0.0
2018-08-30,2031925.1135428897
2018-09-04,0.0
2018-09-09,380536.07525918656
2018-09-14,0.0
2018-09-19,0.0
2018-09-24,0.0
2018-09-25,736772.4581594603
2018-09-29,546350.8567391856
2018-10-04,477472.9046365541
2018-10-09,2154553.2996823885
2018-10-11,4564056.574702836
2018-10-14,3278056.5303728115
2018-10-19,2045079.359712251
2018-10-24,1558946.03586534
2018-10-27,2527115.702705747
2018-10-29,0.0
2018-11-03,456974.608658781
2018-11-08,121676.16543345903
2018-11-12,253197.6547707343
2018-11-18,80714.60682394847
2018-11-23,149514.63908480873
2018-11-28,195040.86283345232
2018-12-03,137066.2278408912
2018-12-08,133431.32629735096
2018-12-13,128803.2353989447
2018-12-14,578918.2886382868
2018-12-18,156152.1381998411
2018-12-23,125298.8491443881
2018-12-28,126176.96806693122
2018-12-30,299762.62031511357
2019-01-02,201991.90479580793
2019-01-07,124039.26568513221
2019-01-12,123570.66965131556
2019-01-15,200309.61360696398
2019-01-17,296191.53240214597
2019-01-22,122618.78555007123
2019-01-27,122288.87870367648
2019-01-31,150750.66443786002
2019-02-01,581256.6480024225
2019-02-06,121762.4150091497
2019-02-11,122060.4067113589
2019-02-16,121210.28556835187
2019-02-21,120956.80139825799
2019-02-26,411019.89931414824
2019-03-03,550987.3675738629
2019-03-04,2354624.179159494
2019-03-08,633774.3900577954
2019-03-13,466247.66421679145
2019-03-18,464054.77560372686
2019-03-20,1132808.4021633808
2019-03-23,755453.4906230522
2019-03-28,444442.06182254886
2019-04-02,437359.2461775185
2019-04-05,719954.6070671781
2019-04-07,0.0
2019-04-12,653513.5606036595
2019-04-17,646564.809436018
2019-04-21,1299792.7359286088
2019-04-22,3919311.9816955025
2019-04-27,1017730.6418638133
2019-05-02,836308.4838790401
2019-05-07,1221448.0284636174
2019-05-12,691212.8963120319
2019-05-17,610261.5108784081
2019-05-22,617100.6984003381
2019-05-23,2768326.8186837872
2019-05-27,1149632.8449646223
2019-06-01,706995.2975559388
2019-06-06,969189.1990029317
2019-06-08,1619810.8148767464
2019-06-11,1329211.1558765024
2019-06-16,1042913.8507839995
2019-06-21,877040.4065392687
2019-06-24,0.0
2019-06-26,0.0
2019-07-01,0.0
2019-07-06,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-16,0.0
2019-07-21,0.0
2019-07-31,1089230.0272906963
2019-08-05,0.0
2019-08-10,7276763.890322298
2019-08-11,35866921.11682937
2019-08-15,15574189.66564834
2019-08-20,3357178.9982267423
2019-08-25,1539979.690915324
2019-08-27,0.0
2019-08-30,0.0
2019-09-04,2325626.1588563304
2019-09-09,3185945.541769157
2019-09-12,1213044.9672237716
2019-09-14,0.0
2019-09-19,1194867.5627768796
2019-09-28,950162.9475111502
2019-09-29,2151044.0897577675
2019-10-04,489159.6774714298
2019-10-09,419414.0575575384
2019-10-14,873338.4393649071
2019-10-19,4117723.4494724534
2019-10-24,6179792.061032038
2019-10-29,4148096.622644323
2019-10-30,4350108.327821204
2019-11-03,1760902.8823671215
2019-11-08,935916.7399442256
2019-11-13,550151.5918890518
2019-11-15,810124.5186160199
2019-11-18,603673.0951783258
2019-11-23,311849.4762150484
2019-11-28,176404.61415133404
2019-12-01,132575.52873910003
2019-12-03,582245.5277021062
2019-12-08,930936.2392115778
2019-12-13,467772.48536206194
2019-12-17,239276.1172452793
2019-12-18,870390.101639085
2019-12-23,196047.49464474482
2019-12-28,0.0
2020-01-02,797561.1832278344
2020-01-07,0.0
2020-01-12,326847.5216094548
2020-01-17,291669.0252734889
2020-01-18,547609.7804954388
2020-01-22,0.0
2020-01-27,171182.66291448005
2020-02-01,206384.56586009337
2020-02-03,476918.36973762454
2020-02-06,337356.27861330187
2020-02-11,199910.05405929443
2020-02-16,199483.79981165208
2020-02-19,324715.69888913166
2020-02-21,483345.76072318695
2020-02-26,212004.362720587
2020-03-02,212576.00145677984
2020-03-06,244757.99874813465
2020-03-07,951142.3210908452
2020-03-12,187352.52194407658
2020-03-17,184262.27031019743
2020-03-22,462486.098206407
2020-03-27,2864164.5887728273
2020-04-01,0.0
2020-04-06,1033140.6730790752
2020-04-07,1276404.956315834
2020-04-11,1010943.1429249041
2020-04-16,435147.66571343376
2020-04-21,575648.0952945111
2020-04-23,1282321.4479104497
2020-04-26,936886.1351077406
2020-05-01,906106.8423682144
2020-05-06,734420.927780864
2020-05-09,1437159.5564539605
2020-05-11,1839603.4090945746
2020-05-21,0.0
2020-05-25,793452.7813412456
2020-05-26,774166.7011849333
2020-05-31,678604.1764711477
2020-06-05,3557026.1804174655
2020-06-10,1463908.649028555
2020-06-15,862243.324361677
2020-06-20,691171.953589054
2020-06-25,512558.49674043676
2020-06-26,935695.3256508226
2020-07-10,1182051.1073853879
2020-07-12,2691718.379667419
2020-07-20,1296574.6707419485
2020-07-28,1102288.8872151645
2020-07-30,0.0
2020-08-04,0.0
2020-08-09,4087938.938613592
2020-08-14,5279257.388200584
2020-08-19,876563.5127718903
2020-08-24,0.0
2020-08-29,0.0
2020-09-03,0.0
2020-09-08,0.0
2020-09-14,2577994.4593165047
2020-09-18,3669287.78525378
2020-09-23,5107843.893819848
2020-09-28,2840703.830533963
2020-09-30,0.0
2020-10-08,279617.77166442043
2020-10-13,327150.8274021371
2020-10-16,3598060.1928675543
2020-10-18,2970236.244434532
2020-10-23,768617.8082859843
2020-10-28,0.0
2020-11-01,28152.100309291814
2020-11-02,0.0
2020-11-07,291185.6631637117
2020-11-12,0.0
2020-11-17,795332.2095720378
2020-11-22,1148647.6047554098
2020-11-27,484613.98733166186
2020-12-02,220115.62447299223
2020-12-03,729946.2594911791
2020-12-07,287391.0808361855
2020-12-12,292585.97538792854
2020-12-17,234392.79511336892
2020-12-19,388289.15303888393
2020-12-22,256856.1576697889
2020-12-27,164216.11435609375
2021-01-01,158109.52496133326
2021-01-04,308809.96099106525
2021-01-06,585081.9432839396
2021-01-11,1949020.6413622957
2021-01-16,3644678.273775702
2021-01-20,2075018.571847616
2021-01-21,2322176.8781204103
2021-01-26,545572.9097076637
2021-01-31,321514.7777000869
2021-02-05,291579.40883490414
2021-02-10,283443.83544608636
