date,outflow (m3/d)
2017-02-16,7953294.638166801
2017-02-26,1383398.286143884
2017-03-08,297714.4150616496
2017-03-14,0.0
2017-03-18,24038216.677834533
2017-03-28,0.0
2017-03-30,6854475.064319593
2017-04-15,1017126.2687395638
2017-04-17,6099630.469063514
2017-04-27,612918.4080283276
2017-05-01,3788266.9071532944
2017-05-07,1748034.0634785262
2017-05-17,1089541.2649405499
2017-05-27,1214809.155358406
2017-06-02,917072.9899028593
2017-06-06,448046.02761363663
2017-06-18,2342194.9608932645
2017-06-26,411496.430353749
2017-07-01,1153877.6821576064
2017-07-04,1418574.3342559028
2017-07-06,1010729.1555717371
2017-07-16,861023.5527325422
2017-07-20,1043529.170105137
2017-07-21,1741125.3823379667
2017-07-31,502420.0761087269
2017-08-05,0.0
2017-08-15,1004773.8306432226
2017-08-20,2004857.309558829
2017-08-21,2633626.957514547
2017-08-30,1689602.3687980569
2017-09-06,2637706.816379566
2017-09-09,3830637.206401868
2017-09-14,2527390.5806454537
2017-09-19,1745678.6445544406
2017-09-22,3107786.629170044
2017-09-24,1133670.9410731047
2017-09-29,369699.1759617103
2017-10-04,371881.8852019774
2017-10-08,244286.76695222576
2017-10-09,0.0
2017-10-14,208499.4022139433
2017-10-19,1072216.3109678263
2017-10-24,928459.0999026548
2017-10-29,67176.58023162158
2017-11-03,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-13,941077.0516941694
2017-11-18,0.0
2017-11-23,0.0
2017-11-25,0.0
2017-11-28,0.0
2017-12-03,0.0
2017-12-08,0.0
2017-12-11,0.0
2017-12-13,0.0
2017-12-18,164574.39951094528
2017-12-23,0.0
2017-12-27,11136.590934533479
2017-12-28,0.0
2018-01-02,0.0
2018-01-07,0.0
2018-01-12,0.0
2018-01-17,0.0
2018-01-22,0.0
2018-01-27,0.0
2018-01-28,746372.8703051672
2018-02-06,225615.73259089593
2018-02-11,295244.6486450047
2018-02-13,877843.8917040528
2018-02-16,531901.0493255362
2018-02-21,335848.6031928828
2018-02-26,326872.7901671933
2018-03-01,544600.9169044361
2018-03-03,768778.8660415544
2018-03-08,308341.21026221535
2018-03-13,306790.68826050503
2018-03-17,413350.24990791915
2018-03-18,1602536.5602358896
2018-03-23,333238.9055319507
2018-03-28,302485.3149122605
2018-04-02,559320.7607381871
2018-04-07,689617.5247924564
2018-04-12,616043.4171635852
2018-04-17,644862.3195685755
2018-04-18,3104202.5159549727
2018-04-22,2233035.3730397266
2018-04-27,234203.19359493916
2018-05-02,366434.09344980353
2018-05-04,2892687.806200007
2018-05-07,5848365.075915856
2018-05-12,0.0
2018-05-17,1499092.2522845303
2018-05-20,0.0
2018-05-22,2717078.610598775
2018-06-01,253911.49108750414
2018-06-05,31578.06057747256
2018-06-06,0.0
2018-06-11,297064.8610769582
2018-06-16,3717528.6292656064
2018-06-21,5866952.733690273
2018-06-26,4570627.980510491
2018-07-01,3445253.079294862
2018-07-06,1777205.8049046667
2018-07-07,0.0
2018-07-11,7139680.543287788
2018-07-16,9452410.176836178
2018-07-23,5537039.0033110585
2018-07-26,2893571.2093434897
2018-07-31,564775.3094910632
2018-08-05,4556680.923989112
2018-08-08,2166136.5872294023
2018-08-10,23320.501019828953
2018-08-15,8680540.27353564
2018-08-20,9996034.840687633
2018-08-24,1920279.1946693477
2018-08-25,0.0
2018-08-30,0.0
2018-09-04,3843.947885318326
2018-09-09,0.0
2018-09-14,0.0
2018-09-19,0.0
2018-09-24,291401.85963543877
2018-09-25,13596605.70068796
2018-09-29,349347.04279823566
2018-10-04,0.0
2018-10-09,2259428.7655153084
2018-10-11,4594657.395255186
2018-10-14,3609946.1902623107
2018-10-19,2161372.8810421107
2018-10-24,1673298.65836124
2018-10-27,849508.834254014
2018-10-29,1147110.7739911037
2018-11-03,318359.536714181
2018-11-08,364022.30893641326
2018-11-12,200850.17915378432
2018-11-18,280309.4763691652
2018-11-23,248053.52744448872
2018-11-28,224100.11598545226
2018-12-03,339770.2644453312
2018-12-08,248404.25854289098
2018-12-13,240276.43771984475
2018-12-14,1118808.141375287
2018-12-18,285724.1877761911
2018-12-23,228758.40382030804
2018-12-28,228863.2183926912
2018-12-30,555262.6701563636
2019-01-02,221780.68946967454
2019-01-07,180832.87965301223
2019-01-12,159234.57135407554
2019-01-15,279743.765447264
2019-01-17,401114.9594509461
2019-01-22,167343.2024176312
2019-01-27,165567.58442087646
2019-01-31,205657.44776843503
2019-02-01,798869.2558557226
2019-02-06,165404.70617354973
2019-02-11,165561.89813049888
2019-02-16,164700.5747330519
2019-02-21,164371.128046298
2019-02-26,594536.6490819682
2019-03-03,793000.3881673429
2019-03-04,3392711.7087958944
2019-03-08,911129.1577615704
2019-03-13,649538.7589473514
2019-03-18,642297.6074304869
2019-03-20,1571694.5640249806
2019-03-23,1072608.449230052
2019-03-28,667431.8552822889
2019-04-02,3750862.6023888187
2019-04-05,1140137.5994235782
2019-04-07,1667817.9018842906
2019-04-12,653513.5606036595
2019-04-17,646564.809436018
2019-04-21,1299792.7359286088
2019-04-22,2691993.854806603
2019-04-27,1263194.2672415932
2019-05-02,704076.2730339201
2019-05-07,903567.8789130775
2019-05-12,497106.90704361175
2019-05-17,538813.5741818881
2019-05-22,486155.809936118
2019-05-23,2398106.640265687
2019-05-27,726355.4853645975
