date,outflow (m3/d)
2017-08-02,1640260.9641545136
2017-08-14,547741.0840505941
2017-08-17,333216.5681180448
2017-08-30,633839.633328182
2017-09-06,1740138.1609300405
2017-09-11,1892548.1295386325
2017-09-15,1484505.3100595064
2017-09-26,1111043.8857469256
2017-10-01,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-21,212925.90047789871
2017-11-02,216475.5797735342
2017-11-05,604146.0661205945
2017-11-10,386561.35231935524
2017-11-18,189675.1951979836
2017-11-25,677950.4810797734
2017-12-04,428390.0224294119
2017-12-05,1582814.2557265845
2017-12-15,174417.29310117094
2017-12-20,198966.02586454907
2017-12-25,160603.65617583823
2018-01-04,86186.91909945515
2018-01-05,0.0
2018-01-14,387649.5035303646
2018-01-21,483018.43158456666
2018-01-24,1098933.3677890429
2018-01-29,637873.0696243292
2018-02-03,141355.12339876062
2018-02-06,232776.95881648723
2018-02-08,209172.48506727698
2018-02-13,213472.3975734348
2018-02-18,129203.9553182817
2018-02-22,173082.02646451624
2018-02-23,2498305.8711727974
2018-02-28,465182.93848840974
2018-03-05,354814.5150305577
2018-03-10,29001.481712482113
2018-03-15,18429.686690445604
2018-03-20,61553.61505372477
2018-03-25,51185.12113364749
2018-03-26,164249.5580717268
2018-03-30,40216.90567841238
2018-04-04,27628.345886446023
2018-04-09,25315.627868638
2018-04-11,35353.426352535054
2018-04-14,28987.540753400095
2018-04-24,41672.13382766291
2018-04-27,116829.53773965327
2018-04-29,231059.18279600545
2018-05-04,209545.30338499363
2018-05-09,414242.6558892226
2018-05-13,521545.6307067986
2018-05-14,849562.1592225404
2018-05-19,437905.64813083404
2018-05-24,257467.0440407953
2018-05-29,385771.58418775763
2018-06-03,610978.4052510135
2018-06-08,1716768.0715037456
2018-06-13,2015767.7736090957
2018-06-14,6315452.277595123
2018-06-18,6707414.535057054
2018-06-23,3234888.047695461
2018-06-28,2217393.6666578497
2018-06-30,1818829.2998787106
2018-07-03,1527450.403547839
2018-07-08,870508.501459721
2018-07-13,2704991.1336639165
2018-07-18,4012748.6744241356
2018-07-23,5424378.586297716
2018-07-28,0.0
2018-08-01,4147466.481959861
2018-08-02,0.0
2018-08-07,6795979.3533441825
2018-08-12,0.0
2018-08-17,7657273.667847655
2018-08-22,4969906.53567073
2018-08-27,1467657.1851035492
2018-09-01,0.0
2018-09-02,138878.46120096173
2018-09-06,0.0
2018-09-11,401622.79613847815
2018-09-21,114574.03321364443
2018-09-26,0.0
2018-10-01,1498183.5377587224
2018-10-04,0.0
2018-10-06,2562277.857262484
2018-10-11,821809.086251533
2018-10-16,0.0
2018-10-20,2348596.255964826
2018-10-21,750031.2149352577
2018-10-26,339363.6006630637
2018-10-31,1690608.7088435038
2018-11-05,0.0
2018-11-10,535967.9927683203
2018-11-15,1113009.0310817112
2018-11-20,0.0
2018-11-21,1952395.8302049562
2018-11-25,171908.21945042434
2018-11-30,515858.992036116
2018-12-07,0.0
2018-12-10,2380422.301208477
2018-12-15,1945693.099807325
2018-12-20,176545.77655217072
2018-12-23,205651.98548608538
2018-12-25,316736.6206668104
2018-12-30,145629.48115740853
2019-01-04,135619.58483073048
2019-01-08,173132.6501990018
2019-01-09,670217.4399236082
2019-01-14,131338.8881430194
2019-01-19,79045.83174533688
2019-01-24,78661.74399495155
2019-01-29,78225.96304933738
2019-02-03,14451.19585336391
2019-02-08,0.0
2019-02-09,0.0
2019-02-13,0.0
2019-02-18,0.0
2019-02-23,0.0
2019-02-25,0.0
2019-02-28,646543.9639520223
2019-03-05,581874.4871039245
2019-03-10,139594.31560799867
2019-03-13,136344.35911477287
2019-03-15,103715.72643394268
2019-03-20,36620.547350976005
2019-03-25,32791.121392134795
2019-03-29,39189.55413239391
2019-03-30,145291.18088473546
2019-04-04,30978.417505915033
2019-04-09,33277.020457993254
2019-04-14,30149.803577952778
2019-04-19,204678.55548389445
2019-04-24,1038547.5730849251
2019-04-29,750446.5119553164
2019-04-30,466942.0592346032
2019-05-04,155509.38051450189
2019-05-09,43813.76187358722
2019-05-14,20645.75900276055
2019-05-16,30206.208306815643
2019-05-19,48494.616608027216
2019-05-24,23093.972153889437
2019-05-29,41593.82632879058
2019-06-01,110576.77082876251
2019-06-03,60220.829436090506
2019-06-08,29852.877311353
2019-06-13,288782.6906940475
2019-06-17,232833.26566335172
2019-06-18,176617.08590489716
2019-06-23,103523.60675418109
2019-06-28,173439.55279224348
