date,outflow (m3/d)
2017-08-02,2836308.917960113
2017-08-14,547741.0840505941
2017-08-17,333216.5681180448
2017-08-30,633839.633328182
2017-09-06,1740138.1609300405
2017-09-11,1892548.1295386325
2017-09-15,1484505.3100595064
2017-09-26,1111043.8857469256
2017-10-01,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-21,212925.90047789871
2017-11-02,216475.5797735342
2017-11-05,604146.0661205945
2017-11-10,386561.35231935524
2017-11-18,311638.14634974604
2017-11-25,608724.3003536164
2017-12-04,455311.28578420077
2017-12-05,5567175.820260185
2017-12-15,0.0
2017-12-20,393081.17348530906
2017-12-25,57843.501299538264
2018-01-04,967923.1217042351
2018-01-05,0.0
2018-01-14,2498596.052477009
2018-01-21,0.0
2018-01-24,5626963.573639977
2018-01-29,0.0
2018-02-03,761321.7613029806
2018-02-06,0.0
2018-02-08,3455130.031291127
2018-02-13,0.0
2018-02-18,141790.6509704417
2018-02-22,173082.02646451624
2018-02-23,2498305.8711727974
2018-02-28,465182.93848840974
2018-03-05,354814.5150305577
2018-03-10,29001.481712482113
2018-03-15,29005.072431833036
2018-03-20,50978.22931230477
2018-03-25,41150.724340070716
2018-03-26,214421.5420397268
2018-03-30,40216.90567841238
2018-04-04,27628.345886446023
2018-04-09,28729.484931299896
2018-04-11,47024.672715304245
2018-04-14,24753.337001254546
2018-04-24,78349.16585545291
2018-04-27,84078.98632684884
2018-04-29,340464.4789576554
2018-05-04,178100.83005685476
2018-05-09,417748.27598218253
2018-05-13,505895.6580454005
2018-05-14,825295.4846395403
2018-05-19,429852.59285701404
2018-05-24,251201.2340485553
2018-05-29,402412.77214053756
2018-06-03,591075.6450653867
2018-06-08,1730922.417101679
2018-06-13,2029325.5759637754
2018-06-14,6448892.871046623
2018-06-18,6721145.913062604
2018-06-23,3255954.7328412808
2018-06-28,2260651.63946309
2018-06-30,1903262.2430978608
2018-07-03,1588887.728663139
2018-07-08,911687.288556941
2018-07-13,3429720.5941743567
2018-07-18,6135237.553744876
2018-07-23,7278253.690561215
2018-07-28,2085892.7003275093
2018-08-01,1642723.8874100111
2018-08-02,5509209.159994466
2018-08-07,2357282.318297065
2018-08-12,1449175.1142553706
2018-08-17,4746956.165789732
2018-08-22,7166293.299315833
2018-08-27,1100434.0061137246
2018-09-01,236693.48411202268
2018-09-02,122470.65943009863
2018-09-06,41388.02667853252
2018-09-11,11147.862196067603
2018-09-21,10739.284651877968
2018-09-26,17785.647310281638
2018-10-01,150777.80832131277
2018-10-04,632279.4820898715
2018-10-06,1596093.1974240309
2018-10-11,947577.2627648768
2018-10-16,574541.7433609569
2018-10-20,1125278.7156231562
2018-10-21,2807223.693321797
2018-10-26,1830786.190060315
2018-10-31,788315.894641024
2018-11-05,268647.22835019627
2018-11-10,247657.00635081716
2018-11-15,94973.20848404702
2018-11-20,190542.34029337857
2018-11-21,445022.67344209255
2018-11-25,222347.95581029143
2018-11-30,117433.43278649979
2018-12-07,32359.897901486565
2018-12-10,24915.86946449051
2018-12-15,13487.307737099612
2018-12-20,14151.72020915086
2018-12-23,13551.276149803298
2018-12-25,17854.669534674304
2018-12-30,9506.618540716756
2019-01-04,8033.46058933833
2019-01-08,8699.159320030063
2019-01-09,23789.352453181848
2019-01-14,7400.306259889825
2019-01-19,7461.065909625966
2019-01-24,7040.591676221242
2019-01-29,6785.058182573595
2019-02-03,3768.005118718794
2019-02-08,2268.636878164821
2019-02-09,4780.416655470905
2019-02-13,2623.446609711267
2019-02-18,2491.7423673234844
2019-02-23,2302.5502926420395
2019-02-25,2342.0175643562948
2019-02-28,31717.573850528206
2019-03-05,28513.15131782457
2019-03-10,0.0
2019-03-13,164422.51680760624
2019-03-15,61687.51174082137
2019-03-20,36090.502136956005
2019-03-25,24521.242094754794
2019-03-29,33639.818628593915
2019-03-30,129902.66093023545
2019-04-04,40218.567535835035
2019-04-09,19721.57052635171
2019-04-14,27583.942954772774
2019-04-19,197023.12191740077
2019-04-24,1033461.1996356451
2019-04-29,744303.1326174053
2019-04-30,454085.783274189
2019-05-04,142718.17425084818
2019-05-09,40684.27217052292
2019-05-14,16494.537723657504
2019-05-16,29794.413458936044
2019-05-19,37042.40033527434
2019-05-24,19776.366010917835
2019-05-29,38344.530901208826
2019-06-01,142274.86848576198
2019-06-03,31449.915040999207
2019-06-08,33165.90844849858
2019-06-13,277321.0033084748
2019-06-17,237243.3327794645
2019-06-18,157888.3751533895
2019-06-23,103340.79054255995
2019-06-28,171542.0780986992
