date,outflow (m3/d)
2017-02-19,0.0
2017-02-23,317401.1394677876
2017-03-07,967737.1721499702
2017-03-15,22409932.67953826
2017-03-23,2323914.999980117
2017-04-04,172428.30055463116
2017-04-08,411590.5415342231
2017-04-24,301641.7140915059
2017-05-10,3255343.608705511
2017-05-14,18925486.455378365
2017-05-26,5623250.292000444
2017-06-03,1200141.8856535996
2017-06-11,2499984.0629467503
2017-06-23,2007410.260927024
2017-06-27,4711234.650497298
2017-07-08,5756349.901025267
2017-07-13,1635409.5893350844
2017-07-28,849287.6258485137
2017-07-29,80694.1371757745
2017-08-02,626059.9093337669
2017-08-14,3930458.84692146
2017-08-17,3722792.4369140193
2017-08-30,4577116.697203212
2017-09-06,18901201.014048617
2017-09-11,0.0
2017-09-15,28953706.51914509
2017-09-26,0.0
2017-10-01,0.0
2017-10-16,0.0
2017-10-17,7342870.563009967
2017-10-21,4931469.152646393
2017-11-02,0.0
2017-11-05,19295629.02406601
2017-11-10,0.0
2017-11-18,2676962.646101623
2017-11-25,673262.7621344462
2017-12-04,5504072.0117186885
2017-12-05,16593803.542196404
2017-12-15,1786321.7811423603
2017-12-20,1534678.7403555184
2017-12-25,1031828.1789993529
2018-01-04,466649.8805704227
2018-01-05,4488869.341527333
2018-01-09,1122476.095230326
2018-01-14,1571182.0812401571
2018-01-21,1333759.3626307824
2018-01-24,2801059.5124882823
2018-01-29,1769242.2654988167
2018-02-03,1790541.7441546456
2018-02-06,1944530.6808952675
2018-02-08,3104501.692376255
2018-02-13,12607773.61723676
2018-02-18,5413563.1326244185
2018-02-22,1745520.3037434428
2018-02-23,4445625.306946536
2018-02-28,3144105.280421969
2018-03-05,4693694.925760188
2018-03-10,19359186.49142524
2018-03-15,0.0
2018-03-20,14916242.746670902
2018-03-25,9305984.260928346
2018-03-26,26590377.21435144
2018-03-30,2582104.9300345858
2018-04-04,2961945.766557132
2018-04-09,2677726.791528412
2018-04-11,85054.01979270001
2018-04-14,463197.59903991706
2018-04-24,385080.42078538367
2018-04-27,869811.4410267945
2018-04-29,3584684.8514889227
2018-05-04,1560133.323177772
2018-05-09,3978312.793145616
2018-05-13,19134461.821181446
2018-05-14,34858730.84456177
2018-05-19,19492543.44079528
2018-05-24,9079528.112644304
2018-05-29,3157195.1169335465
2018-06-03,9288387.062124724
2018-06-08,5096963.872707684
2018-06-13,5919254.454334066
2018-06-14,15262733.66196078
2018-06-18,13135411.05157559
2018-06-23,5142568.967712871
2018-06-28,2869819.6448711464
2018-06-30,0.0
2018-07-03,6960635.134517889
2018-07-08,0.0
2018-07-13,2491803.4239145927
2018-07-18,39394.40344487131
2018-07-23,2938058.0707418662
2018-07-28,0.0
2018-08-01,0.0
2018-08-02,0.0
2018-08-07,6924893.867283627
2018-08-12,15419883.62659173
2018-08-17,38530685.527680285
2018-08-22,50567359.13572903
2018-08-27,4661591.228386069
2018-09-01,1148267.7447813451
2018-09-02,4937165.134215888
2018-09-06,2304550.1198647325
2018-09-11,24559247.29071387
2018-09-21,0.0
2018-09-26,8950892.107583035
2018-10-01,9786977.658239467
2018-10-04,16701926.86380887
2018-10-06,18698203.98516216
2018-10-11,26195127.476380195
2018-10-16,7006197.982029696
2018-10-20,11220311.522787666
2018-10-21,0.0
2018-10-26,10897250.526238613
2018-10-31,0.0
2018-11-05,1486774.3457088862
2018-11-10,0.0
2018-11-15,654089.9607728076
2018-11-20,7331662.913979781
2018-11-21,0.0
2018-11-25,11597886.74995603
2018-11-30,382532.67580631934
2018-12-07,1547761.4428132745
2018-12-10,6359981.126653498
2018-12-15,0.0
2018-12-20,10935215.27050292
2018-12-23,0.0
2018-12-25,17618931.01416422
2018-12-30,0.0
2019-01-04,669471.8332928413
2019-01-08,207065.27638008943
2019-01-09,1846595.869088584
2019-01-14,123625.42257672164
2019-01-19,147430.5805386719
2019-01-24,134379.70152997263
2019-01-29,139512.18123810866
2019-02-03,158599.55470729142
2019-02-08,172823.60082380637
2019-02-09,786576.1615477127
2019-02-13,3187635.8416582635
2019-02-18,1798584.736509526
2019-02-23,325969.14652329154
2019-02-25,10545201.706514789
2019-02-28,114049.10382693406
2019-03-05,30791.46871874267
2019-03-10,177006.55699851492
2019-03-13,70639.75663573132
2019-03-15,703338.3731199001
2019-03-20,0.0
2019-03-25,269498.4752635703
2019-03-29,0.0
2019-03-30,479826.5314932904
2019-04-04,0.0
2019-04-09,186186.11642961536
2019-04-14,1673078.3590369397
2019-04-19,3399218.0830388893
2019-04-24,34679082.20122816
2019-04-29,16675347.447770724
2019-04-30,9569224.007773044
2019-05-04,2081669.860960936
2019-05-09,300136.85385054705
2019-05-14,72460.86820933929
2019-05-16,125076.86192370468
2019-05-19,112121.91214230098
2019-05-24,163642.52264113125
2019-05-29,170619.29002945428
2019-06-01,159642.252770281
2019-06-03,178548.5640542484
2019-06-08,274667.46085923887
2019-06-13,1780748.1234717506
2019-06-17,3290116.46872057
2019-06-18,2136398.210350484
2019-06-23,609109.2012783202
2019-06-28,1192809.686612754
2019-07-03,266602.2491452554
2019-07-08,20931.12598516139
2019-07-13,457843.64532196976
2019-07-18,230279.80515733463
2019-07-19,4451688.353154983
2019-07-23,9664600.648312775
2019-07-28,5436583.557233935
2019-08-02,1031819.4543947064
2019-08-04,94313.82701224546
2019-08-07,9702385.891008925
2019-08-12,62778592.14770244
2019-08-17,24191117.66391468
2019-08-20,7019044.229371632
2019-08-22,6261113.883017666
2019-08-27,4385336.274544849
2019-09-05,3241794.163154964
2019-09-06,8429317.956641946
2019-09-11,4093080.715275403
2019-09-16,2875296.1937644216
2019-09-21,4254152.560023868
2019-09-26,4489287.717173025
2019-10-01,3806896.833395268
2019-10-06,2898259.9234908363
2019-10-07,10882036.594294384
2019-10-11,7877739.520011044
2019-10-16,10369565.103049282
2019-10-21,10505888.254813371
2019-10-23,26159676.655930903
2019-10-26,12605913.881114673
2019-11-05,1898327.6868637693
2019-11-08,817123.3402707579
2019-11-10,1286034.8584957474
2019-11-15,3865752.4365789895
2019-11-20,968166.6472876256
2019-11-24,269113.9353864919
2019-11-25,108359.63180463645
2019-11-30,0.0
2019-12-05,482526.43693047017
2019-12-10,266106.90526890475
2019-12-15,0.0
2019-12-20,405612.43267034745
2019-12-25,207057.07099071392
2019-12-26,4855055.79546848
2019-12-30,901194.5031265296
2020-01-04,66514.3157334947
2020-01-09,40173.88798740712
2020-01-11,60179.4846581728
2020-01-14,46130.76523010138
2020-01-19,37088.53120548744
2020-01-24,35954.02854901575
2020-01-27,47195.78417697181
2020-01-29,60712.67291499207
2020-02-03,36836.64659988905
2020-02-08,36422.04037777626
2020-02-12,39627.0635615942
2020-02-13,0.0
2020-02-18,68336.30516902439
2020-02-23,23157.941314239342
2020-02-28,45373.02771784825
2020-03-04,0.0
2020-03-09,117499.52479686844
2020-03-14,623155.7914062703
2020-03-15,719118.5660967517
2020-03-19,137060.7471595524
2020-03-24,535677.1079249633
2020-03-29,825838.9663594353
2020-03-31,515375.85884107184
2020-04-03,318755.68741517526
2020-04-08,863805.7871739432
2020-04-13,2994888.407755937
2020-04-16,1815439.4988028808
2020-04-18,1332385.7587861456
2020-04-23,939911.2022058028
2020-04-28,3469531.244494113
2020-05-02,11632645.985639997
2020-05-03,13215429.555926405
2020-05-13,4521696.461096658
2020-05-18,6188554.97161756
2020-05-23,2856399.3782062177
2020-05-28,524811.3431053483
2020-06-03,6012473.246296442
2020-06-07,2606698.638612793
2020-06-12,512098.0561115951
2020-06-17,254895.049133722
2020-06-19,396832.55086856656
2020-06-27,1022087.0465560484
2020-07-02,2626749.53346578
2020-07-05,3823850.3925315896
2020-07-07,4005330.2722035926
2020-07-12,3040479.7013991587
2020-07-17,1548421.5254509354
2020-07-21,2263771.228621424
2020-07-22,13739331.9515435
2020-07-27,10126488.369401908
2020-08-01,2372918.088606671
2020-08-06,4621392.407335089
2020-08-11,16842836.63392249
2020-08-16,4707830.634447583
2020-08-21,1029627.2816153524
2020-08-22,0.0
2020-08-31,5780251.11525349
2020-09-05,0.0
