date,outflow (m3/d)
2017-02-19,
2017-02-23,4730162.517007612
2017-03-07,848438.0986613905
2017-03-15,7074644.491549968
2017-03-23,1471217.627188192
2017-04-04,499011.62582338054
2017-04-08,995231.1980335775
2017-04-24,568425.0712895566
2017-05-10,2123202.6698476765
2017-05-14,7990064.760122314
2017-05-26,3049834.932201778
2017-06-03,1571747.7148499957
2017-06-11,2490104.558542483
2017-06-23,1861201.9524761487
2017-06-27,4171115.313383377
2017-07-08,3283201.711654551
2017-07-13,1627066.5527156992
2017-07-28,1353684.2850944374
2017-07-29,892088.5378853686
2017-08-02,2061637.4754082002
2017-08-14,2976384.5553942923
2017-08-17,2714108.327046531
2017-08-30,3389858.224758481
2017-09-06,12150146.12025288
2017-09-11,10734649.870993659
2017-09-15,5644766.081844073
2017-09-26,5683180.077273718
2017-10-01,754730.5144986552
2017-10-16,1775323.1871571408
2017-10-17,0.0
2017-10-21,4452751.595676019
2017-11-02,1451612.3857260975
2017-11-05,2647579.3799261167
2017-11-10,1443152.2301137438
2017-11-18,252615.14538628573
2017-11-25,1807975.031979114
2017-12-04,3435591.3132482404
2017-12-05,12462545.564697778
2017-12-15,1521121.8373130062
2017-12-20,2446471.4113597274
2017-12-25,1477348.3577231925
2018-01-04,939022.1783137008
2018-01-05,5300363.653924208
2018-01-09,1625680.5413947776
2018-01-14,1753065.5593510945
2018-01-21,920418.4363656595
2018-01-24,1540652.3301159241
2018-01-29,1079121.2498810787
2018-02-03,1048028.0783116696
2018-02-06,1133755.5687207042
2018-02-08,1285194.5699358508
2018-02-13,885894.7444954406
2018-02-18,729383.830677387
2018-02-22,796568.1570383844
2018-02-23,2287321.1275445577
2018-02-28,729908.4686958693
2018-03-05,355695.5480679814
2018-03-10,338493.31769086607
2018-03-15,341706.39224442746
2018-03-20,773792.2942774629
2018-03-25,670485.6816064628
2018-03-26,857170.2825958218
2018-03-30,392019.4488440188
2018-04-04,538175.2339638217
2018-04-09,489825.4519075193
2018-04-11,694204.2304361772
2018-04-14,606933.7190964571
2018-04-24,475222.062749362
2018-04-27,701785.9804471683
2018-04-29,1409551.5408772384
2018-05-04,680902.4757869286
2018-05-09,1460013.962934229
2018-05-13,4653011.454869572
2018-05-14,7956262.896932794
2018-05-19,4612933.93183133
2018-05-24,2338278.90988246
2018-05-29,1789112.629202502
2018-06-03,2672845.021365719
2018-06-08,4622105.897832075
2018-06-13,6403104.712658288
2018-06-14,18331537.821544565
2018-06-18,14149775.32224492
2018-06-23,8886565.568479557
2018-06-28,5904450.272387363
2018-06-30,5960442.276013154
2018-07-03,10042569.005936285
2018-07-08,6648835.151275797
2018-07-13,24268135.03441819
2018-07-18,29740357.18673246
2018-07-23,24932285.96808742
2018-07-28,2579427.478985668
2018-08-01,0.0
2018-08-02,18544409.90051609
2018-08-07,9770622.923800668
2018-08-12,9353227.260470482
2018-08-17,25303755.25910508
2018-08-22,31819847.433494657
2018-08-27,3167497.4665972046
2018-09-01,1292693.1134131593
2018-09-02,3728849.4206271265
2018-09-06,1644354.473116148
2018-09-11,2618168.2361026607
2018-09-21,2121633.9766636756
2018-09-26,4074972.536871439
2018-10-01,5589336.807246991
2018-10-04,5856663.570910137
2018-10-06,7355680.247734962
2018-10-11,5726253.377335405
2018-10-16,4633735.658627409
2018-10-20,7091450.212957207
