date,outflow (m3/d)
2017-02-19,
2017-02-23,4935834.122013961
2017-03-07,769704.8400499098
2017-03-15,7096742.572388756
2017-03-23,1450989.394112642
2017-04-04,464164.07136403065
2017-04-08,949777.5607045024
2017-04-24,575616.7390513003
2017-05-10,2095910.164797395
2017-05-14,7897139.930024491
2017-05-26,3031457.4105254035
2017-06-03,1599012.226461233
2017-06-11,2490899.492893182
2017-06-23,1866619.3232281406
2017-06-27,4170073.570368692
2017-07-08,3285918.9729860136
2017-07-13,1819647.342105239
2017-07-28,1316718.8283033962
2017-07-29,1780564.8346364682
2017-08-02,1941065.5893617102
2017-08-14,2995746.8594096582
2017-08-17,2668393.1326750307
2017-08-30,3394155.6007744204
2017-09-06,12144205.868117193
2017-09-11,10736308.67270992
2017-09-15,5640427.921624223
2017-09-26,5682787.078483136
2017-10-01,0.0
2017-10-16,496570.0841050208
2017-10-17,0.0
2017-10-21,4460802.780064421
2017-11-02,1517554.0288498471
2017-11-05,2836789.8781504496
2017-11-10,1623021.9390794837
2017-11-18,281949.08297704824
2017-11-25,1844456.2185751568
2017-12-04,3426206.4002697514
2017-12-05,12217959.54768988
2017-12-15,1504672.898220546
2017-12-20,0.0
2017-12-25,2581489.6665749126
2018-01-04,562853.1739922609
2018-01-05,6188939.613736808
2018-01-09,1321759.4650281775
2018-01-14,2013450.4172116145
2018-01-21,1673761.020038902
2018-01-24,1279258.5266972908
2018-01-29,2861055.589176919
2018-02-03,0.0
2018-02-06,6650452.33486517
2018-02-08,0.0
2018-02-13,2259994.898701321
2018-02-18,1027018.256763887
2018-02-22,1839081.4169870596
2018-02-23,4028943.8431263575
2018-02-28,1661545.5774320092
2018-03-05,2108648.7471859413
2018-03-10,1866278.7216551662
2018-03-15,980590.0961616475
2018-03-20,775118.8217349229
2018-03-25,671801.5055154028
2018-03-26,863743.4397570217
2018-03-30,430432.46527169377
2018-04-04,524543.3453922041
2018-04-09,597459.9694847792
2018-04-11,563608.8339392454
2018-04-14,768131.5146873238
2018-04-24,404935.9719695508
2018-04-27,934763.8428074335
2018-04-29,1236262.0707003337
2018-05-04,714096.4314463687
2018-05-09,1442872.9880363692
2018-05-13,4662446.335618721
2018-05-14,7933485.534180193
2018-05-19,4614316.50410891
2018-05-24,2336757.5201128596
2018-05-29,1789019.3523716826
2018-06-03,2672058.4822412594
2018-06-08,4622837.140110516
2018-06-13,6404244.6662908085
2018-06-14,18336271.587438464
2018-06-18,14151106.89970177
2018-06-23,8887587.39566168
2018-06-28,5905512.059863203
2018-06-30,5963087.936956404
2018-07-03,10044363.731497986
2018-07-08,6649918.822297137
2018-07-13,24269231.266433015
2018-07-18,29741462.725282323
2018-07-23,24933402.195017863
2018-07-28,4059594.152940249
2018-08-01,0.0
2018-08-02,18246779.349359985
2018-08-07,9832268.150388446
2018-08-12,9305739.441070061
2018-08-17,25310845.597797114
2018-08-22,31797358.224224467
2018-08-27,3159801.3575341245
2018-09-01,1277593.2541233192
2018-09-02,3795067.6521219267
2018-09-06,1674000.8581799732
2018-09-11,2653759.4401633404
2018-09-21,2254207.5925470856
2018-09-26,4208656.790131798
2018-10-01,3590325.3450709716
2018-10-04,4668975.390624137
2018-10-06,7342711.234838663
2018-10-11,5719963.488943885
2018-10-16,4628004.037720648
2018-10-20,7083948.742758331
2018-10-21,13392358.875278203
2018-10-26,5024613.842007669
2018-10-31,1180374.5873871106
2018-11-05,1240105.9928904355
2018-11-10,1283403.0178590966
2018-11-15,874405.625762296
2018-11-20,4022862.1456938223
2018-11-21,8027003.691980502
2018-11-25,3456474.402679428
2018-11-30,1890164.6550940387
2018-12-07,723045.0359468373
2018-12-10,946520.667320163
2018-12-15,554496.713999005
2018-12-20,555576.2579283786
2018-12-23,605121.2878025965
2018-12-25,718221.1216765463
2018-12-30,531842.9703060376
2019-01-04,457369.6007356397
2019-01-08,448394.4107569563
2019-01-09,708799.9145748692
2019-01-14,412522.58135720895
2019-01-19,416157.7821131532
2019-01-24,384055.05366841966
2019-01-29,367378.07719545066
2019-02-03,354110.75466017606
2019-02-08,360781.6083331642
2019-02-09,683622.344830065
2019-02-13,2082732.641395721
2019-02-18,954075.2781551367
2019-02-23,408158.9355658518
2019-02-25,408607.5354706285
2019-02-28,410327.3136511226
2019-03-05,369231.6043233384
2019-03-10,395266.7773898333
2019-03-13,643776.6496780004
2019-03-15,566674.1231115788
2019-03-20,356723.0254647966
2019-03-25,390353.24211263476
2019-03-29,340013.74263749825
2019-03-30,726723.6910423988
2019-04-04,348643.03023365745
2019-04-09,364905.4504547836
2019-04-14,1309160.644143209
2019-04-19,2232578.2113919687
2019-04-24,13656976.691078067
2019-04-29,7046573.833525656
2019-04-30,4610262.719784209
2019-05-04,1681588.7554598805
2019-05-09,683263.675519891
2019-05-14,529053.4862848233
2019-05-16,675905.6333804282
2019-05-19,724219.0590295501
2019-05-24,927529.1630240355
2019-05-29,734203.9439637796
2019-06-01,787075.619183218
2019-06-03,847356.5269000124
2019-06-08,966060.1212985851
2019-06-13,2053517.877824197
2019-06-17,2399866.8336969963
2019-06-18,1826042.4905538817
2019-06-23,1053351.1285090602
2019-06-28,1629783.708764863
2019-07-03,589171.7447982869
2019-07-08,511248.00462124933
2019-07-13,1195836.8273891725
2019-07-18,718704.1272885342
2019-07-19,3983916.0632007574
2019-07-23,5353696.428463069
2019-07-28,2628126.171440776
2019-08-02,972918.6835334837
2019-08-04,692136.889358049
2019-08-07,6243536.454152514
2019-08-12,42625684.558691554
2019-08-17,18500573.665719196
2019-08-20,7080113.477927761
2019-08-22,6764880.634270597
2019-08-27,4653848.474527491
2019-09-05,3510800.78631043
2019-09-06,8411327.888643429
2019-09-11,3071083.8687326387
2019-09-16,3869366.7251787377
2019-09-21,3632150.8040524307
2019-09-26,4115950.2337068873
2019-10-01,2903774.15214244
2019-10-06,3538959.802511309
2019-10-07,9521679.887153987
2019-10-11,6727103.636610986
2019-10-16,8548054.24160729
2019-10-21,10339267.130994959
2019-10-23,20340887.737264898
2019-10-26,9656097.775620723
2019-11-05,2708664.753020391
2019-11-08,1251649.962465226
2019-11-10,2529106.0003789146
2019-11-15,3735648.08145341
2019-11-20,1484947.5358064775
2019-11-24,815014.2886715702
2019-11-25,189893.3602579668
2019-11-30,342693.8169644676
2019-12-05,1465689.7851605727
2019-12-10,765446.1262152155
2019-12-15,618516.9870715106
