date,outflow (m3/d)
2017-08-02,7364284.380684738
2017-08-14,1678966.8696048765
2017-08-17,12221552.123450726
2017-08-30,0.0
2017-09-06,34297309.87734774
2017-09-11,0.0
2017-09-15,12971542.644634023
2017-09-26,11786192.269163411
2017-10-01,29002534.85743487
2017-10-16,5925113.087488426
2017-10-17,5631446.815663248
2017-10-21,17492245.40344514
2017-11-02,6761758.525744909
2017-11-05,34714226.28650527
2017-11-18,8687034.173476586
2017-11-25,0.0
2017-11-30,5936566.294249052
2017-12-04,27659734.050230622
2017-12-05,36794214.06821021
2017-12-15,2547591.629830867
2017-12-20,344238.1983257044
2017-12-25,0.0
2018-01-04,445200.7037811337
2018-01-05,0.0
2018-01-09,10975903.923687955
2018-01-14,2561563.1072095223
2018-01-21,0.0
2018-01-24,1854126.2131872647
2018-01-29,0.0
2018-02-03,4457702.911743997
2018-02-06,0.0
2018-02-08,4723230.844100663
2018-02-13,12960623.400431016
2018-02-18,24626240.96624653
2018-02-22,0.0
2018-02-23,184723471.67292976
2018-02-28,0.0
2018-03-05,6591696.435026556
2018-03-10,0.0
2018-03-15,658518.4544150183
2018-03-20,19175526.604348324
2018-03-25,24702999.855189662
2018-03-26,0.0
2018-03-30,3185942.231156127
2018-04-04,427179.32729798974
2018-04-09,822126.4711626088
2018-04-11,1294416.2519105372
2018-04-14,5007389.187028174
2018-04-24,3947162.137482041
2018-04-27,2039247.6567633897
2018-04-29,2924305.221384272
2018-05-04,857817.5356987506
2018-05-09,4949386.469143276
2018-05-13,32387811.4733776
2018-05-14,58191493.05762749
2018-05-19,28425859.62621281
2018-05-24,16448153.54406614
2018-05-29,7592599.883397817
2018-06-03,6763004.382066788
2018-06-08,4459985.280255849
2018-06-14,5121541.024475935
2018-06-18,5115749.461068357
2018-06-23,4516463.02053043
2018-06-28,3626100.546862899
2018-06-30,1442889.3699985896
2018-07-03,1664452.4008704294
2018-07-08,0.0
2018-07-13,5030579.85134987
2018-07-18,7098739.712941436
2018-07-23,14935033.755889988
2018-07-28,0.0
2018-08-01,6087097.118924991
2018-08-02,30721426.727751307
2018-08-07,11722330.214130249
2018-08-12,10410070.36808533
2018-08-17,67083994.237311065
2018-08-22,73685031.08469562
2018-08-27,9617062.786538117
2018-09-01,6316209.414765489
2018-09-02,0.0
2018-09-06,0.0
2018-09-11,0.0
2018-09-21,1208943.2286669256
2018-09-26,0.0
2018-10-01,43720569.3167184
2018-10-04,31872770.601918463
