date,outflow (m3/d)
2017-08-02,1594874.577265111
2017-08-14,701177.9240712512
2017-08-17,4006039.0857214835
2017-08-30,0.0
2017-09-06,7640820.297759175
2017-09-11,0.0
2017-09-15,1266101.9459562236
2017-09-26,6158132.06942528
2017-10-01,0.0
2017-10-16,2276009.07880412
2017-10-17,0.0
2017-10-21,1663662.7192431476
2017-11-02,3730329.769780957
2017-11-05,14048120.78887396
2017-11-18,8386044.481236093
2017-11-25,9100428.957473401
2017-11-30,0.0
2017-12-04,23419746.725632396
2017-12-05,758440.0479315016
2017-12-15,0.0
2017-12-20,153014.6972928185
2017-12-25,0.0
2018-01-04,17450158.331061427
2018-01-05,606459.4058182383
2018-01-09,0.0
2018-01-14,1250939.7332544997
2018-01-21,0.0
2018-01-24,13470711.74081019
2018-01-29,0.0
2018-02-03,3108279.53347878
2018-02-06,0.0
2018-02-08,394333.9793173908
2018-02-13,1255486.7800545737
2018-02-18,641340.4916957167
2018-02-22,22547947.828764707
2018-02-23,0.0
2018-02-28,4312122.107551615
2018-03-05,0.0
2018-03-10,3797900.0564985643
2018-03-15,321117.84212753584
2018-03-20,1193493.8153700323
2018-03-25,796976.2158248313
2018-03-26,0.0
2018-03-30,8903778.214940226
2018-04-04,956545.1291197102
2018-04-09,448648.7277617042
2018-04-11,836000.6364215651
2018-04-14,1658011.2945554531
2018-04-24,562517.160660306
2018-04-27,1618449.826962528
2018-04-29,1034524.8680759599
2018-05-04,504559.23512942716
2018-05-09,1529160.5054987096
2018-05-13,5808959.101091977
2018-05-14,9073457.00899486
2018-05-19,4358015.141972647
2018-05-24,2571256.272252391
2018-05-29,1931668.7623097186
2018-06-03,1425781.7684457093
2018-06-08,4537943.05760002
2018-06-14,5923595.109793763
2018-06-18,6982463.074619898
2018-06-23,8648523.491866743
2018-06-28,5979884.24547015
2018-06-30,4993513.394798237
2018-07-03,6467273.872368272
2018-07-08,4254705.930233225
2018-07-13,11994373.281519862
2018-07-18,23827518.537927385
2018-07-23,19838016.70117901
2018-07-28,3749403.6793561676
2018-08-01,13769683.744187145
2018-08-02,39746731.17780181
2018-08-07,11191325.08464628
2018-08-12,8915819.445337074
2018-08-17,21639510.406617172
2018-08-22,32376857.269699078
2018-08-27,4141970.0282699307
2018-09-01,5184822.7205871
2018-09-02,0.0
2018-09-06,0.0
2018-09-11,5084264.964902319
2018-09-21,0.0
2018-09-26,16522537.959850432
2018-10-01,0.0
2018-10-04,11741685.344777426
2018-10-06,4661152.599817872
2018-10-11,9791677.800558245
2018-10-16,2290939.703243018
2018-10-20,11135354.681090314
2018-10-21,74530698.42219898
2018-10-26,706137.4317661151
2018-10-31,7511620.999570179
2018-11-05,4011192.3557229456
2018-11-10,1869072.430289261
2018-11-15,4841959.359491364
2018-11-20,3701812.752910622
2018-11-21,17276489.867353097
2018-11-25,30705103.14690021
2018-11-30,0.0
2018-12-07,4396563.801171504
2018-12-10,7836255.450146976
2018-12-15,0.0
2018-12-20,1498852.1707043133
2018-12-23,0.0
2018-12-25,2480122.3103927374
2018-12-30,0.0
2019-01-04,13668553.716234349
2019-01-08,0.0
2019-01-09,17431622.857939314
2019-01-14,0.0
2019-01-19,1251182.6263830364
2019-01-24,12452.335014576649
2019-01-29,601286.5726908616
2019-02-03,1070395.5646501598
2019-02-08,1652010.9553743112
2019-02-09,6056543.360645961
2019-02-13,4406820.682697189
2019-02-18,2275030.765716438
2019-02-23,1581332.1364643988
2019-02-25,3190767.9154556347
2019-02-28,4157522.8923850344
2019-03-05,9833338.317996457
2019-03-10,26568064.577050712
2019-03-13,0.0
2019-03-15,23195865.058310136
2019-03-20,490912.4262680908
2019-03-25,3063469.4069058145
2019-03-29,2000621.0252893113
2019-03-30,10222003.512281094
2019-04-04,1923086.7607153512
2019-04-09,1679977.18070885
2019-04-14,4028553.6418082747
2019-04-19,5706718.707204175
2019-04-24,37618949.31874575
2019-04-29,15007039.112656502
2019-04-30,7455818.26514064
2019-05-04,3247866.6367104356
2019-05-09,757109.0071894387
2019-05-14,1752593.4535811944
2019-05-16,2169052.384673904
2019-05-19,2220370.798585358
2019-05-24,976801.7949105157
2019-05-29,1281964.5866708674
2019-06-01,1553728.4333010258
2019-06-03,1616433.9121116484
2019-06-08,1095995.3692933256
2019-06-13,2199826.8684654264
2019-06-17,2540321.0936765214
2019-06-18,2044816.1079338822
2019-06-23,1235393.6550626678
2019-06-28,1750529.4836067923
