date,outflow (m3/d)
2017-08-02,8206152.266218961
2017-08-14,0.0
2017-08-17,10642381.20507445
2017-08-30,0.0
2017-09-06,22803298.157103676
2017-09-11,0.0
2017-09-15,7337775.884228924
2017-09-26,4835030.357677924
2017-10-01,29859073.31471565
2017-10-16,3985312.6881789863
2017-10-17,0.0
2017-10-21,12038702.91728157
2017-11-02,4849496.454962878
2017-11-05,18765049.87123839
2017-11-18,3662380.7399370237
2017-11-25,0.0
2017-11-30,6394411.384168538
2017-12-04,15242401.814551346
2017-12-05,9875644.620474804
2017-12-15,414486.938632985
2017-12-20,546320.3953064386
2017-12-25,0.0
2018-01-04,736384.7891033781
2018-01-05,0.0
2018-01-09,11290407.241264632
2018-01-14,2857628.40429732
2018-01-21,102215.56371502126
2018-01-24,2166254.9492219193
2018-01-29,0.0
2018-02-03,4714958.045293661
2018-02-06,0.0
2018-02-08,3232389.8327469905
2018-02-13,0.0
2018-02-18,16055126.668702979
2018-02-22,0.0
2018-02-23,184878791.4425351
2018-02-28,0.0
2018-03-05,6795947.523730081
2018-03-10,0.0
2018-03-15,321117.84212753584
2018-03-20,4070110.501616272
2018-03-25,13366730.877197433
2018-03-26,0.0
2018-03-30,2283094.6362600503
2018-04-04,335450.7895365901
2018-04-09,611851.4447467682
2018-04-11,987544.6860610648
2018-04-14,1679031.4979701862
2018-04-24,768716.202310506
2018-04-27,825536.1634390614
2018-04-29,1140799.8594186595
2018-05-04,485631.1562820272
2018-05-09,1540723.9515226495
2018-05-13,5804505.888381601
2018-05-14,9093134.428244658
2018-05-19,4358226.206218627
2018-05-24,2573308.643552511
2018-05-29,1932802.1146327988
2018-06-03,1427364.9051058493
2018-06-08,4535357.052783961
2018-06-14,5919887.3315499285
2018-06-18,6978038.845313923
2018-06-23,8644478.188482821
2018-06-28,5976056.726578311
2018-06-30,4983566.970968537
2018-07-03,6460705.716270372
2018-07-08,0.0
2018-07-13,12103658.743139181
2018-07-18,14385115.708513603
2018-07-23,15699532.270880533
2018-07-28,275489.73305770755
2018-08-01,11313730.909207644
2018-08-02,39560409.34167181
2018-08-07,12701372.551436123
2018-08-12,9653756.837242575
2018-08-17,46735727.26529337
2018-08-22,32376857.269699078
2018-08-27,4141970.0282699307
2018-09-01,5184822.7205871
2018-09-02,0.0
2018-09-06,0.0
2018-09-11,0.0
2018-09-21,1384544.5560221362
2018-09-26,0.0
2018-10-01,16376485.02311342
2018-10-04,0.0
2018-10-06,16577510.633345673
2018-10-11,7409601.5148662655
2018-10-16,0.0
2018-10-20,23019704.164118715
2018-10-21,51261272.3640456
2018-10-26,0.0
2018-10-31,8211005.387246622
2018-11-05,9794606.012783146
2018-11-10,31072.781136801466
2018-11-15,0.0
2018-11-20,2092951.2704841408
2018-11-21,17276489.867353097
2018-11-25,40003747.79413252
2018-11-30,0.0
2018-12-07,5541094.450632162
2018-12-10,0.0
2018-12-15,4038984.8944328926
2018-12-20,0.0
2018-12-23,484804.31746121775
2018-12-25,0.0
2018-12-30,2618051.103702568
2019-01-04,0.0
2019-01-08,1086526.1150420436
2019-01-09,0.0
2019-01-14,14774494.452856716
2019-01-19,1084861.6486621764
2019-01-24,102849.27710017667
2019-01-29,9533844.86375174
2019-02-03,0.0
2019-02-08,3132373.1591554307
2019-02-09,3479762.419726561
2019-02-13,6680822.835428065
2019-02-18,0.0
2019-02-23,9685127.557659078
2019-02-25,0.0
2019-02-28,8094597.097433199
2019-03-05,14083191.82934092
2019-03-10,0.0
2019-03-13,27378318.80006848
2019-03-15,0.0
2019-03-20,6989895.261120291
2019-03-25,2211946.922998714
2019-03-29,4390324.221544186
2019-03-30,39279315.170249484
2019-04-04,283192.8368634108
2019-04-09,1295703.4640596497
2019-04-14,4025008.0790556953
2019-04-19,5211367.733671515
2019-04-24,37864139.19659755
2019-04-29,14888416.99599366
2019-04-30,7764775.8634539405
2019-05-04,3213054.6341576106
2019-05-09,773755.9573416387
2019-05-14,1747172.001040255
2019-05-16,2182848.8748003542
2019-05-19,1482787.7548444245
2019-05-24,1200476.4049231757
2019-05-29,1177888.492740347
2019-06-01,1652175.2091150694
2019-06-03,1562238.5679442484
2019-06-08,1114367.2561745855
2019-06-13,2198332.909268806
2019-06-17,2550738.5134578464
2019-06-18,2062021.9925258823
2019-06-23,1241237.6830373676
2019-06-28,1755160.3672117724
