date,outflow (m3/d)
2017-08-02,4508730.964598704
2017-08-14,0.0
2017-08-17,10026873.975947319
2017-08-30,0.0
2017-09-06,3284760.0639817733
2017-09-11,0.0
2017-09-15,718291.2607039277
2017-09-26,475947.9963848611
2017-10-01,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-21,0.0
2017-11-02,237562.5421247798
2017-11-05,2982461.368542143
2017-11-18,1650773.7442816845
2017-11-25,0.0
2017-11-30,3400216.816573324
2017-12-04,9225377.136192262
2017-12-05,4141103.9347263672
2017-12-15,0.0
2017-12-20,0.0
2017-12-25,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-09,0.0
2018-01-14,0.0
2018-01-21,149752.9479720185
2018-01-24,0.0
2018-01-29,41324.293600225035
2018-02-03,0.0
2018-02-06,0.0
2018-02-08,0.0
2018-02-13,0.0
2018-02-18,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-28,693784.3427653973
2018-03-05,1061442.067445246
2018-03-10,874053.3916428791
2018-03-15,996271.5906651404
2018-03-20,1102633.6875189503
2018-03-25,1037654.0190483629
2018-03-26,4561691.556914571
2018-03-30,1054202.7556697591
2018-04-04,878594.2432793062
2018-04-09,1668783.5101621747
2018-04-11,5272537.065416928
2018-04-14,3119632.7260576934
2018-04-24,776059.5700023271
2018-04-27,2075774.9708669486
2018-04-29,14389750.980794383
2018-05-04,0.0
2018-05-09,2442834.2362852595
2018-05-13,1520780.150031844
2018-05-14,7951822.504872541
2018-05-19,1507999.2476701313
2018-05-24,1584858.111609469
2018-05-29,1443847.9441580614
2018-06-03,0.0
2018-06-08,148491.70150142972
2018-06-14,0.0
2018-06-18,0.0
2018-06-23,0.0
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,1865451.63427402
2018-07-08,0.0
2018-07-13,0.0
2018-07-18,466781.2509495594
2018-07-23,3012157.380930999
2018-07-28,0.0
2018-08-01,0.0
2018-08-02,8555726.746470407
2018-08-07,4972573.5629431745
2018-08-12,3063627.6278151697
2018-08-17,8603371.476844626
2018-08-22,13263085.833134184
2018-08-27,4106439.2857116167
2018-09-01,2274819.472068268
2018-09-02,0.0
2018-09-06,0.0
2018-09-11,3432630.4880658397
2018-09-18,856042.3317353758
2018-09-21,1148981.6466419746
2018-09-26,1856460.1615403544
2018-10-01,962085.3764706029
2018-10-04,350543.9470981229
2018-10-06,2355789.9472369156
2018-10-11,1455863.614644315
2018-10-16,818063.2735698487
2018-10-20,961647.977773795
2018-10-21,2438081.554591923
2018-10-26,3150681.381787496
2018-10-31,1679039.4392389667
2018-11-05,808600.4267489192
2018-11-10,1059142.327957042
2018-11-15,413799.44547561434
2018-11-20,655201.7773131551
2018-11-21,4321236.705912293
2018-11-25,3960702.055254158
2018-11-30,2136074.7421895834
2018-12-07,261953.78180594379
2018-12-10,115132.16386171166
2018-12-15,100025.520441054
2018-12-20,121744.09007340026
2018-12-23,151893.02484225202
2018-12-25,233352.83292548792
2018-12-30,114989.41204979263
2019-01-04,95276.57279909009
2019-01-08,111026.10643057048
2019-01-09,400352.5855101885
2019-01-14,90682.21241168454
2019-01-24,56333.94332344548
2019-01-29,90818.6124065604
2019-02-03,10234.3396061873
2019-02-08,0.0
2019-02-09,0.0
2019-02-18,364670.0496260374
2019-02-23,23653.444979386106
2019-02-25,0.0
2019-02-28,1953957.119274769
2019-03-05,1761434.5213379643
2019-03-10,1475382.6550636566
2019-03-13,2765308.9296561168
2019-03-15,3478413.4762871712
2019-03-20,1413122.1760198143
2019-03-25,1541061.9642500184
2019-03-29,2101596.77272508
2019-03-30,7895967.144384972
2019-04-04,8340768.670766641
2019-04-09,1831933.4353370983
2019-04-14,2481226.242320096
2019-04-19,2746212.5382108637
2019-04-24,14606473.960454104
2019-04-29,8662886.647626547
2019-04-30,8788817.626966946
2019-05-04,7020379.769362006
2019-05-09,0.0
2019-05-14,1341853.1834356966
2019-05-16,1937684.8959478661
2019-05-19,1569774.9568366716
2019-05-24,1747267.0568526888
2019-05-29,4655063.385581256
2019-06-01,0.0
2019-06-03,4208100.661896562
2019-06-08,0.0
2019-06-13,1337730.8877407971
2019-06-17,1777374.760592398
2019-06-18,5006882.745019194
2019-06-23,1166938.0564955515
2019-06-28,236189.41122794844
