date,outflow (m3/d)
2017-08-02,4654161.548237004
2017-08-14,0.0
2017-08-17,0.0
2017-08-30,0.0
2017-09-06,59081.43302354469
2017-09-11,0.0
2017-09-15,0.0
2017-09-26,0.0
2017-10-01,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-21,0.0
2017-11-02,288929.6022973715
2017-11-05,1543646.1681205425
2017-11-18,1562731.5912639766
2017-11-25,0.0
2017-11-30,4449248.480027643
2017-12-04,11771305.223999443
2017-12-05,3363968.4305720674
2017-12-15,0.0
2017-12-20,0.0
2017-12-25,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-09,0.0
2018-01-14,0.0
2018-01-21,242864.4325997614
2018-01-24,0.0
2018-01-29,62116.79001062504
2018-02-03,0.0
2018-02-06,0.0
2018-02-08,0.0
2018-02-13,0.0
2018-02-18,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-28,4304121.561028837
2018-03-05,0.0
2018-03-10,1934713.9029692793
2018-03-15,954795.7317036603
2018-03-20,1583017.1014973703
2018-03-25,1254679.889176623
2018-03-26,6498425.955682671
2018-03-30,1566121.603771759
2018-04-04,1318345.4674731262
2018-04-09,2458698.2880221144
2018-04-11,28231227.345214076
2018-04-14,0.0
2018-04-24,3873865.8182867966
2018-04-27,0.0
2018-04-29,7358019.6108380845
2018-05-04,951901.5166425618
2018-05-09,2044676.5982757986
2018-05-13,2348506.0720859687
2018-05-14,8549578.43242064
2018-05-19,1926374.920114751
2018-05-24,1838107.6908912691
2018-05-29,1743067.9089124813
2018-06-03,1589055.4091610862
2018-06-08,0.0
2018-06-14,0.0
2018-06-18,0.0
2018-06-23,0.0
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,419295.19838445354
2018-07-08,0.0
2018-07-13,0.0
2018-07-18,684246.0395243391
2018-07-23,2926295.004987279
2018-07-28,0.0
2018-08-01,0.0
2018-08-02,8627268.047761608
2018-08-07,5001461.310351374
2018-08-12,3081045.770531809
2018-08-17,8679699.733768685
2018-08-22,13279584.985285083
2018-08-27,3994771.5945386156
2018-09-01,2294838.3955380674
2018-09-02,0.0
2018-09-06,0.0
2018-09-11,1299244.5647955795
2018-09-18,856042.3317353758
2018-09-21,1148981.6466419746
2018-09-26,1856460.1615403544
2018-10-01,962085.3764706029
2018-10-04,350543.9470981229
2018-10-06,2355789.9472369156
2018-10-11,1455863.614644315
2018-10-16,818063.2735698487
2018-10-20,961647.977773795
2018-10-21,2438081.554591923
2018-10-26,3150681.381787496
2018-10-31,1679039.4392389667
2018-11-05,728224.5141241591
2018-11-10,1066777.155865282
2018-11-15,424236.0770648744
2018-11-20,664229.1628928351
2018-11-21,4298814.908872401
2018-11-25,3990169.742506633
2018-11-30,2145610.8980260235
2018-12-07,258558.86002179518
2018-12-10,119115.14204891164
2018-12-15,98859.502701374
2018-12-20,122369.47485022029
2018-12-23,151443.5953152187
2018-12-25,233796.58903243789
2018-12-30,114943.49464649263
2019-01-04,95342.26773221014
2019-01-08,111038.50742067049
2019-01-09,400541.46177238843
2019-01-14,90706.06017820453
2019-01-24,56349.340863115474
2019-01-29,90845.9254806004
2019-02-03,10233.708095158114
2019-02-08,0.0
2019-02-09,0.0
2019-02-18,364663.1592143819
2019-02-23,23643.004154646107
2019-02-25,0.0
2019-02-28,1954697.0521042692
2019-03-05,1762385.8952682843
2019-03-10,1475929.6558386367
2019-03-13,2766305.7529658168
2019-03-15,3484949.5855275714
2019-03-20,1413651.3245426542
2019-03-25,1536954.5887259583
2019-03-29,2102387.3514604047
2019-03-30,7911548.6416211715
2019-04-04,1486397.9193374612
2019-04-09,1619997.145184039
2019-04-14,2280218.574442676
2019-04-19,2681855.7550760233
2019-04-24,14430856.914201725
2019-04-29,8847576.687001048
2019-04-30,9759405.227999348
2019-05-04,2347104.048416708
2019-05-09,1153803.896058536
2019-05-14,1241047.5234400167
2019-05-16,2657931.5416392153
2019-05-19,1687844.7164793047
2019-05-24,1044939.3916236685
2019-05-29,1002889.7955452362
2019-06-01,1743526.2104544942
2019-06-03,2437386.606185312
2019-06-08,953326.7833812103
2019-06-13,1268072.1055913572
2019-06-17,1689114.4605931481
2019-06-18,4749132.056184293
2019-06-23,1037563.1260569915
2019-06-28,1096302.4836240883
