date,outflow (m3/d)
2017-07-29,59353.2937029338
2017-08-02,1512.3621413976075
2017-08-14,121797.5641497636
2017-08-15,0.0
2017-08-17,0.0
2017-08-30,265509.1013231956
2017-09-06,1085455.9840857312
2017-09-11,1207092.3023594944
2017-09-15,543108.1885553946
2017-09-19,424463.6724109691
2017-09-24,672042.5837194098
2017-09-26,152164.60201645084
2017-10-01,31723.82692419429
2017-10-09,42200.60700880866
2017-10-14,260952.09140220072
2017-10-17,931931.2224889837
2017-10-21,173595.5016790921
2017-10-29,30325.86334450817
2017-11-02,6646.213567556487
2017-11-03,26747.33097781992
2017-11-05,0.0
2017-11-08,0.0
2017-11-18,22147.22240087466
2017-11-23,0.0
2017-11-25,74031.60427784466
2017-11-28,85439.95820962018
2017-11-30,48553.55484317385
2017-12-04,65396.59961430503
2017-12-05,0.0
2017-12-08,39808.651415667984
2017-12-13,0.0
2017-12-18,11560.061440520583
2017-12-20,0.0
2017-12-25,0.0
2017-12-28,4602.475354526392
2018-01-02,0.0
2018-01-04,0.0
2018-01-05,5922.196460036671
2018-01-09,0.0
2018-01-14,0.0
2018-01-17,0.0
2018-01-21,0.0
2018-01-22,747820.4291250862
2018-01-24,1261525.1296810238
2018-01-27,0.0
2018-01-29,359504.1352416208
2018-02-06,15053.745165665208
2018-02-08,986505.7499084444
2018-02-11,1004691.8386342044
2018-02-13,495868.05494328594
2018-02-16,109478.29882989432
2018-02-18,18169.46097359916
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-28,117979.36663520888
2018-03-03,306929.63667872146
2018-03-05,372861.3697695986
2018-03-08,276427.7775374531
2018-03-10,621000.3503988815
2018-03-13,7094.024544601124
2018-03-15,75798.89823109849
2018-03-18,691201.1283824717
2018-03-20,1016504.5081143612
2018-03-23,663300.4736231636
2018-03-25,256110.4449820319
2018-03-26,23063.70769458412
2018-03-28,68334.4633291766
2018-03-30,39431.34903506621
2018-04-02,18998.688871973776
2018-04-04,17614.023205681384
2018-04-07,13155.840009573049
2018-04-09,14083.388456315495
2018-04-11,13371.952296603877
2018-04-12,54427.74973411568
2018-04-14,31814.06783624575
2018-04-17,43624.09468744052
2018-04-19,80715.38226937871
2018-04-22,56459.17451369984
2018-04-24,0.0
2018-04-27,21418.47719738383
2018-04-29,27573.333224177
2018-05-02,192982.0961821241
2018-05-04,1044930.0280194256
2018-05-07,1652028.0569731523
2018-05-09,927528.6596433008
2018-05-12,1613255.3894239515
2018-05-13,3475414.7801836105
2018-05-14,3236637.182441864
2018-05-17,1351989.710648476
2018-05-19,1671034.4788908183
2018-05-22,1251203.3189929011
2018-05-24,757252.454067857
2018-05-29,981440.9441060844
2018-06-01,1951771.573953568
2018-06-03,523872.2160025783
2018-06-06,1132706.4365820335
2018-06-08,1306148.5990539568
2018-06-11,397627.7682632906
2018-06-13,365880.4660948934
2018-06-14,1695444.2252667109
2018-06-16,2481039.4117407124
2018-06-18,2019029.2003502543
2018-06-21,634685.23415147
2018-06-23,592033.1737411441
2018-06-26,691825.7673055935
2018-06-28,282672.5752610716
2018-06-30,76853.69988499969
2018-07-01,55558.04532597268
2018-07-03,36729.2241802954
2018-07-06,13221.06368357419
2018-07-08,5399.997197471833
2018-07-11,125039.67645819638
2018-07-13,1098997.1749658142
2018-07-16,938948.042948304
2018-07-18,603751.6077069045
2018-07-21,658654.1477113406
2018-07-23,845813.5178928368
2018-07-26,334031.59647163603
2018-07-28,121744.6576998284
