date,outflow (m3/d)
2017-07-29,54709.64970764649
2017-08-02,22951.14298063309
2017-08-14,74096.87555010908
2017-08-15,0.0
2017-08-17,0.0
2017-08-30,152725.07605340125
2017-09-06,650613.6508442598
2017-09-11,781969.7951880028
2017-09-15,528388.6127589543
2017-09-19,315124.6991777498
2017-09-24,677161.8011664286
2017-09-26,299953.7881122541
2017-10-01,105854.49061355698
2017-10-09,57522.66899519584
2017-10-14,169809.30244573986
2017-10-17,642487.5620165216
2017-10-21,379670.7761760712
2017-10-29,80056.15913747724
2017-11-02,31794.619715449953
2017-11-03,32993.965521569975
2017-11-05,21055.388023498675
2017-11-08,28552.315533085082
2017-11-18,16006.125798540526
2017-11-23,13090.627946026261
2017-11-25,58141.0437658631
2017-11-28,62432.195975353294
2017-11-30,73244.406530251
2017-12-04,72553.78657287282
2017-12-05,29937.327300855137
2017-12-08,0.0
2017-12-13,0.0
2017-12-18,0.0
2017-12-20,0.0
2017-12-25,0.0
2017-12-28,0.0
2018-01-02,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-09,2611.020219523065
2018-01-14,9607.908416765495
2018-01-17,0.0
2018-01-21,5396.421641448997
2018-01-22,11257.564691133523
2018-01-24,12574.263416677359
2018-01-27,0.0
2018-01-29,0.0
2018-02-06,12710.084470968586
2018-02-08,0.0
2018-02-11,48972.85694813472
2018-02-13,0.0
2018-02-16,10763.614351856972
2018-02-18,0.0
2018-02-21,4466.681354169086
2018-02-22,0.0
2018-02-23,17560.611366395027
2018-02-28,7275.849999656253
2018-03-03,18644.412063589203
2018-03-05,19706.604386515926
2018-03-08,16329.017993050866
2018-03-10,21178.71269439103
2018-03-13,35982.098441701855
2018-03-15,6900.146809903541
2018-03-18,44550.639212587994
2018-03-20,61432.634495988
2018-03-23,34172.8268960937
2018-03-25,20243.038262826914
2018-03-26,0.0
2018-03-28,58165.297157533205
2018-03-30,18254.546726625307
2018-04-02,6866.956585449899
2018-04-04,31006.5020804146
2018-04-07,18142.492075491973
2018-04-09,0.0
2018-04-11,14163.306404036444
2018-04-12,55533.53045663032
2018-04-14,21101.063583760468
2018-04-17,54308.7464336398
2018-04-19,50594.19252882198
2018-04-22,26103.22179664054
2018-04-24,30858.104907338104
2018-04-27,20795.661088191373
2018-04-29,27780.334448766782
2018-05-02,71787.51449748917
2018-05-04,201197.8021048214
2018-05-07,240360.46061437842
2018-05-09,156471.64868400132
2018-05-12,287545.14389592194
2018-05-13,566808.8399459457
2018-05-14,446822.8344292163
2018-05-17,196140.765045093
2018-05-19,215296.3515703068
2018-05-22,200140.39167659654
2018-05-24,290340.9129979279
2018-05-29,452142.13152850803
2018-06-01,1631703.9483910573
2018-06-03,730466.901885847
2018-06-06,1490574.8635381788
2018-06-08,2361736.37092168
2018-06-11,1018854.9226021678
2018-06-13,969928.5501820212
2018-06-14,2641997.7136878287
2018-06-16,4161690.954342726
2018-06-18,4019254.3323742086
2018-06-21,1652297.7229790152
2018-06-23,1528606.0365806273
2018-06-26,1575870.199221557
2018-06-28,984608.2954939497
2018-06-30,487435.0814153891
2018-07-01,449349.2952782475
2018-07-03,314793.7578906059
2018-07-06,220532.94109841413
2018-07-08,264830.46658432245
2018-07-11,1560679.4988059786
2018-07-13,5756878.374000819
2018-07-16,4201823.901676114
2018-07-18,2823943.987583007
2018-07-21,3042620.9002324343
2018-07-23,3430758.8678051564
2018-07-26,1558439.2980857869
2018-07-28,1256026.4139321498
2018-07-31,950850.4539688291
2018-08-01,1507745.4122931096
2018-08-02,2521953.76456003
2018-08-05,1666858.759681006
2018-08-07,676113.8370614193
2018-08-10,1151463.69371207
2018-08-12,3767889.218499292
2018-08-15,2657809.319183481
2018-08-17,4578921.085601698
2018-08-20,3942175.2009691154
2018-08-22,1547370.0127422702
2018-08-25,422884.1235489889
2018-08-27,194316.6770750721
2018-08-30,38329.73992879438
2018-09-01,18673.312234283614
2018-09-02,66187.62859283191
2018-09-04,35918.77017962876
2018-09-06,12469.386524648213
2018-09-09,3731.0039127351906
2018-09-11,1252.3472476913867
2018-09-14,1473.8899181151571
2018-09-18,1888.0304889649392
2018-09-19,17407.764089285607
2018-09-21,18757.53915988878
2018-09-24,22762.172735807464
2018-09-26,114988.35045898469
2018-09-29,175907.82956620137
2018-10-01,269639.1887913423
2018-10-04,244082.4583374721
2018-10-06,992000.8818915135
2018-10-09,829864.1764587803
2018-10-11,594506.2863084686
2018-10-14,675327.0630629265
2018-10-16,565372.2340023327
2018-10-19,417678.6459120987
2018-10-20,933693.7860196036
2018-10-21,1265695.4042827408
2018-10-24,994205.8360342368
2018-10-26,771073.9238820238
2018-10-29,314471.28410637425
2018-10-31,146223.91687815383
2018-11-03,65733.03554391603
2018-11-05,12977.597135022665
2018-11-08,39777.073917963746
2018-11-10,0.0
2018-11-15,9483.800679543732
2018-11-18,6236.563092615466
2018-11-20,31814.49701523923
2018-11-21,52430.7961611058
2018-11-23,30032.082200926045
2018-11-25,32923.00403891517
2018-11-28,19688.3476905155
2018-11-30,7256.275285437939
2018-12-03,5936.201289687259
2018-12-07,5153.992245807327
2018-12-08,1892.6225211452631
2018-12-10,9170.377578346455
2018-12-13,9454.367554875118
2018-12-15,10094.311015536065
2018-12-18,8666.889481917015
2018-12-20,10167.730673696926
2018-12-23,15099.228911323169
2018-12-25,21961.102199960867
2018-12-28,23170.67362335228
2018-12-30,11038.626798619764
2019-01-02,0.0
2019-01-04,20488.028368466148
2019-01-07,0.0
2019-01-08,32709.785377372827
2019-01-09,73707.55460796859
2019-01-12,0.0
2019-01-14,67502.31126235459
2019-01-17,0.0
2019-01-19,43681.901011715294
2019-01-22,0.0
2019-01-24,22088.549102814617
2019-01-27,0.0
2019-01-29,11198.54610304436
2019-02-01,23644.823598230098
2019-02-03,38170.227742084404
2019-02-06,8349.314224247883
2019-02-08,5603.234914798701
2019-02-09,0.0
2019-02-11,43921.56627861879
2019-02-13,70989.40581982359
2019-02-16,0.0
2019-02-18,58759.87693433944
2019-02-21,0.0
2019-02-23,20723.9867001891
2019-02-25,2064.097540039046
2019-02-26,35799.863323812366
2019-02-28,19119.818719933355
2019-03-03,13940.298419427265
2019-03-05,19049.255605530925
2019-03-08,13785.010477965676
2019-03-10,19143.729136285612
2019-03-13,14220.135417423175
2019-03-15,18927.201831822385
2019-03-18,13565.415534426678
2019-03-20,39471.7127495785
2019-03-23,6311.919607385619
2019-03-25,23236.112734054255
2019-03-28,11422.939158669742
2019-03-29,35143.73152761726
2019-03-30,155941.04217029642
2019-04-02,0.0
2019-04-04,33977.0430581367
2019-04-07,118150.35306572093
2019-04-09,101684.08606779868
2019-04-12,30922.33884809107
2019-04-14,30360.80206993865
2019-04-17,18356.270096861845
2019-04-19,318013.29359681817
2019-04-22,617747.3719971225
2019-04-24,377482.33439532545
2019-04-27,158249.58396171994
2019-04-29,119528.63570955393
2019-04-30,115637.92037682184
2019-05-02,73802.91112559749
2019-05-04,61349.77076410098
2019-05-07,27883.146518158817
2019-05-09,22157.620467275945
2019-05-12,16328.889241748113
2019-05-14,18801.164507967267
2019-05-16,22000.49969039361
2019-05-17,51280.83391502325
2019-05-19,84683.48098524786
2019-05-22,59792.4837079358
2019-05-24,24474.781413620407
2019-05-27,19282.132278131357
2019-05-29,39790.122331752995
2019-06-01,92007.84193056329
2019-06-06,63280.75396256361
2019-06-08,94623.31428618812
2019-06-11,50350.56216012693
2019-06-13,95566.32534752708
2019-06-16,138472.27700348938
2019-06-17,89603.24004334176
2019-06-18,51341.70789638178
2019-06-21,24496.342793393917
2019-06-23,89059.94477766177
2019-06-26,99163.6377647035
2019-06-28,61383.400829261256
