date,outflow (m3/d)
2017-07-29,54709.64970764649
2017-08-02,22951.14298063309
2017-08-14,74096.87555010908
2017-08-15,0.0
2017-08-17,0.0
2017-08-30,152725.07605340125
2017-09-06,650613.6508442598
2017-09-11,781969.7951880028
2017-09-15,528388.6127589543
2017-09-19,315124.6991777498
2017-09-24,677161.8011664286
2017-09-26,299469.9966212041
2017-10-01,83101.59914885403
2017-10-09,75524.21750019366
2017-10-14,142420.911961903
2017-10-17,678374.7635780883
2017-10-21,365590.3385829266
2017-10-29,83583.03390393936
2017-11-02,28259.03005596135
2017-11-03,47426.89503311686
2017-11-05,9203.10716277046
2017-11-08,0.0
2017-11-18,32124.726394160927
2017-11-23,0.0
2017-11-25,78668.43965515503
2017-11-28,88789.24674475331
2017-11-30,52716.77688104772
2017-12-04,76472.34808474782
2017-12-05,0.0
2017-12-08,39776.01692464626
2017-12-13,0.0
2017-12-18,16205.337273197523
2017-12-20,0.0
2017-12-25,0.0
2017-12-28,5978.967688657555
2018-01-02,0.0
2018-01-04,0.0
2018-01-05,7797.636904897918
2018-01-09,0.0
2018-01-14,0.0
2018-01-17,0.0
2018-01-21,0.0
2018-01-22,749259.4148895774
2018-01-24,1262583.2192928514
2018-01-27,0.0
2018-01-29,360501.68889248313
2018-02-06,12583.775048850224
2018-02-08,77715.33678928477
2018-02-11,0.0
2018-02-13,0.0
2018-02-16,0.0
2018-02-18,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-28,117908.7947549335
2018-03-03,307038.9911992666
2018-03-05,373068.9493746837
2018-03-08,276657.8377983508
2018-03-10,621298.4491482632
2018-03-13,7388.9701297298325
2018-03-15,66152.26613179427
2018-03-18,26552.535936257336
2018-03-20,76999.78955262795
2018-03-23,47029.04942207617
2018-03-25,69930.86592400525
2018-03-26,0.0
2018-03-28,22131.49451801988
2018-03-30,13965.311740535835
2018-04-02,16220.369314084095
2018-04-04,28041.315694488105
2018-04-07,21608.704400656425
2018-04-09,16454.85905993609
2018-04-11,14163.306404036444
2018-04-12,55533.53045663032
2018-04-14,38874.023498706796
2018-04-17,42460.106490342325
2018-04-19,50594.19252882198
2018-04-22,47187.55420965151
2018-04-24,0.0
2018-04-27,20795.661088191373
2018-04-29,27780.334448766782
2018-05-02,71787.51449748917
2018-05-04,201197.8021048214
2018-05-07,240360.46061437842
2018-05-09,156471.64868400132
2018-05-12,287545.14389592194
2018-05-13,566808.8399459457
2018-05-14,446822.8344292163
2018-05-17,196140.765045093
2018-05-19,215296.3515703068
2018-05-22,200140.39167659654
2018-05-24,179771.4384571279
2018-05-29,476719.92899501976
2018-06-01,1620881.485362191
2018-06-03,742984.0757128686
2018-06-06,1485503.6542453254
2018-06-08,2364278.762293958
2018-06-11,1017121.7526781334
2018-06-13,969922.197098302
2018-06-14,2639352.7645898233
2018-06-16,4161028.835987164
2018-06-18,4018253.7232848946
2018-06-21,1651741.5416140263
2018-06-23,1527683.0474556617
2018-06-26,1575281.6609610505
2018-06-28,983700.5829861664
2018-06-30,486535.37296347047
2018-07-01,447532.7037417941
2018-07-03,313885.2841697942
2018-07-06,219924.36198917398
2018-07-08,263915.36142908444
2018-07-11,1560067.230301988
2018-07-13,5755957.23754626
2018-07-16,4201207.816980319
2018-07-18,2853507.918001222
2018-07-21,3032747.9713278203
2018-07-23,3438998.316284044
2018-07-26,1556289.330237754
2018-07-28,1258478.912793469
2018-07-31,950605.4024653527
2018-08-01,1504541.42931729
2018-08-02,2514625.7855015355
2018-08-05,1665090.7893810624
2018-08-07,672877.494850652
2018-08-10,1149470.44004925
2018-08-12,3764716.2867482184
2018-08-15,2655721.174055149
2018-08-17,4575715.014304945
2018-08-20,3940028.809802721
2018-08-22,1544106.8340316834
2018-08-25,420690.62892848277
2018-08-27,190991.82310732495
2018-08-30,36093.30085049295
2018-09-01,17061.111808075217
2018-09-02,64793.712164931436
2018-09-04,34756.32306162629
2018-09-06,11500.790975533133
2018-09-09,2992.609358966267
2018-09-11,210.47895009304128
2018-09-14,754.3460515269226
2018-09-18,1355.6628575439668
2018-09-19,18193.41031319106
2018-09-21,19894.688396532387
2018-09-24,23271.76113375653
2018-09-26,115934.8809191358
2018-09-29,176476.55086450017
2018-10-01,269850.23950057896
2018-10-04,243981.4711848303
2018-10-06,992030.6779621857
2018-10-09,829823.5934936894
2018-10-11,594490.7524567056
2018-10-14,675301.5873459596
2018-10-16,565345.3592363349
2018-10-19,417656.9464713749
2018-10-20,933634.356175411
2018-10-21,1265633.132283344
2018-10-24,975654.7497549311
2018-10-26,784197.9624094997
2018-10-29,311969.77656517207
2018-10-31,147236.9261085306
2018-11-03,64812.92798389968
2018-11-05,58462.95325633055
2018-11-08,24030.23179903505
2018-11-10,10418.519117873866
2018-11-15,6978.470252549161
2018-11-18,7897.899972326466
2018-11-20,0.0
2018-11-21,114104.07245487712
2018-11-23,0.0
2018-11-25,49675.977040446414
2018-11-28,44210.96835134183
2018-11-30,0.0
2018-12-03,23570.51549792685
2018-12-07,7443.826557753255
2018-12-08,0.0
2018-12-10,7707.136202533811
2018-12-13,10436.96807724228
2018-12-15,1138.8624890799917
2018-12-18,65858.27553458174
2018-12-20,0.0
2018-12-23,60407.57448323017
2018-12-25,0.0
2018-12-28,40647.27941573313
2018-12-30,0.0
2019-01-02,13762.749230909281
2019-01-04,7424.007117891327
2019-01-07,9312.788449099757
2019-01-08,14476.567000466483
2019-01-09,17002.584499089033
2019-01-12,7834.587916981104
2019-01-14,10002.397312442878
2019-01-17,6041.859050021616
2019-01-19,5849.288795471158
2019-01-22,5498.496702983812
2019-01-24,6013.209465138565
2019-01-27,5283.37432294094
2019-01-29,7494.803217520269
2019-02-01,6684.505683684651
2019-02-03,7800.7210542002595
2019-02-06,6482.70189779093
2019-02-08,0.0
2019-02-09,6973.664134356276
2019-02-11,72367.69582248191
2019-02-13,0.0
2019-02-16,21279.3633425765
2019-02-18,2555.4624284932415
2019-02-21,10091.547196745665
2019-02-23,7455.155542429429
2019-02-25,9976.007664866484
2019-02-26,0.0
2019-02-28,192654.2749502282
2019-03-03,0.0
2019-03-05,99558.621656678
2019-03-08,0.0
2019-03-10,41394.087459301416
2019-03-13,0.0
2019-03-15,29724.81934369478
2019-03-18,20584.946093693074
2019-03-20,28865.56899069072
2019-03-23,20085.177539329045
2019-03-25,28136.498049614715
2019-03-28,19603.96267245093
2019-03-29,51648.27255674681
2019-03-30,50973.26998189045
2019-04-02,18910.33660925962
2019-04-04,28555.518741903463
2019-04-07,129297.77623029164
2019-04-09,107147.05222946838
2019-04-12,37992.64750197912
2019-04-14,28847.796716068333
2019-04-17,20859.005046411516
2019-04-19,322997.55544470414
2019-04-22,620587.3482866078
2019-04-24,381985.5156759406
2019-04-27,158439.35249066722
2019-04-29,131555.6094652004
2019-04-30,130555.77474833647
2019-05-02,73353.741220308
2019-05-04,64773.98374495245
2019-05-07,28883.83137594304
2019-05-09,24586.973576091368
2019-05-12,17632.332422629544
2019-05-14,20971.512855230932
2019-05-16,24046.987696596058
2019-05-17,55458.85828829424
2019-05-19,86733.06621839773
2019-05-22,61159.26725466249
2019-05-24,26505.669052125595
2019-05-27,20629.541581877384
2019-05-29,41796.5469963249
2019-06-01,79300.55268997117
2019-06-06,68388.40331670492
2019-06-08,91847.88992997733
2019-06-11,53569.95877344988
2019-06-13,154578.37500975022
2019-06-16,143274.57397131817
2019-06-17,88503.51402488473
2019-06-18,58755.80201376605
2019-06-21,25704.291648289778
2019-06-23,92131.86775194255
2019-06-26,97919.38721258001
2019-06-28,47896.00727963225
