date,outflow (m3/d)
2017-07-13,88275.34905409394
2017-07-16,0.0
2017-07-20,1878900.2612977952
2017-07-21,0.0
2017-07-29,0.0
2017-07-31,134127.1341485
2017-08-05,89687.03861272485
2017-08-14,301591.11309126
2017-08-15,672528.8239515288
2017-08-20,490474.59702029853
2017-08-21,843711.9384681587
2017-08-30,454703.1274034533
2017-09-06,1424907.6674181994
2017-09-09,3819240.98390271
2017-09-14,3486121.7124616727
2017-09-15,2450676.535234604
2017-09-19,3295757.418267219
2017-09-22,3129678.461873368
2017-09-24,1937287.1918525118
2017-10-01,581887.8060931963
2017-10-04,305380.9956822845
2017-10-08,361074.2652145823
2017-10-09,648297.7616449579
2017-10-14,510690.5795205774
2017-10-17,1007298.8474573882
2017-10-19,1188157.4139337414
2017-10-24,506586.3569964436
2017-10-29,186475.10606883155
2017-11-02,134437.5716379979
2017-11-03,149424.65927213547
2017-11-08,106299.23586813653
2017-11-09,360450.81349448266
2017-11-13,200937.4956611024
2017-11-18,119620.67175402986
2017-11-23,51987.17487021097
2017-11-25,34255.54863235939
2017-11-28,22336.739051133478
2017-12-03,15998.777525485362
2017-12-04,42000.97570701617
2017-12-08,14367.656725176505
2017-12-11,39834.101120239306
2017-12-13,2638.122309040467
2017-12-18,41659.61349596847
2017-12-20,45364.103633711
2017-12-23,10421.075554196515
2017-12-27,15694.380068578637
2017-12-28,27575.93677646592
2018-01-02,19319.920989559443
2018-01-05,1477119.8856375306
2018-01-12,0.0
2018-01-17,989026.1439523356
2018-01-21,0.0
2018-01-22,2535791.8984634527
2018-01-27,0.0
2018-01-28,131600.08991883285
2018-02-06,19160.136386133192
2018-02-11,26330.619037951157
2018-02-13,61522.358411575224
2018-02-16,35713.363499202984
2018-02-21,23786.42139646982
2018-02-22,94867.15286822864
2018-02-26,46667.14704657609
2018-03-01,1448300.262054193
2018-03-03,0.0
2018-03-08,447696.35325144033
2018-03-10,0.0
2018-03-13,2217154.803059241
2018-03-17,0.0
2018-03-18,6678156.050737504
2018-03-23,0.0
2018-03-26,1217497.8927421772
2018-03-28,0.0
2018-04-02,102338.17820049898
2018-04-07,0.0
2018-04-11,287444.55322755396
2018-04-12,0.0
2018-04-17,84535.04327883509
2018-04-18,0.0
2018-04-22,88793.3250493667
2018-04-27,181000.280834446
2018-05-02,82173.00254368428
2018-05-04,363443.66211989505
2018-05-07,429172.5509508249
2018-05-12,258036.56468656004
2018-05-13,649322.1191321433
2018-05-17,315600.50284451206
2018-05-20,393685.2982786458
2018-05-22,541472.5417062555
2018-05-29,239008.25366434376
2018-06-01,181548.50478209084
2018-06-05,58445.95502158738
2018-06-06,34213.09969357054
2018-06-11,300681.8950777505
2018-06-14,1914186.850178258
2018-06-16,9533949.684840336
2018-06-21,5443013.861394166
2018-06-26,1923449.1223292828
2018-06-30,1850845.393990413
2018-07-01,4518669.402089434
2018-07-06,2427920.463561803
2018-07-07,3190901.786624046
2018-07-11,6694866.736838408
2018-07-16,9611106.189407794
2018-07-21,4750558.102258985
2018-07-23,5805033.054212171
2018-07-26,2960578.1607550043
2018-07-31,1099638.7150036967
2018-08-01,1645161.1132960867
2018-08-05,2461410.3233038727
2018-08-08,1663663.4013596787
2018-08-10,6508708.205371925
2018-08-15,8598064.987308022
2018-08-17,11878995.598630292
2018-08-20,8719145.676454209
2018-08-24,2869179.0583127993
2018-08-25,2065534.6602842316
2018-08-30,582955.287682791
2018-09-02,0.0
2018-09-04,378035.09519107663
2018-09-09,25956.219636763482
2018-09-14,108447.95300126968
2018-09-18,86076.25151703475
2018-09-19,154517.83176796106
2018-09-24,79683.39577512477
2018-09-25,3119478.0131213237
2018-09-29,87001.58980273746
2018-10-04,92814.55459044033
2018-10-09,2189987.999515956
2018-10-11,3511164.5992085286
2018-10-14,2919685.60904399
2018-10-19,1418968.1275867026
2018-10-20,1912661.4883975557
2018-10-24,1160127.5240353087
2018-10-27,902576.2816734286
2018-10-29,504248.6438168749
2018-11-03,155129.8220368918
2018-11-05,130361.31097033907
2018-11-08,150305.53954783588
2018-11-12,29354.849241036874
2018-11-18,9047.453293203973
2018-11-21,11429.708359716184
2018-11-23,24184.889697478502
2018-11-28,105446.33261682536
2018-12-03,22232.8414424514
2018-12-07,12550.871474058808
2018-12-08,65366.662414754894
2018-12-13,17408.35696805167
2018-12-14,32514.911550856832
2018-12-18,14140.894496588568
2018-12-23,11536.326994583676
2018-12-28,19808.225353966067
2018-12-30,25027.77078488091
2019-01-02,18160.940833250108
2019-01-07,13028.218983334082
2019-01-08,42558.74561430672
2019-01-12,14698.777499067835
2019-01-15,108973.01642508458
2019-01-17,26256.5392643242
2019-01-22,42608.90050073079
2019-01-24,0.0
2019-01-27,127014.8314254816
2019-01-31,95963.36984395426
2019-02-01,231880.07655394592
2019-02-06,103844.6639952034
2019-02-09,131736.40805276824
2019-02-11,130482.97153556692
2019-02-16,83367.2487653247
2019-02-21,0.0
2019-02-25,23338.462707689363
2019-02-26,77469.19086421211
2019-03-03,15693.113268004858
2019-03-04,82244.14788668818
2019-03-08,23554.325710698085
2019-03-13,783192.2645258164
2019-03-18,0.0
2019-03-20,1155469.091953451
