date,outflow (m3/d)
2017-07-13,88275.34905409394
2017-07-16,1224387.258607419
2017-07-20,0.0
2017-07-21,0.0
2017-07-29,181834.23028941252
2017-07-31,134127.1341485
2017-08-05,89687.03861272485
2017-08-14,301591.11309126
2017-08-15,672528.8239515288
2017-08-20,490474.59702029853
2017-08-21,843711.9384681587
2017-08-30,454703.1274034533
2017-09-06,1424907.6674181994
2017-09-09,3819240.98390271
2017-09-14,3118901.3651401806
2017-09-15,4286788.435343152
2017-09-19,3295757.418267219
2017-09-22,3161151.927455133
2017-09-24,1913626.9949904415
2017-10-01,575159.2342330249
2017-10-04,305380.9956822845
2017-10-08,361074.2652145823
2017-10-09,648297.7616449579
2017-10-14,510690.5795205774
2017-10-17,1007298.8474573882
2017-10-19,1188157.4139337414
2017-10-24,506793.3827377609
2017-10-29,186578.6415221818
2017-11-02,134631.71102013288
2017-11-03,147095.29577025745
2017-11-08,106532.20455892528
2017-11-09,359285.970040539
2017-11-13,1241622.5043306889
2017-11-18,0.0
2017-11-23,482433.75123081065
2017-11-25,0.0
2017-11-28,940823.0246789414
2017-12-03,0.0
2017-12-04,2365355.065582104
2017-12-08,0.0
2017-12-11,0.0
2017-12-13,1694102.0358835012
2017-12-18,0.0
2017-12-20,433649.65974778845
2017-12-23,0.0
2017-12-27,0.0
2017-12-28,1107111.7713363685
2018-01-02,0.0
2018-01-05,712619.4729193641
2018-01-12,0.0
2018-01-17,0.0
2018-01-21,0.0
2018-01-22,166364.6139012529
2018-01-27,156387.54627693785
2018-01-28,131600.08991883285
2018-02-06,19160.136386133192
2018-02-11,26330.619037951157
2018-02-13,61522.358411575224
2018-02-16,35713.363499202984
2018-02-21,23786.42139646982
2018-02-22,94867.15286822864
2018-02-26,27617.564693289198
2018-03-01,16217.20183680067
2018-03-03,8076.525983588113
2018-03-08,8772.939931107612
2018-03-10,11384.857731157863
2018-03-13,10256.375909732307
2018-03-17,47464.82128187328
2018-03-18,42126.44524176251
2018-03-23,560242.8520671155
2018-03-26,0.0
2018-03-28,361577.14157130534
2018-04-02,0.0
2018-04-07,379452.77298608696
2018-04-11,0.0
2018-04-12,4918033.605008249
2018-04-17,0.0
2018-04-18,2588660.1652229195
2018-04-22,0.0
2018-04-27,433203.3190443295
2018-05-02,0.0
2018-05-04,1536374.1530455889
2018-05-07,42262.32834784655
2018-05-12,441183.30684672797
2018-05-13,0.0
2018-05-17,315600.50284451206
2018-05-20,393685.2982786458
2018-05-22,1963459.2895875047
2018-05-29,0.0
2018-06-01,181548.50478209084
2018-06-05,58445.95502158738
2018-06-06,0.0
2018-06-11,317153.1411886705
2018-06-14,1914186.850178258
2018-06-16,9533949.684840336
2018-06-21,5468289.504795866
2018-06-26,1898173.478927582
2018-06-30,1850845.393990413
2018-07-01,4518669.402089434
2018-07-06,2427920.463561803
2018-07-07,3190901.786624046
2018-07-11,6694866.736838408
2018-07-16,9611106.189407794
2018-07-21,4750558.102258985
2018-07-23,5805033.054212171
2018-07-26,2960578.1607550043
2018-07-31,1099638.7150036967
2018-08-01,1645161.1132960867
2018-08-05,2461410.3233038727
2018-08-08,1663663.4013596787
2018-08-10,6508708.205371925
2018-08-15,8598064.987308022
2018-08-17,11878995.598630292
2018-08-20,8719145.676454209
2018-08-24,2869179.0583127993
