date,outflow (m3/d)
2017-08-14,0.0
2017-08-17,0.0
2017-08-30,0.0
2017-09-06,806608.8610324885
2017-09-11,0.0
2017-09-15,0.0
2017-09-26,0.0
2017-10-01,0.0
2017-10-17,1142559.376746083
2017-10-21,0.0
2017-11-02,575500.4188972614
2017-11-05,0.0
2017-11-18,422703.25987316214
2017-11-25,0.0
2017-11-30,2044398.3395421517
2017-12-04,3150022.2731852997
2017-12-05,3704884.7612827206
2017-12-20,57121.256086010544
2017-12-25,504210.1860455222
2018-01-04,165362.25538546368
2018-01-05,2043942.4128852168
2018-01-09,458463.46586863644
2018-01-14,1357838.7981738073
2018-01-21,491808.34500964894
2018-01-24,1125339.4570110026
2018-01-29,664694.1957004938
2018-02-06,0.0
2018-02-08,0.0
2018-02-13,0.0
2018-02-18,0.0
2018-02-22,0.0
2018-02-23,1056133.4730699728
2018-02-28,209981.77769137267
2018-03-05,208915.21909131386
2018-03-10,130915.4062430186
2018-03-15,284227.4579899109
2018-03-20,231270.67622209745
2018-03-25,219768.1175822936
2018-03-26,1014056.871334141
2018-03-30,254522.81529256873
2018-04-04,106529.86272467417
2018-04-09,109316.60724715074
2018-04-11,158386.191399467
2018-04-14,1701679.2448771338
2018-04-19,890012.0436608294
2018-04-24,863969.1371498075
2018-04-27,5443417.069493897
2018-04-29,0.0
2018-05-04,139868.94947907372
2018-05-09,1133759.770035517
2018-05-13,918686.0084805482
2018-05-14,6075254.433484431
2018-05-19,1009147.0518000284
2018-05-24,1307645.3351665565
2018-05-29,1381992.139871076
2018-06-03,1528609.835032461
2018-06-08,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-18,1938436.553196854
2018-06-23,373717.241173885
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,0.0
2018-07-08,0.0
2018-07-13,2159578.609921755
2018-07-16,2580325.059392995
2018-07-18,0.0
2018-07-23,1183306.3070342718
2018-07-28,118460.90407947468
2018-08-01,0.0
2018-08-02,1364374.9598387047
2018-08-07,1403931.8826511977
2018-08-12,1749831.6724143466
2018-08-17,2603633.8848220995
2018-08-22,2590309.9685351723
2018-08-27,333568.35076100234
2018-09-01,0.0
2018-09-02,109639.79999595227
2018-09-06,36739.22353854311
2018-09-11,0.0
2018-09-18,602527.130274712
2018-09-21,12744.100962075698
2018-09-26,33643.17762843905
2018-10-01,241302.38277981046
2018-10-04,115722.80577129203
2018-10-06,0.0
2018-10-11,1038208.027091496
2018-10-16,558489.1794870793
2018-10-20,253308.28788542742
2018-10-21,3543260.756383614
2018-10-26,1107549.4604267546
2018-10-31,501026.6856848723
2018-11-05,217980.90446831932
2018-11-10,204670.3209891652
2018-11-15,170110.39388796288
2018-11-20,221564.0142798482
2018-11-21,1073679.0361461232
2018-11-25,347653.21838176396
2018-11-30,239471.73011175162
2018-12-07,136446.9588344344
2018-12-10,283483.5638011058
2018-12-15,363086.15064273804
2018-12-20,456630.6216929436
2018-12-23,2532331.282672482
2018-12-25,0.0
2018-12-30,675554.1579182773
2019-01-04,266221.5483141903
2019-01-08,577119.3714653756
2019-01-09,1796886.7780417665
2019-01-14,409228.4494415149
2019-01-19,0.0
2019-01-24,621767.834682466
2019-01-29,370409.75945515267
2019-02-03,606219.7966945216
2019-02-08,480892.22744746256
2019-02-09,2365885.6683415235
2019-02-13,369031.1718185916
2019-02-18,649990.4906699914
2019-02-23,452920.52105353
2019-02-25,914791.3624649781
2019-02-28,605515.9963942212
2019-03-05,225742.73543407558
2019-03-10,293237.0449587983
2019-03-13,429396.2661013397
2019-03-15,680550.4527845965
2019-03-20,264880.5215782479
2019-03-25,267941.35737307096
2019-03-29,326931.451428958
2019-03-30,1213065.0061731436
2019-04-04,942548.3571267929
2019-04-09,334038.1227733605
2019-04-14,307065.97144963255
2019-04-19,342813.30984561436
2019-04-24,689482.4959393786
2019-04-29,933375.9609441601
2019-04-30,574478.8866681805
2019-05-04,1061040.5940636245
2019-05-09,570918.6595644059
2019-05-14,357512.7661041092
2019-05-16,1196124.2254256858
2019-05-19,1515215.1209174085
2019-05-24,570166.3125307059
2019-05-29,370965.0643661834
2019-06-01,880016.1408663356
2019-06-08,384290.6250623181
2019-06-13,1130515.8494054258
2019-06-17,904677.1259439432
2019-06-18,3658525.592737905
2019-06-23,741937.0893272405
2019-06-28,52989.55156559521
