date,outflow (m3/d)
2017-08-14,0.0
2017-08-17,5795078.531128298
2017-08-30,0.0
2017-09-06,2590138.094321617
2017-09-11,0.0
2017-09-15,1797497.945892179
2017-09-26,0.0
2017-10-01,0.0
2017-10-17,3280.6219171766716
2017-10-21,337973.9749382347
2017-11-02,0.0
2017-11-05,1750856.5138771052
2017-11-18,0.0
2017-11-25,0.0
2017-11-30,1366250.4943771323
2017-12-04,3125829.13746055
2017-12-05,0.0
2017-12-20,382203.85989597725
2017-12-25,1180890.4448412221
2018-01-04,1778275.497371094
2018-01-05,0.0
2018-01-09,3364695.2031305614
2018-01-14,0.0
2018-01-21,491808.34500964894
2018-01-24,683321.4901151691
2018-01-29,929899.8421539336
2018-02-06,0.0
2018-02-08,0.0
2018-02-13,0.0
2018-02-18,0.0
2018-02-22,0.0
2018-02-23,1056133.4730701728
2018-02-28,209981.77769137267
2018-03-05,131452.11700555394
2018-03-10,170003.61111593858
2018-03-15,150854.07807169092
2018-03-20,185179.7422329774
2018-03-25,169635.73820207358
2018-03-26,778947.2218727412
2018-03-30,195187.0929984437
2018-04-04,468991.9609526742
2018-04-09,0.0
2018-04-11,643729.877967917
2018-04-14,1642206.4159831672
2018-04-19,890012.0436608294
2018-04-24,529077.4181951676
2018-04-27,1152219.2899327308
2018-04-29,3380184.736501588
2018-05-04,422506.6387593076
2018-05-09,1121664.4867263967
2018-05-13,943277.6890030984
2018-05-14,3868054.033864332
2018-05-19,826496.5140806483
2018-05-24,1022425.5832058765
2018-05-29,1161901.6030762359
2018-06-03,1608972.804551901
2018-06-08,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-18,1850022.5298410293
2018-06-23,256189.44603086505
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,0.0
2018-07-08,0.0
2018-07-13,1962997.2486737752
2018-07-16,2276722.4607831617
2018-07-18,0.0
2018-07-23,1046070.3476688318
2018-07-28,0.0
2018-08-01,754817.3279985376
2018-08-02,0.0
2018-08-07,2241601.2326363977
2018-08-12,1165231.4344005873
2018-08-17,3033566.370712499
2018-08-22,2393125.9151585535
2018-08-27,432023.7449263423
2018-09-01,72273.69670650964
2018-09-02,0.0
2018-09-06,1105374.584802593
2018-09-11,0.0
2018-09-18,915320.0268272831
2018-09-21,12744.100962075698
2018-09-26,33643.17762843905
2018-10-01,241302.38277981046
2018-10-04,115722.80577129203
2018-10-06,1894507.3147421097
2018-10-11,141659.74326799606
2018-10-16,984971.3043983792
2018-10-20,0.0
2018-10-21,4780191.999415613
2018-10-26,985638.4908593742
2018-10-31,560922.2311650923
2018-11-05,187327.22207081935
2018-11-10,219074.8098099652
2018-11-15,162085.65480760284
2018-11-20,224703.34398066814
2018-11-21,1061598.4716189227
2018-11-25,348090.8666890639
2018-11-30,238446.40991989156
2018-12-07,136204.4794017487
2018-12-10,282351.09904330573
2018-12-15,361908.379404538
2018-12-20,455042.2593334436
2018-12-23,2603374.664011382
2018-12-25,0.0
2018-12-30,684695.6063523374
2019-01-04,3462042.88249245
2019-01-08,0.0
2019-01-09,8645148.720961167
2019-01-14,0.0
2019-01-19,1651951.6448695317
2019-01-24,0.0
2019-01-29,669844.4791812927
2019-02-03,149072.93665950152
2019-02-08,1592543.1425605426
2019-02-09,0.0
2019-02-13,713175.3849728917
2019-02-18,95137.97729669136
2019-02-23,324067.90467210993
2019-02-25,513822.8338156282
2019-02-28,382462.1980656545
2019-03-05,185979.21730059554
2019-03-10,207299.3002810583
2019-03-13,324864.73629323964
2019-03-15,517844.70978554647
2019-03-20,213999.8865107479
2019-03-25,214583.68441645097
2019-03-29,265535.584844508
2019-03-30,1050297.4750988437
2019-04-04,0.0
2019-04-09,334038.1227733605
2019-04-14,307065.97144963255
2019-04-19,342813.30984561436
2019-04-24,689482.4959393786
2019-04-29,700423.7757216602
2019-04-30,2996663.1672367803
2019-05-04,485341.3570531
2019-05-09,476438.57136430586
2019-05-14,858996.824855149
2019-05-16,573165.7382138359
2019-05-19,988428.6423580087
2019-05-24,403763.138795926
2019-05-29,476836.96378390334
2019-06-01,755566.1643544688
2019-06-08,377582.5342339182
2019-06-13,559119.4310407061
2019-06-17,693832.4137716682
2019-06-18,2540162.392596805
2019-06-23,574040.8253372604
2019-06-28,667894.1792046152
