date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,178247.09380309662
2017-08-17,260938.3393267328
2017-08-30,1065365.446365302
2017-09-06,3482153.572658678
2017-09-11,3298775.866245646
2017-09-15,2153476.6311927964
2017-09-26,1602431.2467029311
2017-10-01,117250.04171422242
2017-10-16,168312.49666846386
2017-10-17,1645639.5447101567
2017-10-21,674203.5006017638
2017-11-02,304344.2797344165
2017-11-05,140405.15914065193
2017-11-10,936666.07083588
2017-11-18,185097.222485544
2017-11-25,1381025.5783257403
2017-12-04,591518.0233412458
2017-12-05,517009.4175932572
2017-12-15,203886.60723539232
2017-12-20,0.0
2017-12-25,128617.9309467722
2018-01-04,15394.54239922266
2018-01-05,416027.61201642687
2018-01-14,140911.32326053822
2018-01-21,163889.15963099312
2018-01-24,200109.66359526827
2018-01-29,291502.3654473324
2018-02-03,69012.60840887162
2018-02-06,0.0
2018-02-08,91890.14798694308
2018-02-13,200856.72542966856
2018-02-18,88004.95524189701
2018-02-22,44372.69913250872
2018-02-23,55651.4153432735
2018-02-28,14236.9601157397
2018-03-05,14019.123558697378
2018-03-10,13881.504485063948
2018-03-15,14518.157329985312
2018-03-20,130272.91955947338
2018-03-25,144614.08888994134
2018-03-26,300241.3053616605
2018-03-30,74270.6599744672
2018-04-04,187550.8050481817
2018-04-09,176971.50766623658
2018-04-11,195422.33496634028
2018-04-14,178959.8132098939
2018-04-24,101715.33902811357
2018-04-27,540564.4460820105
2018-04-29,1879509.426740421
2018-05-04,1031444.2014852732
2018-05-09,1779886.258319013
2018-05-13,3423558.947823913
2018-05-14,6387583.746144046
2018-05-19,3369923.444301208
2018-05-24,967587.5990152817
2018-05-29,755289.7335633717
2018-06-03,1399993.561062237
2018-06-08,1244269.647958249
2018-06-13,1608078.716687283
2018-06-14,3953763.649168105
2018-06-18,4845374.881150039
2018-06-23,1410912.3056820035
2018-06-28,853753.8191792045
2018-06-30,950490.8771042798
2018-07-03,820372.4643595743
2018-07-08,0.0
2018-07-13,1187860.1796735972
2018-07-18,2771019.9134183107
2018-07-23,3310656.265559765
2018-07-28,661322.8830439516
2018-08-01,564337.2341939505
2018-08-02,3547752.188894582
2018-08-07,1517310.2212988196
2018-08-12,2767420.4682993707
2018-08-17,9112538.61753322
2018-08-22,12620514.02305551
2018-08-27,1036023.2562565258
2018-09-01,97186.68511438707
2018-09-02,164109.06688394686
2018-09-06,3046.40417409082
2018-09-11,18415.37598093564
2018-09-21,4054.144554263952
2018-09-26,23517.338224371248
2018-10-01,821619.210111668
2018-10-04,4517432.151202748
2018-10-06,8521648.083115274
2018-10-11,3169245.0152448392
2018-10-16,1577821.5145642424
2018-10-20,3309658.2072840864
2018-10-21,7688663.758128976
2018-10-26,4110179.344776349
2018-10-31,828359.1267148976
2018-11-05,142746.95628723627
2018-11-10,205708.843296979
2018-11-15,0.0
2018-11-20,338475.67965145747
2018-11-21,0.0
2018-11-25,130173.06426128236
2018-11-30,0.0
2018-12-07,22446.56480039473
2018-12-10,29026.60393139873
2018-12-15,95201.57468658908
2018-12-20,127893.6089931658
2018-12-23,555445.3988880911
2018-12-25,0.0
2018-12-30,146079.15191198004
2019-01-04,230913.40880458904
2019-01-08,138884.1672552858
2019-01-09,528859.5367166356
2019-01-14,337625.9811406414
2019-01-19,0.0
2019-01-24,0.0
2019-01-29,47500.11543118852
2019-02-03,4278.901629154386
2019-02-08,0.0
2019-02-09,0.0
2019-02-13,0.0
2019-02-18,0.0
