date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,144306.46325628232
2017-08-17,507936.3364522904
2017-08-30,936281.0366430354
2017-09-06,2982531.5213490613
2017-09-11,3188584.541213909
2017-09-15,2668627.3179095536
2017-09-26,1944332.9016130369
2017-10-01,271929.7004489955
2017-10-16,172441.47816610776
2017-10-17,692806.8811000267
2017-10-21,421720.5912680151
2017-11-02,357020.4051581165
2017-11-05,400128.6836401433
2017-11-10,629084.4288476849
2017-11-18,350470.389480878
2017-11-25,1088651.5565256937
2017-12-04,721142.4359301154
2017-12-05,610632.2111317298
2017-12-15,330741.6771203738
2017-12-20,0.0
2017-12-25,133126.90639616956
2018-01-04,18179.810997436107
2018-01-05,422032.6900778488
2018-01-14,144149.36811316104
2018-01-21,166526.1440421501
2018-01-24,202970.8408693601
2018-01-29,293958.63977478864
2018-02-03,71312.57393574298
2018-02-06,0.0
2018-02-08,94442.96334897868
2018-02-13,28551.23563202128
2018-02-18,39203.96844258606
2018-02-22,37179.26323620903
2018-02-23,57025.32169062004
2018-02-28,15153.55909766621
2018-03-05,15005.150204915986
2018-03-10,14901.919541964015
2018-03-15,15680.772639346083
2018-03-20,67561.16051950281
2018-03-25,54594.10549593072
2018-03-26,97912.7087180865
2018-03-30,21781.325739417767
2018-04-04,178174.70773591517
2018-04-09,167175.059912777
2018-04-11,195657.959410304
2018-04-14,191550.393834105
2018-04-24,30090.20491486832
2018-04-27,191590.7780782752
2018-04-29,17766.50360023701
2018-05-04,236919.34248742487
2018-05-09,510845.5401935378
2018-05-13,850976.5365317333
2018-05-14,1301879.893389785
2018-05-19,873338.4835193574
2018-05-24,563790.6920429732
2018-05-29,481138.192000695
2018-06-03,1062159.4131868423
2018-06-08,2151687.719248234
2018-06-13,3766503.936518684
2018-06-14,9245690.961572336
2018-06-18,9436184.38552258
2018-06-23,4641418.277557077
2018-06-28,3105712.611788479
2018-06-30,3411122.9214878497
2018-07-03,3654734.519937877
2018-07-08,1804000.3763871142
2018-07-13,5611722.675884821
2018-07-18,9072015.271962635
2018-07-23,10262321.955095587
2018-07-28,3602342.4996567434
2018-08-01,3088257.4474948095
2018-08-02,10032724.635185042
2018-08-07,4355221.829361736
2018-08-12,2535621.287840085
2018-08-17,6905627.483803385
2018-08-22,11629203.889495337
2018-08-27,1796290.5283554343
2018-09-01,326010.2145447784
2018-09-02,283411.5840955749
2018-09-06,33755.75378148091
2018-09-11,25347.296939381817
2018-09-21,7966.84767061677
2018-09-26,41404.35767322169
2018-10-01,267141.73197752563
2018-10-04,878483.708303628
2018-10-06,1697443.8845775982
2018-10-11,1014949.5139932856
2018-10-16,849680.7512531781
2018-10-20,2180336.3331549955
2018-10-21,5407958.499139487
2018-10-26,3523525.9982714537
2018-10-31,1384103.8568594875
2018-11-05,359526.3244639595
2018-11-10,362669.3866231021
2018-11-15,0.0
2018-11-20,635460.1490376547
2018-11-21,229179.6278719414
2018-11-25,537436.784086802
2018-11-30,34348.578622669214
2018-12-07,76994.03784062369
2018-12-10,62325.528248376795
2018-12-15,104218.98548617931
2018-12-20,137367.55547104133
2018-12-23,563093.4222036019
2018-12-25,0.0
2018-12-30,151436.27245524235
2019-01-04,234376.56583105575
2019-01-08,142165.09114833
2019-01-09,533921.9595188623
2019-01-14,340528.8696174988
2019-01-19,0.0
2019-01-24,173574.23416189305
2019-01-29,0.0
2019-02-03,6298.4916991868
2019-02-08,6361.86181360112
2019-02-09,11123.334813091447
2019-02-13,10271.082766568925
2019-02-18,7600.661304208091
2019-02-23,5833.20115764661
2019-02-25,7002.5304967299535
2019-02-28,6187.950219550767
2019-03-05,5520.50432777141
2019-03-10,16117.749292704
2019-03-13,72313.22330223295
2019-03-15,30183.29827582624
2019-03-20,8759.24600263377
2019-03-25,5836.12505033692
2019-03-29,5521.457930758833
2019-03-30,8800.946014224764
2019-04-04,5381.851414171331
2019-04-09,17782.533884430417
2019-04-14,6811.709070973873
2019-04-19,266076.5435881345
2019-04-24,1692708.4573425215
2019-04-29,1044837.465749881
2019-04-30,698012.3314081401
2019-05-04,249452.39360188556
2019-05-09,54375.07622084616
2019-05-14,13398.794563737185
2019-05-16,22464.043866385902
2019-05-19,49977.46418702436
2019-05-24,23950.48476599094
2019-05-29,50325.470175097194
2019-06-01,186998.09081905909
2019-06-03,83233.71683989333
2019-06-08,47496.51320969393
2019-06-13,284725.5361681714
2019-06-17,241762.19368424817
2019-06-18,123350.98376204428
2019-06-23,107887.3165373429
2019-06-28,226769.9345997158
