date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,160448.79350319065
2017-08-17,507936.3364522904
2017-08-30,936281.0366430354
2017-09-06,2989596.2781563345
2017-09-11,3193472.0307400003
2017-09-15,2677763.001031637
2017-09-26,1942623.1487984273
2017-10-01,288313.45565203304
2017-10-16,169661.13577763393
2017-10-17,595767.7558275001
2017-10-21,433879.5510751551
2017-11-02,350067.35924534354
2017-11-05,410095.8905502779
2017-11-10,621328.8362392857
2017-11-18,354561.9386360457
2017-11-25,1086314.3330271232
2017-12-04,656597.7017127487
2017-12-05,903535.8033805873
2017-12-15,282445.6762404439
2017-12-20,152750.84784289968
2017-12-25,157027.9687462496
2018-01-04,96864.72221997612
2018-01-05,0.0
2018-01-14,438022.71183891664
2018-01-21,0.0
2018-01-24,595847.2635481268
2018-01-29,38801.315790028646
2018-02-03,186311.27957062298
2018-02-06,0.0
2018-02-08,877345.9794055286
2018-02-13,0.0
2018-02-18,189514.90781734607
2018-02-22,0.0
2018-02-23,57025.32169062004
2018-02-28,15153.55909766621
2018-03-05,15005.150204915986
2018-03-10,14901.919541964015
2018-03-15,12210.836438120137
2018-03-20,71031.09672072875
2018-03-25,54594.10549593072
2018-03-26,97912.7087180865
2018-03-30,26046.729887682694
2018-04-04,174762.38441731516
2018-04-09,167175.059912777
2018-04-11,324424.11229140405
2018-04-14,27319.854975722865
2018-04-24,53606.13599615633
2018-04-27,74866.7214745107
2018-04-29,193778.55905900447
2018-05-04,200782.44927551172
2018-05-09,528257.02826152
2018-05-13,839558.5956995268
2018-05-14,1322688.6903750165
2018-05-19,870851.0586991375
2018-05-24,564630.3117735612
2018-05-29,480312.80570123496
2018-06-03,1062539.4401769408
2018-06-08,2177085.0844288734
2018-06-13,3750213.072591013
2018-06-14,9327145.281210734
2018-06-18,9424545.257533956
2018-06-23,4650737.767865098
2018-06-28,3100650.699160799
2018-06-30,3416939.961376299
2018-07-03,3659293.014391744
2018-07-08,1802496.6526141341
2018-07-13,5613227.299579582
2018-07-18,9071168.157503355
2018-07-23,10263165.303721048
2018-07-28,3602342.4996567434
2018-08-01,3088257.4474948095
2018-08-02,9489998.797504844
2018-08-07,4463766.996897776
2018-08-12,2490596.6383436853
2018-08-17,6950652.133299764
2018-08-22,11619652.637912832
2018-08-27,1805841.7799379546
2018-09-01,321197.0704652596
2018-09-02,138233.34634387848
2018-09-06,51948.39298415775
2018-09-11,14508.366282899764
2018-09-21,10690.765096491277
2018-09-26,38714.97083411012
2018-10-01,268518.6685060446
2018-10-04,921814.0856087281
2018-10-06,1697443.8845775982
2018-10-11,1014949.5139932856
2018-10-16,849680.7512531781
2018-10-20,2180336.3331549955
2018-10-21,5407958.499139487
2018-10-26,3523525.9982714537
2018-10-31,1384103.8568594875
2018-11-05,359526.3244639595
2018-11-10,205019.37351802216
2018-11-15,65345.08980307034
2018-11-20,500290.11927239486
2018-11-21,278105.85300434136
2018-11-25,455467.1992063271
2018-11-30,235142.88721484924
2018-12-07,76994.03784062369
2018-12-10,62325.528248376795
2018-12-15,304690.93986777926
2018-12-20,143791.24824954136
2018-12-23,218732.2008674685
2018-12-25,570954.7756043428
2018-12-30,170138.21415396233
2019-01-04,42253.45983361575
2019-01-08,55689.227558754974
2019-01-09,478492.49275716225
2019-01-14,119582.00223939886
2019-01-19,108685.28786588329
2019-01-24,105179.50085491306
2019-01-29,6514.692520149463
2019-02-03,6298.4916991868
2019-02-08,6361.86181360112
2019-02-09,11123.334813091447
2019-02-13,10271.082766568925
2019-02-18,7600.661304208091
2019-02-23,5833.20115764661
2019-02-25,7002.5304967299535
2019-02-28,6187.950219550767
2019-03-05,5520.50432777141
2019-03-10,16117.749292704
2019-03-13,72313.22330223295
2019-03-15,30183.29827582624
2019-03-20,8759.24600263377
2019-03-25,5836.12505033692
2019-03-29,5521.457930758833
2019-03-30,8800.946014224764
2019-04-04,5381.851414171331
2019-04-09,17782.533884430417
2019-04-14,6811.709070973873
2019-04-19,266076.5435881345
2019-04-24,1692708.4573425215
2019-04-29,1044837.465749881
2019-04-30,698012.3314081401
2019-05-04,249452.39360188556
2019-05-09,54375.07622084616
2019-05-14,13398.794563737185
2019-05-16,22464.043866385902
2019-05-19,49977.46418702436
2019-05-24,23950.48476599094
2019-05-29,50325.470175097194
2019-06-01,186998.09081905909
2019-06-03,83233.71683989333
2019-06-08,47496.51320969393
2019-06-13,284725.5361681714
2019-06-17,241762.19368424817
2019-06-18,123350.98376204428
2019-06-23,107887.3165373429
2019-06-28,333101.08812667575
