date,outflow (m3/d)
2017-08-02,385773.81560202147
2017-08-14,1168282.4699430768
2017-08-17,1472767.0221204816
2017-08-30,211375.94603011786
2017-09-06,1969173.5601557845
2017-09-11,873844.2627969697
2017-09-15,1543000.5757682505
2017-09-26,858994.288111465
2017-10-01,0.0
2017-10-16,970039.8486813445
2017-10-17,2966838.7334840256
2017-10-21,1604393.9503160745
2017-11-02,1465328.5879071641
2017-11-05,4446070.404802494
2017-11-18,1311557.404878536
2017-11-25,507449.58153315214
2017-11-30,9233697.31527389
2017-12-04,0.0
2017-12-05,43194882.21856011
2017-12-15,0.0
2017-12-20,10943630.37618681
2017-12-25,0.0
2018-01-04,3622052.037630434
2018-01-05,0.0
2018-01-09,1730826.2651595261
2018-01-14,0.0
2018-01-21,963363.6110821129
2018-01-24,456843.47684883093
2018-01-29,789118.8717801606
2018-02-03,0.0
2018-02-06,0.0
2018-02-08,0.0
2018-02-13,190343.74438919153
2018-02-18,0.0
2018-02-22,0.0
2018-02-23,871003.5617283111
2018-02-28,274116.2801744436
2018-03-05,222293.1896178588
2018-03-10,244701.71450560287
2018-03-15,271874.306867665
2018-03-20,582610.1326381437
2018-03-25,406230.2594734656
2018-03-26,820434.7877221357
2018-03-30,289636.8095662101
2018-04-04,2430031.195584203
2018-04-09,246260.8278084878
2018-04-11,5414276.511698086
2018-04-14,2283128.2361937724
2018-04-24,597345.1417668015
2018-04-27,319535.9835104427
2018-04-29,1296939.5650805626
2018-05-04,402065.40010003897
2018-05-09,785719.9190557884
2018-05-13,3695972.422775774
2018-05-14,125780.59461522031
2018-05-19,2056608.0961006496
2018-05-24,1258924.5885067522
2018-05-29,1040340.5823078612
2018-06-03,663682.0432979066
2018-06-08,404882.63633050286
2018-06-14,0.0
2018-06-18,202846.8849339846
2018-06-23,1122023.7553758216
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,3248778.8926233826
2018-07-08,0.0
2018-07-13,2185484.750381714
2018-07-18,3660193.385857624
2018-07-23,4125949.0749078384
2018-07-28,506915.92603048927
2018-08-01,1284925.0148353393
2018-08-02,3512600.3120730068
2018-08-07,1673854.2292485118
2018-08-12,2162403.5726641915
2018-08-17,8005987.096778138
2018-08-22,10489084.468459137
2018-08-27,1450033.6956696692
2018-09-01,0.0
2018-09-02,29692417.223515816
2018-09-06,0.0
2018-09-11,3219004.077996654
2018-09-21,796625.48759934
2018-09-26,2614026.397917725
2018-10-01,2986633.126143476
2018-10-04,0.0
2018-10-06,1293827.667476391
2018-10-11,2570912.020387105
2018-10-16,799190.617271554
2018-10-20,1713720.5521677902
2018-10-21,7853785.75511338
2018-10-26,3740928.7179822614
2018-10-31,986155.4166485529
2018-11-05,1221761.7193435014
2018-11-10,1566622.9646869318
2018-11-15,832990.2367473949
2018-11-20,3213651.873855361
2018-11-21,7567121.037934898
2018-11-25,3382727.9927153783
2018-11-30,1852019.587185581
2018-12-07,367191.34450531326
2018-12-10,798601.7760150054
2018-12-15,1710861.8395449251
2018-12-20,1009405.9550224068
2018-12-23,1484720.0864429171
2018-12-25,1443859.813392267
2018-12-30,911783.0017359584
2019-01-04,1383440.1908430303
2019-01-08,1091863.4565729417
2019-01-09,3829671.345194013
2019-01-14,895268.4206506398
2019-01-19,899340.9617396953
2019-01-24,893573.1491586299
2019-01-29,96759.25298270503
2019-02-03,85266.90872877333
2019-02-08,117117.5477676929
2019-02-09,203477.6465793813
2019-02-13,1283287.2190606375
2019-02-18,420418.8865878439
2019-02-23,143238.41501520254
2019-02-25,2015117.1988828287
2019-02-28,1375318.3504526597
2019-03-05,608919.5628821247
2019-03-10,1220068.722503739
2019-03-13,1596474.8619261438
2019-03-15,2007705.2406689362
2019-03-20,859308.551694765
2019-03-25,865659.5502769208
2019-03-29,1018504.7876641047
2019-03-30,3687567.945329482
2019-04-04,832337.8956956816
2019-04-09,1220659.4705894773
2019-04-14,2216364.6092399424
2019-04-19,2997757.676004096
2019-04-24,17565925.167310186
2019-04-29,1256424.8457301173
2019-04-30,0.0
2019-05-04,3680208.8252249355
2019-05-09,0.0
2019-05-14,1748597.99113409
2019-05-16,2396581.675773841
2019-05-19,869426.7473549533
2019-05-24,882173.8706282383
2019-05-29,0.0
2019-06-01,1061874.0280470664
2019-06-03,976428.8205793087
2019-06-08,618872.5981625852
2019-06-13,808635.2810198517
2019-06-17,918642.5243968905
2019-06-18,1352664.719624303
2019-06-23,553247.1486538594
2019-06-28,773219.1217715273
