date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,2025489.4805900594
2017-08-17,0.0
2017-08-30,4124561.789066426
2017-09-06,0.0
2017-09-11,4234273.98617327
2017-09-15,0.0
2017-09-26,1450079.9934221925
2017-10-01,0.0
2017-10-16,1084460.218361291
2017-10-17,2148357.6364556253
2017-10-21,1707947.7213550243
2017-11-02,1448465.539059264
2017-11-05,4481304.647497327
2017-11-18,1307842.1086654586
2017-11-25,511544.72207735217
2017-11-30,10459341.830486653
2017-12-04,3316368.663558167
2017-12-05,10265087.372358002
2017-12-15,127805.16569352413
2017-12-20,869356.2462985096
2017-12-25,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-09,8536478.623501128
2018-01-14,0.0
2018-01-21,1849182.6408030416
2018-01-24,286659.3139936309
2018-01-29,513971.23280372063
2018-02-03,363867.8017989243
2018-02-06,224186.09872997523
2018-02-08,0.0
2018-02-13,1197916.2892803713
2018-02-18,0.0
2018-02-22,301931.04113514896
2018-02-23,0.0
2018-02-28,240520.01734184372
2018-03-05,228453.98576435877
2018-03-10,231012.83572764284
2018-03-15,3894477.7908808053
2018-03-20,0.0
2018-03-25,1117333.6122953456
2018-03-26,0.0
2018-03-30,431539.98186068505
2018-04-04,1239401.9215517638
2018-04-09,284757.4738690478
2018-04-11,2765023.435416287
2018-04-14,1418385.4911286056
2018-04-24,0.0
2018-04-27,1907856.870526676
2018-04-29,0.0
2018-05-04,1202633.581568659
2018-05-09,206459.25908636843
2018-05-13,2113883.818988948
2018-05-14,2259740.543026821
2018-05-19,1642215.3588452493
2018-05-24,1264146.466036512
2018-05-29,836922.4915095211
2018-06-03,0.0
2018-06-08,1406236.7470916426
2018-06-14,1402030.5962798921
2018-06-18,1632980.8716124846
2018-06-23,2507535.4209433612
2018-06-28,1163969.645169069
2018-06-30,0.0
2018-07-03,0.0
2018-07-08,90775.93860216494
2018-07-13,1725022.7821491943
2018-07-18,4276385.356810706
2018-07-23,4212253.970074998
2018-07-28,921460.2455220092
2018-08-01,1726652.5774700642
2018-08-02,4212627.542180806
2018-08-07,1632135.8315399315
2018-08-12,2211663.5113725723
2018-08-17,8009738.736849566
2018-08-22,10515617.988280278
2018-08-27,1465175.3405503493
2018-09-01,916238.71500067
2018-09-02,1377577.2797982965
2018-09-06,634290.9370127704
2018-09-11,1229595.8467648544
2018-09-21,996178.8745392902
2018-09-26,1890763.4323328652
2018-10-01,0.0
2018-10-04,7722970.9263787465
2018-10-06,0.0
2018-10-11,4103661.614099125
2018-10-16,817799.2757820338
2018-10-20,2572252.5568648395
2018-10-21,2681886.8591324775
2018-10-26,3506801.8931862465
2018-10-31,964554.956359853
2018-11-05,1094622.3517564014
2018-11-10,1492665.2363773119
2018-11-15,715973.5528912749
2018-11-20,3211448.262961282
2018-11-21,7249878.371734899
2018-11-25,1718580.9915559783
2018-11-30,2145644.621394061
2018-12-07,219997.62857621323
2018-12-10,870256.291180872
2018-12-15,536741.0426034048
2018-12-20,769123.346567447
2018-12-23,908661.4080258171
2018-12-25,1510388.3947052674
2018-12-30,0.0
2019-01-04,1719966.2712405906
2019-01-08,80359.85302551667
2019-01-09,3808429.228198813
2019-01-14,490604.11597569985
2019-01-19,692509.0982917552
2019-01-24,591612.74102733
2019-01-29,617621.190847065
2019-02-03,225177.87435093336
2019-02-08,92718.40072137292
2019-02-09,331096.8275820813
2019-02-13,1344668.5359756371
2019-02-18,6310266.529633164
2019-02-23,0.0
2019-02-25,3787879.989882829
2019-02-28,2930679.564703359
2019-03-05,3639515.4398403047
2019-03-10,0.0
2019-03-13,1750244.0765937774
2019-03-15,223033.276379736
2019-03-20,551005.5964130047
2019-03-25,361677.24211518106
2019-03-29,517185.7549101048
2019-03-30,1422927.440611482
2019-04-04,406283.0100686617
2019-04-09,786411.6025529376
2019-04-14,2067334.2405714428
2019-04-19,2299102.8335290155
2019-04-24,10551678.857075084
2019-04-29,3492126.576198535
2019-04-30,2268663.6490021553
2019-05-04,968421.0809606379
2019-05-09,359488.2301176386
2019-05-14,1099293.589791214
2019-05-16,1236509.667961198
2019-05-19,877346.6650086034
2019-05-24,661093.4392778937
2019-05-29,509823.6543972603
2019-06-01,709740.7768054664
2019-06-03,680146.526455962
2019-06-08,454255.07019087276
2019-06-13,667188.8228327426
2019-06-17,727599.946621587
2019-06-18,617755.508651906
2019-06-23,403517.6856263345
2019-06-28,625032.2996714992
