date,outflow (m3/d)
2017-07-28,12485.38958541588
2017-08-02,42119.07021495279
2017-08-07,0.0
2017-08-17,874250.4905907525
2017-08-23,0.0
2017-09-06,332817.22342995415
2017-09-08,44826.34334396222
2017-09-11,0.0
2017-09-24,0.0
2017-09-26,0.0
2017-10-01,0.0
2017-10-10,0.0
2017-10-16,297335.648171084
2017-10-21,1013990.813419076
2017-10-26,323776.6408089875
2017-11-11,1347313.6230938165
2017-11-25,985393.4218876816
2017-11-27,1115947.4883449166
2017-11-30,1062152.6038149763
2017-12-05,6343354.153988051
2017-12-13,1944700.3774982889
2017-12-15,446384.20742355153
2017-12-20,152513.90425134552
2017-12-25,29368.350178768214
2017-12-29,0.0
2018-01-04,0.0
2018-01-09,0.0
2018-01-14,0.0
2018-01-24,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-02-03,44629.7465305708
2018-02-08,79659.39363400564
2018-02-13,81751.83751614601
2018-02-15,1951790.8187925522
2018-02-18,0.0
2018-02-23,265419.90489127254
2018-02-28,0.0
2018-03-03,189886.36065326785
2018-03-05,96799.84810022842
2018-03-15,0.0
2018-03-19,180693.63893275056
2018-03-20,475120.31137566257
2018-03-25,122598.16090479054
2018-03-30,70917.01648483353
2018-04-04,69852.27743691135
2018-04-09,148633.99196537223
2018-04-14,181052.00290928208
2018-04-19,224454.23402199135
2018-04-20,475036.07876240916
2018-04-24,95255.4531634384
2018-04-29,84947.87515160174
2018-05-04,120792.09721994551
2018-05-06,213720.7501583253
2018-05-09,258474.332653547
2018-05-14,323662.2043720651
2018-05-19,563469.459004698
2018-05-22,282297.3446157955
2018-05-24,325564.36070502567
2018-05-29,241073.26495253632
2018-06-03,175485.92889916434
2018-06-07,570263.9125810743
2018-06-08,697029.0534811991
2018-06-13,687100.0150502387
2018-06-18,318873.46414264257
2018-06-23,329118.70352784777
2018-06-28,106188.2098639377
2018-07-03,6938.701919609817
2018-07-09,0.0
2018-07-13,116717.00111830122
2018-07-18,209246.79938965183
2018-07-23,225713.99157203166
2018-07-25,0.0
2018-07-28,0.0
2018-08-02,853145.7406370275
2018-08-07,1680949.4253082974
2018-08-10,719919.3777317804
2018-08-12,1390286.4463161202
2018-08-17,2559841.6597244837
2018-08-22,4479195.570318275
2018-08-27,1212417.6121308599
2018-09-01,201036.58037722987
2018-09-06,42605.811430387075
2018-09-11,149.87828054444833
2018-09-21,10819.876900773543
2018-09-26,0.0
2018-09-27,769721.8105973736
2018-10-01,0.0
2018-10-06,651028.6925046924
2018-10-11,1421295.6681843249
2018-10-13,1301508.8473445962
2018-10-16,29259.538925227473
2018-10-21,870335.1298487708
2018-10-26,1882365.130413383
2018-10-29,1230294.64652726
2018-10-31,707909.306568116
2018-11-05,1356298.9677756126
2018-11-10,2909052.489740622
2018-11-14,1501183.9884363401
2018-11-15,1081811.2529808576
2018-11-20,342188.65043205366
2018-11-25,393670.2238040237
2018-11-30,291038.09159374994
2018-12-10,73717.47635430757
2018-12-15,23013.750976386007
2018-12-16,0.0
2018-12-20,1735885.4483534768
2018-12-25,0.0
2018-12-30,2210408.7763972622
2019-01-01,0.0
2019-01-04,944227.879783801
2019-01-09,0.0
2019-01-14,141235.47604732873
2019-01-17,0.0
2019-01-19,74350.91199815884
2019-01-24,2566.2316333624244
2019-01-29,12855.004478126797
2019-02-02,47666.11907492834
2019-02-03,310632.25721551885
2019-02-08,1213751.3254496758
2019-02-13,0.0
2019-02-18,358186.4747442954
2019-02-23,0.0
2019-02-28,0.0
2019-03-05,484128.17662392085
2019-03-06,1958742.5418556344
2019-03-10,648331.1916599527
2019-03-15,533303.9538685664
2019-03-20,526013.0881059367
2019-03-22,708829.0996435864
2019-03-25,463038.8592964054
2019-03-30,277706.02362874866
2019-04-04,161627.84365415244
2019-04-07,551393.5644834699
2019-04-09,653614.4871584915
2019-04-14,0.0
2019-04-19,340263.5551424527
2019-04-23,871882.3699780212
2019-04-24,1532776.33954825
2019-04-29,339688.74561219936
2019-05-04,141438.87476691045
2019-05-09,35191.55977961722
2019-05-19,0.0
2019-05-24,40092.849554482505
2019-05-25,0.0
2019-05-29,109628.79800769415
2019-06-08,30264.832002417963
2019-06-10,162233.0750762979
2019-06-13,763246.7611323451
2019-06-18,462878.8836663477
2019-06-23,224784.4639653213
2019-06-26,113003.15091437081
2019-06-28,141044.70738226373
