date,outflow (m3/d)
2017-07-28,0.0
2017-08-02,3585449.9746926934
2017-08-07,0.0
2017-08-17,642715.0670201925
2017-08-23,0.0
2017-09-06,0.0
2017-09-08,4650350.476081313
2017-09-11,0.0
2017-09-24,275631.42197394086
2017-09-26,0.0
2017-10-01,248352.29482485584
2017-10-10,38661.434012095946
2017-10-16,210427.96927501733
2017-10-21,546926.8062614963
2017-10-26,323776.6408089875
2017-11-11,1347313.6230938165
2017-11-25,985393.4218876816
2017-11-27,1115947.4883449166
2017-11-30,1062152.6038149763
2017-12-05,6343354.153988051
2017-12-13,1944700.3774982889
2017-12-15,446384.20742355153
2017-12-20,152513.90425134552
2017-12-25,29368.350178768214
2017-12-29,0.0
2018-01-04,0.0
2018-01-09,0.0
2018-01-14,0.0
2018-01-24,4850.698336621419
2018-01-29,0.0
2018-01-30,378508.18586599024
2018-02-03,0.0
2018-02-08,105332.72029110564
2018-02-13,68532.360647926
2018-02-15,169607.69798660203
2018-02-18,89433.7393148672
2018-02-23,63143.41812501254
2018-02-28,58739.49276433701
2018-03-03,95715.15101843451
2018-03-05,2452975.8544880785
2018-03-15,0.0
2018-03-19,441882.49841155054
2018-03-20,0.0
2018-03-25,805565.9996157306
2018-03-30,0.0
2018-04-04,0.0
2018-04-09,0.0
2018-04-14,459745.6182837421
2018-04-19,59712.987406471424
2018-04-20,756398.3171637091
2018-04-24,59254.61796562974
2018-04-29,98559.53250046172
2018-05-04,0.0
2018-05-06,213720.7501583253
2018-05-09,258474.332653547
2018-05-14,323662.2043720651
2018-05-19,563469.459004698
2018-05-22,282297.3446157955
2018-05-24,325564.36070502567
2018-05-29,241073.26495253632
2018-06-03,175485.92889916434
2018-06-07,570263.9125810743
2018-06-08,697029.0534811991
2018-06-13,687100.0150502387
2018-06-18,318873.46414264257
2018-06-23,329118.70352784777
2018-06-28,106188.2098639377
2018-07-03,0.0
2018-07-09,0.0
2018-07-13,133362.3682562512
2018-07-18,482880.3646882119
2018-07-23,0.0
2018-07-25,0.0
2018-07-28,0.0
2018-08-02,943260.203366251
2018-08-07,1643884.1983622257
2018-08-10,802131.7298663672
2018-08-12,1405611.6894998776
2018-08-17,2557523.655513124
2018-08-22,5916132.830258416
2018-08-27,0.0
2018-09-01,902814.1816265855
2018-09-06,0.0
2018-09-11,345505.22469853255
2018-09-21,0.0
2018-09-26,249399.45557622757
2018-09-27,0.0
2018-10-01,102586.02979732814
2018-10-06,651028.6925046924
2018-10-11,1076451.745011943
2018-10-13,1262389.1661955747
2018-10-16,630102.3080424352
2018-10-21,2019886.007889231
2018-10-26,1290252.9034384426
2018-10-29,302374.18896349333
2018-10-31,707909.306568116
2018-11-05,1356298.9677756126
2018-11-10,2909052.489740622
2018-11-14,1501183.9884363401
2018-11-15,1275762.736284196
2018-11-20,357936.6248665279
2018-11-25,385859.68581583316
2018-11-30,295014.5642662663
2018-12-10,80034.35471733607
2018-12-15,28102.56515923692
2018-12-16,0.0
2018-12-20,49244.68467025159
2018-12-25,17466.03616056861
2018-12-30,56322.566861537875
2019-01-01,865994.6068596607
2019-01-04,0.0
2019-01-09,87606.20468570599
2019-01-14,0.0
2019-01-17,31411.99125930051
2019-01-19,0.0
2019-01-24,26350.892095571704
2019-01-29,1790.223038446945
2019-02-02,0.0
2019-02-03,774611.489909419
2019-02-08,7021.351820733811
2019-02-13,92445.60655834945
2019-02-18,53489.635431515424
2019-02-23,58928.60795873421
2019-02-28,1592384.5200370273
2019-03-05,0.0
2019-03-06,4170700.4191220338
2019-03-10,440700.5974239778
2019-03-15,530185.6818939265
2019-03-20,808975.7972729767
2019-03-22,1903325.0847305364
2019-03-25,969115.4812242386
2019-03-30,398117.06728664873
2019-04-04,230970.96279975242
2019-04-07,510972.9933138032
2019-04-09,618066.4357144416
2019-04-14,56162.969554982934
2019-04-19,303500.47932845267
2019-04-23,963910.8476650462
2019-04-24,1492091.5535308502
2019-04-29,383427.2288295451
2019-05-04,121008.69485077437
2019-05-09,12153.496244948003
2019-05-19,14034.402392109108
2019-05-24,10022.756902684332
2019-05-25,87594.81399044448
2019-05-29,112318.07389979433
2019-06-08,35744.88337406091
2019-06-10,172351.4432401102
2019-06-13,763246.7611323451
2019-06-18,462878.8836663477
2019-06-23,82341.98916608495
2019-06-26,174358.42458640414
2019-06-28,31776.288508074886
