date,outflow (m3/d)
2017-08-02,86201.2158322575
2017-08-14,116562.79227975433
2017-08-17,0.0
2017-08-30,234479.77607051915
2017-09-06,620940.4504681488
2017-09-11,826593.9761843106
2017-09-15,376926.11400693154
2017-09-26,389621.94068929536
2017-10-01,35408.15266821879
2017-10-16,51594.861520217564
2017-10-17,154008.20580570222
2017-10-21,113857.08855435812
2017-11-02,42678.63849110942
2017-11-05,136436.62374004026
2017-11-10,77290.14851553485
2017-11-18,53424.260217408766
2017-11-25,4587.621547521105
2017-12-04,243964.22473546668
2017-12-05,88949.32900437183
2017-12-15,104387.85821706243
2017-12-20,0.0
2017-12-25,23858.17684325596
2018-01-04,3206.263426840342
2018-01-05,634622.9510571237
2018-01-14,0.0
2018-01-21,29355.85432673354
2018-01-24,0.0
2018-01-29,19096.404803959867
2018-02-03,8704.184121096092
2018-02-06,245168.96238203536
2018-02-08,2981.114001249002
2018-02-13,3726.3570629924993
2018-02-18,1654.696751305942
2018-02-22,302.35171614530685
2018-02-23,0.0
2018-02-28,9113.364744904417
2018-03-05,13483.889819555781
2018-03-10,11255.274700221966
2018-03-15,12552.494028842311
2018-03-20,30791.569180066574
2018-03-25,22170.1551909783
2018-03-26,61510.867759108616
2018-03-30,15852.791279188812
2018-04-04,16207.511776104306
2018-04-09,0.0
2018-04-11,0.0
2018-04-14,0.0
2018-04-24,15799.46449490791
2018-04-27,64192.21975214889
2018-04-29,81788.87286622469
2018-05-04,41778.21987528647
2018-05-09,53022.790370935334
2018-05-13,185662.06340557642
2018-05-14,505248.1567253255
2018-05-19,201520.30600793828
2018-05-24,82656.51764097901
2018-05-29,76992.62962817305
2018-06-03,112771.69824284402
2018-06-08,275653.5881059244
2018-06-13,719052.2432031175
2018-06-14,1770329.4233888173
2018-06-18,1237171.927615574
2018-06-23,467628.8303788053
2018-06-28,272241.3355114593
2018-06-30,95262.09851089542
2018-07-03,278496.93121319526
2018-07-08,374728.77467732667
2018-07-13,903277.8466344808
2018-07-18,1487532.9609448106
2018-07-23,1373595.0768500036
2018-07-28,491251.584323146
2018-08-01,370570.0579940713
2018-08-02,1575328.7946945992
2018-08-07,861512.2282478306
2018-08-12,439126.9177176209
2018-08-17,1068582.4636118964
2018-08-22,1935940.8038189316
2018-08-27,339541.0276543668
2018-09-01,45250.63804086346
2018-09-02,13684.569714543382
2018-09-06,3904.294068527999
2018-09-11,2504.3641240174848
2018-09-21,4348.1089991453955
2018-09-26,26386.512456664732
2018-10-01,54785.98795554048
2018-10-04,115822.59457276814
2018-10-06,317860.1485017207
2018-10-11,306933.31803568674
2018-10-16,265576.93470792077
2018-10-20,217880.4595887918
2018-10-21,386892.1842838799
2018-10-26,243185.95870051716
2018-10-31,102109.8967368917
2018-11-05,24439.95305311709
2018-11-10,15381.681296879067
2018-11-15,4664.104964377577
2018-11-20,247840.49620688797
2018-11-21,558984.0986651658
2018-11-25,148705.95326922255
2018-11-30,43287.56790236645
2018-12-07,11126.005758017733
2018-12-10,11291.369010567712
2018-12-15,3185.3582338173005
2018-12-20,2833.389224361804
2018-12-23,2728.1643628691895
2018-12-25,4493.918441358268
2018-12-30,3414.218465885567
2019-01-04,2188.293589922475
2019-01-08,2282.9309019776792
2019-01-09,5621.570911439796
2019-01-14,1996.3504509989818
2019-01-19,1954.626320840645
2019-01-24,1912.4942027563727
2019-01-29,1873.2006201398315
2019-02-03,0.0
2019-02-08,0.0
2019-02-09,481475.0098210375
2019-02-13,0.0
2019-02-18,29271.42211110645
2019-02-23,0.0
2019-02-25,7524.257045646228
2019-02-28,10649.563484450095
2019-03-05,0.0
2019-03-10,95917.52172984867
2019-03-13,0.0
2019-03-15,297706.0403419445
2019-03-20,0.0
2019-03-25,40975.67679466381
2019-03-29,2736.872421422397
2019-03-30,103661.81426817478
2019-04-04,12425.170792227109
2019-04-09,30146.366776498024
2019-04-14,207385.02954113745
2019-04-19,0.0
2019-04-24,588419.1049075795
2019-04-29,246457.15921695853
2019-04-30,248598.63484372775
2019-05-04,53929.00673434481
2019-05-09,0.0
2019-05-14,57231.46755960132
2019-05-16,216858.30209938769
2019-05-19,0.0
2019-05-24,41756.69944011701
2019-05-29,11616.55281257572
2019-06-01,44735.070061029866
2019-06-03,41774.74033898488
2019-06-08,34140.72812810623
2019-06-13,63233.94926827063
2019-06-17,75204.4604765568
2019-06-18,98857.3485419732
2019-06-23,38357.49105794931
2019-06-28,56482.12842012752
