date,outflow (m3/d)
2017-08-02,9900.843607783903
2017-08-14,74043.26074187101
2017-08-17,0.0
2017-08-30,166894.75343475761
2017-09-06,746455.4925059916
2017-09-11,733653.7971083706
2017-09-15,450794.75740188156
2017-09-26,375383.34602565214
2017-10-01,100578.32528817879
2017-10-16,51594.861520217564
2017-10-17,154008.20580570222
2017-10-21,113857.08855435812
2017-11-02,42678.63849110942
2017-11-05,136436.62374004026
2017-11-10,77290.14851553485
2017-11-18,16372.128048072318
2017-11-25,25644.132328250304
2017-12-04,131558.6794374423
2017-12-05,592698.7454374563
2017-12-15,79855.21190870262
2017-12-20,19691.247190210317
2017-12-25,12443.150067537938
2018-01-04,6763.0224047845195
2018-01-05,582599.1180978236
2018-01-14,0.0
2018-01-21,275127.25014029065
2018-01-24,0.0
2018-01-29,196805.277976946
2018-02-03,0.0
2018-02-06,166547.2749136687
2018-02-08,0.0
2018-02-13,0.0
2018-02-18,836.2627066565597
2018-02-22,0.0
2018-02-23,105917.81898138013
2018-02-28,21784.384120892682
2018-03-05,21646.9681900129
2018-03-10,21513.64297749326
2018-03-15,13080.425125477866
2018-03-20,48853.37066706404
2018-03-25,31321.960198928504
2018-03-26,107455.7189882531
2018-03-30,27135.70469815912
2018-04-04,0.0
2018-04-09,14123.967200438154
2018-04-11,0.0
2018-04-14,0.0
2018-04-24,32292.957211020515
2018-04-27,56558.81547971556
2018-04-29,189317.6619623747
2018-05-04,31580.071807139328
2018-05-09,68919.86389857532
2018-05-13,189402.19445682643
2018-05-14,551638.9257696255
2018-05-19,207647.00436333832
2018-05-24,90271.59421169902
2018-05-29,83814.85166739304
2018-06-03,119921.32905724407
2018-06-08,269077.0622451045
2018-06-13,705865.9488355576
2018-06-14,1720614.7431768172
2018-06-18,1222476.773475549
2018-06-23,456658.2450719453
2018-06-28,260725.76799575935
2018-06-30,66821.83303279542
2018-07-03,259188.47458386197
2018-07-08,288977.62138234667
2018-07-13,927405.4303438828
2018-07-18,1455187.3355105706
2018-07-23,1369928.690174864
2018-07-28,472782.3031016659
2018-08-01,356751.26244462124
2018-08-02,1550540.7778889085
2018-08-07,863619.3205481145
2018-08-12,437698.37538952543
2018-08-17,1068921.8617047297
2018-08-22,1935395.7380239875
2018-08-27,339438.2806410335
2018-09-01,44926.596276740325
2018-09-02,12876.475958906049
2018-09-06,3665.4392570164473
2018-09-11,2701.81117848636
2018-09-21,4536.612886484025
2018-09-26,26673.706395727062
2018-10-01,55117.99337213863
2018-10-04,116275.58648080545
2018-10-06,318520.4133426982
2018-10-11,390749.4167243671
2018-10-16,258048.9175374876
2018-10-20,223008.52479518251
2018-10-21,380273.826793998
2018-10-26,272610.2125423289
2018-10-31,99435.6120360067
2018-11-05,25647.312757657317
2018-11-10,18143.225346579424
2018-11-15,4983.0665608802365
2018-11-20,247551.8893316569
2018-11-21,555932.8515487004
2018-11-25,135304.77243568233
2018-11-30,46435.461221947975
2018-12-07,0.0
2018-12-10,316599.0193180324
2018-12-15,0.0
2018-12-20,48566.63433933413
2018-12-23,0.0
2018-12-25,33325.458175234766
2018-12-30,0.0
2019-01-04,43916.81290405586
2019-01-08,0.0
2019-01-09,58380.5518125479
2019-01-14,0.0
2019-01-19,4729.926400531997
2019-01-24,805.2239529924192
2019-01-29,2706.397485153664
2019-02-03,0.0
2019-02-08,0.0
2019-02-09,0.0
2019-02-13,16106.842247792314
2019-02-18,3771.4278820683685
2019-02-23,0.0
2019-02-25,0.0
2019-02-28,18436.065001610546
2019-03-05,18915.187204327234
2019-03-10,71606.13230634866
2019-03-13,0.0
2019-03-15,72758.70754324454
2019-03-20,48849.237936798396
2019-03-25,0.0
2019-03-29,101957.38897642518
2019-03-30,0.0
2019-04-04,153661.3641350757
2019-04-09,0.0
2019-04-14,62620.259650217486
2019-04-19,154947.2745740552
2019-04-24,510006.39560459944
2019-04-29,285353.33523144457
2019-04-30,151737.4417747825
2019-05-04,65877.0287011101
2019-05-09,19124.20155500453
2019-05-14,19398.99249112876
2019-05-16,41203.18454129173
2019-05-19,32710.102292476975
2019-05-24,24557.66063162158
2019-05-29,42016.394717779585
2019-06-01,19358.95084010282
2019-06-03,60241.194516042335
2019-06-08,1171.4066705760767
2019-06-13,79784.65682397716
2019-06-17,65160.09436469652
2019-06-18,0.0
2019-06-23,57466.128779139
2019-06-28,47655.962903946755
