date,outflow (m3/d)
2017-07-20,360488.5162551877
2017-07-21,385485.2428522063
2017-07-31,294338.12183045247
2017-08-05,71804.81048101884
2017-08-15,217598.06658000042
2017-08-20,273909.73387492873
2017-08-21,616941.9686987804
2017-08-25,268835.8545803985
2017-08-30,401342.8749891588
2017-09-06,508818.0656931653
2017-09-09,584959.974454473
2017-09-14,278203.2884879783
2017-09-19,956395.1552332891
2017-09-22,1229295.076113023
2017-09-24,530145.1234443205
2017-10-04,297584.9534275351
2017-10-08,333476.61686201487
2017-10-09,309082.2681302198
2017-10-14,274025.5627876918
2017-10-19,341357.434182563
2017-10-24,38461.401530599614
2017-10-29,83899.91900355881
2017-11-03,72818.43214123124
2017-11-08,70454.62769637897
2017-11-09,0.0
2017-11-13,24798.433895264145
2017-11-18,17178.006944413282
2017-11-23,2473.168556274388
2017-11-25,57214.29400839116
2017-11-28,170180.64876244895
2017-12-03,0.0
2017-12-08,127428.95062570655
2017-12-11,0.0
2017-12-13,144150.8176692568
2017-12-18,0.0
2017-12-23,0.0
2017-12-27,210.73426105020192
2017-12-28,0.0
2018-01-02,18397.95380050888
2018-01-07,0.0
2018-01-12,0.0
2018-01-17,2455.4554295131093
2018-01-22,45159.31047540265
2018-01-27,185.5759136904461
2018-01-28,138.3616442684995
2018-02-06,89.1740898228672
2018-02-11,0.0
2018-02-13,30250.852665995782
2018-02-16,0.0
2018-02-21,2879.963230083788
2018-02-26,0.0
2018-03-01,23590.727976254857
2018-03-03,0.0
2018-03-08,0.0
2018-03-13,18660.129666850054
2018-03-17,0.0
2018-03-18,0.0
2018-03-23,1698.837878643575
2018-03-28,1633.2766929994434
2018-04-02,0.0
2018-04-07,189.09476947471393
2018-04-12,0.0
2018-04-17,23737.069042718536
2018-04-18,35555.5077503131
2018-04-22,40142.36161302707
2018-04-27,54528.8566972342
2018-05-02,5824.477702167448
2018-05-04,44551.87721853405
2018-05-07,97606.30657811975
2018-05-12,58405.00950404148
2018-05-17,79226.06558122198
2018-05-20,51725.58301264967
2018-05-22,83259.43182150196
2018-06-01,180655.1397915613
2018-06-05,343631.8920843252
2018-06-06,596066.9476996155
2018-06-11,962417.47409257
2018-06-16,1034266.2450101901
2018-06-21,503353.5320397698
2018-06-26,584887.0510345132
2018-07-01,1477233.5249585814
2018-07-06,897834.3250067439
2018-07-07,1741274.3430416733
2018-07-11,2487404.3533568853
2018-07-16,1512545.716548124
2018-07-21,1605669.5611357645
2018-07-23,2764317.3437487194
2018-07-26,1044648.2079623931
2018-07-31,394425.2803410479
2018-08-05,755942.8005296084
2018-08-08,555718.935963992
2018-08-10,1631752.7125846064
2018-08-15,2323872.9051827607
2018-08-24,1570147.3565767528
2018-08-25,587829.9766982856
2018-08-30,270722.2417203237
2018-09-04,211433.68737782942
2018-09-09,110479.9102488051
2018-09-14,43068.02725313055
2018-09-19,17712.196820169287
2018-09-24,5264.795415787349
2018-09-25,73925.1710778377
2018-09-29,59297.85090094147
2018-10-04,151281.35065795624
2018-10-09,290183.53761744173
2018-10-11,415990.59701697476
2018-10-14,339567.08810118714
2018-10-19,357620.3034149541
2018-10-24,383916.67763952655
2018-10-27,265646.19304867095
2018-10-29,270148.80044954753
2018-11-03,196252.0132347944
2018-11-08,119454.31974095835
2018-11-12,51887.719450601726
2018-11-18,18404.225951857945
2018-11-23,15186.652491723327
2018-11-28,17302.87483730064
2018-12-03,750.2825070326334
2018-12-08,0.0
2018-12-13,0.0
2018-12-14,0.0
2018-12-18,0.0
2018-12-23,0.0
2018-12-28,25859.397281686448
2018-12-30,0.0
2019-01-02,2391.5796473972305
2019-01-07,0.0
2019-01-12,0.0
2019-01-15,0.0
2019-01-17,0.0
2019-01-22,0.0
2019-01-27,0.0
2019-01-31,3259.5999358340246
2019-02-01,5686.309296897195
2019-02-06,1942.8735587507251
2019-02-11,1598.1177228385707
2019-02-16,1762.569046569698
2019-02-21,1673.5758779239286
2019-02-26,3413.9921852933885
2019-03-03,4224.610981209265
2019-03-04,18421.7406029875
2019-03-08,21929.275318378033
2019-03-13,0.0
2019-03-18,7110.563246313676
2019-03-20,4992.022129345482
2019-03-23,7477.115290836979
2019-03-28,3302.3261963213513
2019-04-02,17078.665110309066
2019-04-05,180.44268817341887
2019-04-07,12632.489306914087
2019-04-12,3170.9667537457317
2019-04-17,6099.037901838671
2019-04-21,23501.881375937795
2019-04-22,67228.98485333899
2019-04-27,25726.8120827846
2019-05-02,29198.024887934618
2019-05-07,34736.836482833285
2019-05-12,3601.3969663958046
2019-05-17,0.0
2019-05-22,16243.689085597325
2019-05-23,21961.535683660528
2019-05-27,5550.238677151632
2019-06-01,39619.9072177829
2019-06-06,33135.37615365491
2019-06-08,59458.452056792834
2019-06-11,49862.408828297004
2019-06-16,90313.35304432738
2019-06-21,29665.73009741679
2019-06-24,102465.75966033315
2019-06-26,71117.61150053411
