date,outflow (m3/d)
2017-07-20,364451.8646953231
2017-07-21,385485.2428522063
2017-07-31,286126.39965507254
2017-08-05,88228.25483177883
2017-08-15,215290.18125116453
2017-08-20,273909.73387492873
2017-08-21,559513.8110259376
2017-08-25,288962.6073206947
2017-08-30,401342.8749891588
2017-09-06,498862.2303522795
2017-09-09,568202.2931728637
2017-09-14,288001.4427881382
2017-09-19,970589.779179325
2017-09-22,1247416.4926391563
2017-09-24,522425.1381998024
2017-10-04,330574.16126901575
2017-10-08,228993.7880256149
2017-10-09,358197.2259716374
2017-10-14,274025.5627876918
2017-10-19,333092.79337312304
2017-10-24,162871.6418341374
2017-10-29,93464.5893239633
2017-11-03,0.0
2017-11-08,88238.29380091898
2017-11-09,145659.41058432864
2017-11-13,32545.083347203836
2017-11-18,0.0
2017-11-23,2473.168556274388
2017-11-25,115133.56255814114
2017-11-28,28067.04420934345
2017-12-03,0.0
2017-12-08,2800.889074286559
2017-12-11,25380.78751871612
2017-12-13,0.0
2017-12-18,0.0
2017-12-23,0.0
2017-12-27,46086.41526215021
2017-12-28,0.0
2018-01-02,50544.00794659901
2018-01-07,0.0
2018-01-12,97047.97576555434
2018-01-17,0.0
2018-01-22,23670.65733550264
2018-01-27,0.0
2018-01-28,215408.54620277078
2018-02-06,0.0
2018-02-11,11767.390004870833
2018-02-13,0.0
2018-02-16,5002.236635424066
2018-02-21,0.0
2018-02-26,690.7312092065357
2018-03-01,0.0
2018-03-03,262.67153273783714
2018-03-08,0.0
2018-03-13,88.10623263738529
2018-03-17,6569.495809171531
2018-03-18,8254.120852758695
2018-03-23,3561.6571975156576
2018-03-28,683.7542185821811
2018-04-02,5314.438121899576
2018-04-07,189.09476947471393
2018-04-12,2601.841467747908
2018-04-17,10925.266187333244
2018-04-18,39221.56167599506
2018-04-22,39225.84813160658
2018-04-27,54892.29033653314
2018-05-02,5461.044062868513
2018-05-04,44551.87721853405
2018-05-07,94538.07301994297
2018-05-12,59314.02083696115
2018-05-17,80157.9943832084
2018-05-20,51725.58301264967
2018-05-22,83259.43182150196
2018-06-01,180655.1397915613
2018-06-05,343631.8920843252
2018-06-06,596066.9476996155
2018-06-11,962417.47409257
2018-06-16,1034266.2450101901
2018-06-21,503353.5320397698
2018-06-26,584887.0510345132
2018-07-01,1477233.5249585814
2018-07-06,897834.3250067439
2018-07-07,1741274.3430416733
2018-07-11,2487404.3533568853
2018-07-16,1512545.716548124
2018-07-21,1605669.5611357642
2018-07-23,2764317.3437487194
2018-07-26,1044648.2079623931
2018-07-31,394425.2803410479
2018-08-05,755942.8005296084
2018-08-08,555718.935963992
2018-08-10,1631752.7125846064
2018-08-15,2323872.9051827607
2018-08-24,1570147.3565767528
2018-08-25,587829.9766982856
2018-08-30,270722.2417203237
2018-09-04,227544.98731264917
2018-09-09,109943.1399183361
2018-09-14,42544.56596501865
2018-09-19,17552.980475315926
2018-09-24,11421.15105867355
2018-09-25,60293.094537062854
2018-09-29,67036.3839582511
2018-10-04,153169.61074707189
2018-10-09,291637.2451157011
2018-10-11,406247.9242490273
2018-10-14,363719.46116335964
2018-10-19,354431.1737465434
2018-10-24,402028.2421437942
2018-10-27,250278.1958259181
2018-10-29,294162.92122594273
2018-11-03,195312.3180818152
2018-11-08,124041.35916301176
2018-11-12,54249.95013845455
2018-11-18,19973.20844691061
2018-11-23,8461.843885727563
2018-11-28,14649.493947896013
2018-12-03,4522.652226160972
2018-12-08,0.0
2018-12-13,2822.644890406627
2018-12-14,0.0
2018-12-18,0.0
2018-12-23,0.0
2018-12-28,425.38142174473444
2018-12-30,0.0
2019-01-02,0.0
2019-01-07,0.0
2019-01-12,0.0
2019-01-15,0.0
2019-01-17,12167.238613684385
2019-01-22,0.0
2019-01-27,0.0
2019-01-31,2762.1543159293756
2019-02-01,2933.8477618760207
2019-02-06,1469.2663313079004
2019-02-11,1087.265847035762
2019-02-16,1271.3196947750785
2019-02-21,1173.6358811050463
2019-02-26,2363.311342287668
2019-03-03,2899.4549592910294
2019-03-04,12508.538004591765
2019-03-08,3390.9608121974265
2019-03-13,2664.2467417738294
2019-03-18,2685.2811185413266
2019-03-20,6434.488802547901
2019-03-23,4332.405767639843
2019-03-28,2639.8633578309646
2019-04-02,2630.0504122060697
2019-04-05,4272.692745793568
2019-04-07,6316.269935520911
2019-04-12,3112.8312273849474
2019-04-17,4828.085558319951
2019-04-21,22668.73592888025
2019-04-22,28743.2373201007
2019-04-27,9657.268340491066
2019-05-02,36209.09229966139
2019-05-07,30409.150193884212
2019-05-12,2535.0431357967236
2019-05-17,3889.9958867524138
2019-05-22,2587.2725822629072
2019-05-23,17767.660619304912
2019-05-27,19869.348908543267
2019-06-01,21887.358694980452
2019-06-06,43193.822741675474
2019-06-08,44881.5056036006
2019-06-11,53667.08047344713
2019-06-16,88326.2861711274
2019-06-21,32072.011769465116
2019-06-24,99734.61352689804
2019-06-26,61875.82588535418
