date,outflow (m3/d)
2017-07-26,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-08-02,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-17,0.0
2017-08-30,152385.12988392886
2017-09-06,0.0
2017-09-11,0.0
2017-09-15,0.0
2017-09-19,769375.9297455864
2017-09-24,0.0
2017-09-26,144912.08377715226
2017-10-01,0.0
2017-10-09,3136.5497382968942
2017-10-14,0.0
2017-10-16,9442.554042294387
2017-10-17,33484.43434322369
2017-10-21,192256.7447103203
2017-11-02,70787.29649653315
2017-11-03,8206.793196140434
2017-11-05,63582.51125557412
2017-11-08,164166.59994527142
2017-11-10,151627.70971977353
2017-11-18,0.0
2017-11-23,275331.0895426315
2017-11-25,477174.71747497126
2017-11-28,758070.0303784885
2017-12-04,185582.89993058593
2017-12-05,374120.32287364703
2017-12-08,163305.30001626405
2017-12-13,178071.57179396338
2017-12-15,72993.04943199088
2017-12-18,300646.70827628666
2017-12-20,258508.67664954276
2017-12-25,103380.20042049309
2017-12-28,171144.40823709377
2018-01-02,102622.87492751655
2018-01-04,262205.7099968678
2018-01-05,522664.15014616225
2018-01-14,132274.02697560238
2018-01-17,109793.69819519254
2018-01-21,306725.6190239999
2018-01-22,374895.9736798839
2018-01-24,187304.43361586213
2018-01-27,124758.94986582843
2018-01-29,186441.72477553596
2018-02-03,43966.0480411696
2018-02-06,161716.74228262613
2018-02-08,270199.5394415289
2018-02-11,170871.4581169566
2018-02-13,262503.5087423564
2018-02-16,152460.79045196736
2018-02-18,228901.38523362434
2018-02-21,151913.76534915302
2018-02-22,454788.2463960791
2018-02-23,453667.3934206504
2018-02-26,251457.78771621126
2018-02-28,450253.7876482096
2018-03-03,1489032.3067009617
2018-03-05,696420.5919634555
2018-03-08,460331.7386668907
2018-03-10,684151.5810630154
2018-03-13,265926.2845431337
2018-03-15,520747.47610377404
2018-03-18,660127.4486840202
2018-03-20,637643.5472271212
2018-03-23,243259.04317242658
2018-03-25,891939.4882294695
2018-03-26,1343783.503399576
2018-03-28,415162.2977742142
2018-03-30,1670632.8715202287
2018-04-02,619034.9205441687
2018-04-04,1608230.1371092726
2018-04-07,1074039.9626184027
2018-04-09,1634933.2456999419
2018-04-11,1652410.3932621349
2018-04-12,1577901.2308103123
2018-04-14,782298.2054623633
2018-04-17,271812.0358981931
2018-04-22,146831.543268901
2018-04-24,365766.4663485181
2018-04-27,235362.47810845223
2018-04-29,216028.91412003656
2018-05-04,225615.57392869747
2018-05-07,185501.60784777207
2018-05-09,395076.2017684092
2018-05-12,134224.96049142166
2018-05-13,208343.88475846383
2018-05-14,187951.54236054257
2018-05-17,191208.58403885073
2018-05-19,298114.8439097517
2018-05-22,335904.8153656905
2018-05-24,203228.23846851022
2018-05-29,177609.05968603856
2018-06-01,317205.60250854155
2018-06-03,11412.600135174522
2018-06-06,687171.5485566464
2018-06-08,1268927.577932529
2018-06-11,1110672.2749275388
2018-06-13,921162.6127406942
2018-06-14,1810562.0646856877
2018-06-16,2454441.2359655467
2018-06-18,1981461.0137609174
2018-06-21,1299198.5122546973
2018-06-23,1667096.3483476015
2018-06-26,1172552.6428244936
2018-06-28,584748.8522690035
2018-06-30,0.0
2018-07-01,0.0
2018-07-03,0.0
2018-07-06,0.0
2018-07-08,0.0
2018-07-11,93102.52593823553
2018-07-13,1450293.3100630862
2018-07-16,0.0
2018-07-18,1763131.0357510685
2018-07-21,1449309.5289043814
2018-07-23,1395389.6104002648
2018-07-26,363068.7404483316
2018-07-28,0.0
2018-08-01,139887.6691130748
2018-08-02,1301251.0760114184
2018-08-05,1172551.593059089
2018-08-07,714706.2787570799
2018-08-10,548396.5715505495
2018-08-12,759960.9111496645
2018-08-15,741389.0702383834
2018-08-17,3222912.39130592
2018-08-20,3390842.241238671
2018-08-22,1614209.4984295757
2018-08-25,656889.0936203012
2018-08-27,328618.85233889136
2018-08-30,0.0
2018-09-01,1096582.9297887108
2018-09-02,0.0
2018-09-04,885193.4804526414
2018-09-06,0.0
2018-09-09,232815.8690887921
2018-09-11,0.0
2018-09-14,65567.62919196702
2018-09-19,0.0
2018-09-21,0.0
2018-09-24,86123.15040283417
2018-09-26,57372.563536396854
2018-09-29,87720.81473639779
2018-10-01,177654.48190666575
2018-10-04,269538.9023836584
2018-10-06,841031.8023958032
2018-10-11,473966.36436960363
2018-10-14,244260.42387565598
2018-10-16,0.0
2018-10-19,938949.7069527704
2018-10-20,0.0
2018-10-21,1716233.8085138435
2018-10-24,0.0
2018-10-26,1901577.3845266597
2018-10-29,0.0
2018-10-31,399738.8395643394
2018-11-03,0.0
2018-11-05,85028.03944248596
2018-11-08,0.0
2018-11-10,0.0
2018-11-15,618606.674707522
2018-11-18,0.0
2018-11-20,403519.9780521479
2018-11-21,0.0
2018-11-23,131777.59467464604
2018-11-25,0.0
2018-11-28,34742.353978191175
2018-11-30,0.0
2018-12-03,0.0
2018-12-07,0.0
2018-12-08,0.0
2018-12-10,0.0
2018-12-13,808755.2970168382
2018-12-15,2249791.5343211223
2018-12-18,0.0
2018-12-20,600275.4234985661
2018-12-23,0.0
2018-12-25,181825.6529343031
2018-12-28,0.0
2018-12-30,1114546.8747531343
2019-01-02,0.0
2019-01-04,310069.83416573796
2019-01-07,0.0
2019-01-08,218889.80325741816
2019-01-09,19294.681543160856
2019-01-12,40037.66784800913
2019-01-14,34831.407744502765
2019-01-17,0.0
2019-01-19,0.0
2019-01-22,3019183.071330428
2019-01-24,0.0
2019-01-27,694140.468878499
2019-01-29,1757454.401627769
2019-02-01,0.0
2019-02-03,732375.7023085066
2019-02-06,155748.64449911547
2019-02-08,0.0
2019-02-09,1300.839169453318
2019-02-11,647755.9836563761
2019-02-13,324825.9181826838
2019-02-16,106981.09796604309
2019-02-18,0.0
2019-02-21,27171.697536456344
2019-02-23,0.0
2019-02-25,10615.532887476003
2019-02-26,0.0
2019-02-28,3133.5836904378953
2019-03-03,0.0
2019-03-05,1256.2782106174243
2019-03-08,2494032.574856054
2019-03-10,1610.0084728314605
2019-03-13,2835.9954909638177
2019-03-15,1367.1541559435618
2019-03-18,679.2191086942742
2019-03-20,732.6918478850774
2019-03-23,571.3002218881584
2019-03-25,611.657640061609
2019-03-28,542.4816191163956
2019-03-29,812.2385243135981
2019-03-30,811.6022434023072
2019-04-02,540.1896752675549
2019-04-04,606.441380672641
2019-04-07,537.7537047763728
2019-04-09,603.6136812177265
2019-04-12,535.2322786622553
2019-04-14,600.7693548351657
2019-04-17,1456.8379638472743
2019-04-19,285848.983710818
2019-04-22,640535.905841012
2019-04-24,427604.2350525166
2019-04-27,254592.9012206413
2019-04-29,148809.20494261617
2019-04-30,110084.32345103651
2019-05-02,57695.014087645686
2019-05-04,39289.92251356853
2019-05-07,11724.170658918934
2019-05-09,3941.623563880487
2019-05-12,2445.655701818143
2019-05-14,2021.1778975843438
2019-05-16,4666.340209035235
2019-05-17,17421.247603564312
2019-05-19,31310.556996049607
2019-05-22,19833.69881301268
2019-05-24,4859.783842693335
2019-05-27,7426.194046358409
2019-05-29,25239.486387455498
2019-06-01,48397.87946627169
2019-06-03,17383.809235492587
2019-06-06,7064.6220486873035
2019-06-08,17565.177088311295
2019-06-11,89059.08976957551
2019-06-13,284568.99288593535
2019-06-16,254259.82719385676
2019-06-17,284421.8495917383
2019-06-18,216831.99807264845
2019-06-23,80773.89571909068
2019-06-26,97682.30162581045
2019-06-28,62346.3043717121
