date,outflow (m3/d)
2017-07-26,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-08-02,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-17,0.0
2017-08-30,0.0
2017-09-06,174875.6392537329
2017-09-11,0.0
2017-09-15,0.0
2017-09-19,1162725.1289548117
2017-09-24,0.0
2017-09-26,0.0
2017-10-01,0.0
2017-10-09,0.0
2017-10-14,71713.48915929777
2017-10-16,9442.554042294387
2017-10-17,33484.43434322369
2017-10-21,192256.7447103203
2017-11-02,70787.29649653315
2017-11-03,8206.793196140434
2017-11-05,63582.51125557412
2017-11-08,164166.59994527142
2017-11-10,151627.70971977353
2017-11-18,0.0
2017-11-23,275331.0895426315
2017-11-25,2556579.578160671
2017-11-28,340715.90634505526
2017-12-04,0.0
2017-12-05,1822263.4856321474
2017-12-08,0.0
2017-12-13,112527.80762092337
2017-12-15,154257.03513984082
2017-12-18,246470.71780438675
2017-12-20,96893.65250889276
2017-12-25,92914.15250299309
2017-12-28,296331.17086002714
2018-01-02,102622.87492751655
2018-01-04,4760765.668158867
2018-01-05,0.0
2018-01-14,132274.02697560238
2018-01-17,109793.69819519254
2018-01-21,306725.6190239999
2018-01-22,374895.9736798839
2018-01-24,2106144.708261912
2018-01-27,0.0
2018-01-29,1097066.7334856861
2018-02-03,0.0
2018-02-06,103866.85973279279
2018-02-08,3200177.9970576293
2018-02-11,0.0
2018-02-13,312693.72801475634
2018-02-16,207942.35386150068
2018-02-18,181509.86949162433
2018-02-21,290937.2525519863
2018-02-22,612920.784409979
2018-02-23,358161.1015844504
2018-02-26,643016.2162306112
2018-02-28,564459.3889934096
2018-03-03,456038.9143189283
2018-03-05,407767.1558663555
2018-03-08,652767.3627315908
2018-03-10,684151.5810630154
2018-03-13,265926.2845431337
2018-03-15,3676325.551702224
2018-03-18,0.0
2018-03-20,4646901.288488521
2018-03-23,0.0
2018-03-25,664420.7142691695
2018-03-26,17457.816421976007
2018-03-28,731452.969296114
2018-03-30,0.0
2018-04-02,625629.2585786021
2018-04-04,799194.9524628228
2018-04-07,2078966.663071436
2018-04-09,1634933.2456999419
2018-04-11,1652410.3932621349
2018-04-12,1577901.2308103123
2018-04-14,782298.2054623633
2018-04-17,271812.0358981931
2018-04-22,146831.543268901
2018-04-24,365766.4663485181
2018-04-27,235362.47810845223
2018-04-29,344035.12595063663
2018-05-04,174413.08919645747
2018-05-07,542245.3686977387
2018-05-09,0.0
2018-05-12,203943.8922958258
2018-05-13,0.0
2018-05-14,187951.54236054257
2018-05-17,191208.58403885073
2018-05-19,469803.2098043844
2018-05-22,221445.9047692572
2018-05-24,203228.23846851022
2018-05-29,177609.05968603856
2018-06-01,317205.60250854155
2018-06-03,11412.600135174522
2018-06-06,687171.5485566464
2018-06-08,1268927.577932529
2018-06-11,1110672.2749275388
2018-06-13,921162.6127406942
2018-06-14,1810562.0646856877
2018-06-16,2454441.2359655467
2018-06-18,1981461.0137609174
2018-06-21,1299198.5122546973
2018-06-23,1667096.3483476015
2018-06-26,1172552.6428244936
2018-06-28,584748.8522690035
2018-06-30,0.0
2018-07-01,0.0
2018-07-03,0.0
2018-07-06,0.0
2018-07-08,0.0
2018-07-11,93102.52593823553
2018-07-13,1450293.3100630862
2018-07-16,0.0
2018-07-18,1763131.0357510685
2018-07-21,1449309.5289043807
2018-07-23,1395389.6104002644
2018-07-26,363068.7404483316
2018-07-28,0.0
2018-08-01,139887.6691130748
2018-08-02,1301251.0760114184
2018-08-05,1172551.593059089
2018-08-07,714706.2787570799
2018-08-10,548396.5715505495
2018-08-12,759960.9111496645
2018-08-15,741389.0702383834
2018-08-17,3222912.39130592
2018-08-20,3390842.241238671
2018-08-22,1614209.4984295757
2018-08-25,656889.0936203012
2018-08-27,328618.85233889136
2018-08-30,101775.73429011327
2018-09-01,0.0
2018-09-02,0.0
2018-09-04,0.0
2018-09-06,0.0
2018-09-09,49257.51918962538
2018-09-11,0.0
2018-09-14,20792.025987557532
2018-09-19,4354.00506586431
2018-09-21,0.0
2018-09-24,1123343.2651570342
2018-09-26,0.0
2018-09-29,357692.42450703116
2018-10-01,0.0
2018-10-04,331760.9370390917
2018-10-06,790177.9224454032
2018-10-11,0.0
2018-10-14,181054.70949368927
2018-10-16,1253163.2747004083
2018-10-19,0.0
2018-10-20,1338415.360905858
2018-10-21,952850.034142089
2018-10-24,0.0
2018-10-26,2383828.9488970097
2018-10-29,0.0
2018-10-31,521315.5307739394
2018-11-03,0.0
2018-11-05,116799.0677262954
2018-11-08,0.0
2018-11-10,0.0
2018-11-15,0.0
2018-11-18,0.0
2018-11-20,0.0
2018-11-21,5161.50566397739
2018-11-23,38914.33746800794
2018-11-25,29177.8130783225
2018-11-28,171691.36109810352
2018-11-30,0.0
2018-12-03,452551.385069712
2018-12-07,0.0
2018-12-08,254829.58048372972
2018-12-10,0.0
2018-12-13,66642.30349517145
2018-12-15,14176.80376415123
2018-12-18,37669.76467665348
2018-12-20,35042.792653476456
2018-12-23,30554.59717645674
2018-12-25,40437.413109273395
2018-12-28,28785.00859195842
2018-12-30,41001.73548783196
2019-01-02,530348.1669418039
2019-01-04,0.0
2019-01-07,2514327.860153279
2019-01-08,0.0
2019-01-09,1895738.3675579757
2019-01-12,0.0
2019-01-14,1766089.869692312
2019-01-17,0.0
2019-01-19,0.0
2019-01-22,168178.92324256117
2019-01-24,0.0
2019-01-27,4833669.961238099
2019-01-29,0.0
2019-02-01,6023296.653090245
2019-02-03,0.0
2019-02-06,1462504.6222386821
2019-02-08,0.0
2019-02-09,1807173.5226680532
2019-02-11,184660.59780482616
2019-02-13,0.0
2019-02-16,846343.614682043
2019-02-18,849697.8002438325
2019-02-21,0.0
2019-02-23,212614.95835347293
2019-02-25,0.0
2019-02-26,106804.30209578756
2019-02-28,2412630.034170727
2019-03-03,0.0
2019-03-05,586752.7325756176
2019-03-08,0.0
2019-03-10,143935.24942933145
2019-03-13,0.0
2019-03-15,36939.07115837799
2019-03-18,0.0
2019-03-20,9625.084021175353
2019-03-23,0.0
2019-03-25,2834.718991076903
2019-03-28,0.0
2019-03-29,1923.7646131852896
2019-03-30,255.84034564910016
2019-04-02,632.816753779368
2019-04-04,140081.7333146227
2019-04-07,0.0
2019-04-09,766280.3418848177
2019-04-12,0.0
2019-04-14,191744.18554903514
2019-04-17,0.0
2019-04-19,333617.60239333543
2019-04-22,624615.9055078464
2019-04-24,439545.3125127685
2019-04-27,250612.72160230257
2019-04-29,151794.40698199536
2019-04-30,107099.1550745285
2019-05-02,58441.31038964917
2019-05-04,38916.77541453005
2019-05-07,11848.553200576676
2019-05-09,3848.336723384879
2019-05-12,2476.751326259003
2019-05-14,1997.8561833629326
2019-05-16,2259503.4750731853
2019-05-17,0.0
2019-05-19,592533.6191759997
2019-05-22,0.0
2019-05-24,145010.16054169336
2019-05-27,0.0
2019-05-29,60267.36875927441
2019-06-01,36723.53730949318
2019-06-03,26140.172840756157
2019-06-06,4145.935344864123
2019-06-08,19754.23005293157
2019-06-11,88329.41177082373
2019-06-13,285116.2537560219
2019-06-16,254077.40729901748
2019-06-17,284695.4797304238
2019-06-18,216695.18307735506
2019-06-23,80787.5772223156
2019-06-26,97670.90037466666
2019-06-28,62354.8553106488
