date,outflow (m3/d)
2017-07-20,
2017-07-21,497785.6642885096
2017-07-31,156488.7024990439
2017-08-05,194667.0923048987
2017-08-15,473049.20667109534
2017-08-20,283184.91504740616
2017-08-21,821039.6836203014
2017-08-30,320191.64688929426
2017-09-06,686462.635788578
2017-09-09,1210963.7381045746
2017-09-14,333285.9673952978
2017-09-19,578610.6896118075
2017-09-22,801450.8263723184
2017-09-24,0.0
2017-09-29,431825.96389885515
2017-10-04,209595.62060349426
2017-10-08,222085.50694719373
2017-10-09,0.0
2017-10-14,406287.90762861737
2017-10-19,370022.8082693916
2017-10-24,57579.499893911794
2017-10-29,81169.3186531178
2017-11-03,346546.13186875806
2017-11-08,0.0
2017-11-09,0.0
2017-11-13,1207428.932085262
2017-11-18,177803.17700351513
2017-11-23,0.0
2017-11-25,9488.838905345745
2017-11-28,314044.512251174
2017-12-03,0.0
2017-12-08,0.0
2017-12-11,489055.7875455711
2017-12-13,0.0
2017-12-18,1841293.2739046854
2017-12-23,31.9394873888928
2017-12-27,0.0
2017-12-28,42085366.14597435
2018-01-02,99593.7379745453
2018-01-07,0.0
2018-01-12,2515110.785533841
2018-01-17,1357837.0756549572
2018-01-22,0.0
2018-01-27,162407.7019903006
2018-01-28,794868.3346108629
2018-02-06,89103.59478289078
2018-02-11,91236.07661995274
2018-02-13,553032.8118646841
2018-02-16,254455.99943470204
2018-02-21,151618.82411875657
2018-02-26,149775.8735691218
2018-03-01,245391.03929267332
2018-03-03,281036.24635300564
2018-03-08,16228.293545934162
2018-03-13,21411.49375859859
2018-03-17,33396.9974440494
2018-03-18,120286.69867435007
2018-03-23,24544.707599995225
2018-03-28,20008.1082291752
2018-04-02,17682.001438642157
2018-04-07,1321.850704167023
2018-04-12,1122.3251303102697
2018-04-17,9082.769984195325
2018-04-18,35529.72716488399
2018-04-22,38589.36481008599
2018-04-27,33906.8476887776
2018-05-02,27328.692952436348
2018-05-04,131398.67844818483
2018-05-07,162890.77760651094
2018-05-12,68137.29146884536
2018-05-17,86368.43238624501
2018-05-20,116491.27281491098
2018-05-22,106690.18766739116
2018-06-01,341530.4638590729
2018-06-05,286997.1476455382
2018-06-06,351858.420670316
2018-06-11,453911.9400238342
2018-06-16,853291.2562267481
2018-06-21,1225473.6598956112
2018-06-26,1172883.0870003689
2018-07-01,1365414.717903276
2018-07-06,685591.971394567
2018-07-07,362832.172746815
2018-07-11,1180197.6153186425
2018-07-16,1946054.5732637413
2018-07-23,1705441.6867297469
2018-07-26,1151587.06894227
2018-07-31,257079.5675374933
2018-08-05,1206954.8786305732
2018-08-08,620243.5795129942
2018-08-10,602677.7725516338
2018-08-15,1821403.1262792072
2018-08-20,2505826.1661431063
2018-08-24,684268.3353241317
2018-08-25,379699.56647524936
2018-08-30,93477.73382332399
2018-09-04,28352.372104833103
2018-09-09,6456.210195785616
2018-09-14,8552.28315413567
2018-09-19,2110.795597605819
2018-09-24,8748.994996804246
2018-09-25,80673.3567522524
2018-09-29,64974.50645198535
2018-10-04,94985.45506681694
2018-10-09,818848.6496232854
2018-10-11,1063122.9477818876
2018-10-14,604257.7939576256
2018-10-19,368988.12030793313
2018-10-24,290443.3658980817
2018-10-27,93241.93926854627
2018-10-29,44722.36468023118
2018-11-03,11822.265484403128
2018-11-08,26527.6891854208
2018-11-12,7715.226832846682
2018-11-18,3628.0744946070886
2018-11-23,4122.952950727486
2018-11-28,40694.164597673895
2018-12-03,12339.210903545785
2018-12-08,6117.92809211056
2018-12-13,3407.2852439535636
2018-12-14,473626.8913081127
2018-12-18,0.0
2018-12-23,50464.07839678965
2018-12-28,0.0
2018-12-30,64629.2138301477
2019-01-02,0.0
2019-01-07,2080.0204506012324
2019-01-12,1907.9419535516593
2019-01-15,1589.3662885749275
2019-01-17,1228.5287080600983
2019-01-22,2110.0472497355645
2019-01-27,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-06,0.0
2019-02-11,46287.0708322624
2019-02-16,0.0
2019-02-21,15779.203995929176
2019-02-26,113717.25471306429
2019-03-03,65746.43866863262
2019-03-04,338532.4305080297
2019-03-08,18415.29707130249
2019-03-13,16240.131861975038
2019-03-18,15517.74066430353
2019-03-20,36421.864459817305
2019-03-23,24580.790480625794
2019-03-28,15455.837282942943
2019-04-02,15356.190704049059
2019-04-05,107135.04383856624
2019-04-07,46873.43334028211
2019-04-12,19456.93408217866
2019-04-17,19109.880946313402
2019-04-21,31679.18553068958
2019-04-22,82136.17182521733
2019-04-27,55793.8082602156
2019-05-02,79379.16097038331
2019-05-07,55499.731884257206
2019-05-12,42398.60854738575
2019-05-17,3757.244751082555
2019-05-22,111741.8520253901
2019-05-23,0.0
2019-05-27,60131.87891433154
2019-06-01,57348.01569711743
2019-06-06,62859.49117784484
2019-06-08,220982.0923795933
2019-06-11,67698.71451656266
2019-06-16,160012.7963341524
2019-06-21,73977.58725562732
2019-06-24,95432.9752778102
2019-06-26,69501.34562280409
