date,outflow (m3/d)
2017-07-20,700998.2108976322
2017-07-21,497785.6642885096
2017-07-31,230812.6717405539
2017-08-05,52958.37087883871
2017-08-15,469579.59814260685
2017-08-20,283184.91504740616
2017-08-21,821039.6836203014
2017-08-30,320191.64688929426
2017-09-06,685943.2359783244
2017-09-09,1212175.6709951663
2017-09-14,332658.5925263577
2017-09-19,579238.0644807474
2017-09-22,801450.8263723184
2017-09-24,0.0
2017-09-29,448918.13883767516
2017-10-04,209595.62060349426
2017-10-08,215976.3735585194
2017-10-09,0.0
2017-10-14,383384.4286002974
2017-10-19,413026.206556699
2017-10-24,3955.8011871518092
2017-10-29,81169.3186531178
2017-11-03,357166.43228817807
2017-11-08,0.0
2017-11-09,0.0
2017-11-13,1820471.633570137
2017-11-18,260308.7266364951
2017-11-23,0.0
2017-11-25,0.0
2017-11-28,2204190.7817416415
2017-12-03,0.0
2017-12-08,88068.80763530465
2017-12-11,3633.3478392044512
2017-12-13,0.0
2017-12-18,692116.2250208249
2017-12-23,0.0
2017-12-27,0.0
2017-12-28,5133643.080183048
2018-01-02,93552.28743278534
2018-01-07,0.0
2018-01-12,0.0
2018-01-17,2506693.799683317
2018-01-22,0.0
2018-01-27,162407.7019903006
2018-01-28,794868.3346108629
2018-02-06,89103.59478289078
2018-02-11,91236.07661995274
2018-02-13,305876.61648058414
2018-02-16,419226.79635743535
2018-02-21,151618.82411875657
2018-02-26,149775.8735691218
2018-03-01,431555.3978053066
2018-03-03,5931.473774757486
2018-03-08,27583.085554259724
2018-03-13,15560.849725512146
2018-03-17,151658.3033946181
2018-03-18,104443.24276939468
2018-03-23,0.0
2018-03-28,19510.80657616136
2018-04-02,0.0
2018-04-07,10617.461071735786
2018-04-12,0.0
2018-04-17,4025.624710177564
2018-04-18,35529.72716488399
2018-04-22,38589.36481008599
2018-04-27,34306.715607642625
2018-05-02,26528.678278845222
2018-05-04,130897.29929053968
2018-05-07,294655.50651136466
2018-05-12,0.0
2018-05-17,86091.62846689088
2018-05-20,116050.14523642967
2018-05-22,106011.81662232538
2018-06-01,342513.41205118387
2018-06-05,286997.1476455382
2018-06-06,351858.420670316
2018-06-11,453911.9400238342
2018-06-16,853291.2562267481
2018-06-21,1225473.6598956112
2018-06-26,1172883.0870003689
2018-07-01,1365414.717903276
2018-07-06,685591.971394567
2018-07-07,362832.172746815
2018-07-11,1180197.6153186425
2018-07-16,1946054.5732637413
2018-07-23,1705441.6867297469
2018-07-26,1151587.06894227
2018-07-31,257079.5675374933
2018-08-05,1206954.8786305732
2018-08-08,620243.5795129942
2018-08-10,602677.7725516338
2018-08-15,1725679.8543619707
2018-08-20,2601549.438060342
2018-08-24,684268.3353241317
2018-08-25,379699.56647524936
2018-08-30,93477.73382332399
2018-09-04,30153.56294778266
2018-09-09,80294.27801225618
2018-09-14,10884.905639475719
2018-09-19,0.0
2018-09-24,8748.994996804246
2018-09-25,182201.6822139586
2018-09-29,39592.42508657936
2018-10-04,94985.45506681694
2018-10-09,818848.6496232854
2018-10-11,1179880.7051219812
2018-10-14,526419.2890642443
2018-10-19,392510.21097760834
2018-10-24,278727.7105026565
2018-10-27,103048.69968115924
2018-10-29,39841.36628686967
2018-11-03,0.0
2018-11-08,26527.6891854208
2018-11-12,152153.7448335329
2018-11-18,0.0
2018-11-23,33356.04206216193
2018-11-28,0.0
2018-12-03,57226.09137667055
2018-12-08,0.0
2018-12-13,3407.2852439535636
2018-12-14,389110.92224131274
2018-12-18,0.0
2018-12-23,2280.0597504351263
2018-12-28,43868.70553521326
2018-12-30,0.0
2019-01-02,2412.4226489601006
2019-01-07,2080.0204506012324
2019-01-12,1907.9419535516593
2019-01-15,1589.3662885749275
2019-01-17,2083.933996453817
2019-01-22,1939.093469879996
2019-01-27,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-06,0.0
2019-02-11,0.0
2019-02-16,0.0
2019-02-21,0.0
2019-02-26,108246.3195452443
2019-03-03,68415.43690521261
2019-03-04,384168.48006452975
2019-03-08,134888.29243442896
2019-03-13,0.0
2019-03-18,20506.062135778695
2019-03-20,47956.722772597364
2019-03-23,32253.547418176215
2019-03-28,19869.585122833443
2019-04-02,19669.39696215277
2019-04-05,31705.94956862735
2019-04-07,46873.43334028211
2019-04-12,12380.905830962412
2019-04-17,26185.909197520123
2019-04-21,31679.18553068958
2019-04-22,116163.50247846251
2019-04-27,59041.11942195292
2019-05-02,77564.27922482761
2019-05-07,56185.47359460541
2019-05-12,33474.97129020576
2019-05-17,8063.953601630792
2019-05-22,18525.289711878533
2019-05-23,55126.251310685955
2019-05-27,101376.40560113151
2019-06-01,88265.92391301754
2019-06-06,47066.83023962483
2019-06-08,137875.65094829327
2019-06-11,96453.6187500758
2019-06-16,153362.49248169243
2019-06-21,78664.34228490732
2019-06-24,92913.36758314977
2019-06-26,72961.00317531617
