date,outflow (m3/d)
2017-08-02,1094568.2290655277
2017-08-14,2162447.8245718414
2017-08-17,1220513.2323239604
2017-08-30,1058081.3169719572
2017-09-06,3448636.5486872774
2017-09-11,3982244.518649658
2017-09-15,1088426.7259185305
2017-09-26,2238082.086530898
2017-10-01,0.0
2017-10-16,1488333.850407333
2017-10-17,6250984.901940837
2017-10-21,1505319.2896971677
2017-11-02,516418.7293569853
2017-11-05,2465994.60133652
2017-11-10,2112874.4886139054
2017-11-18,342219.46024219325
2017-11-25,28768.998500403915
2017-11-30,87294.51481373682
2017-12-04,4052583.805400441
2017-12-05,5638206.240113848
2017-12-15,480007.9562767621
2017-12-20,153708.98672104868
2017-12-25,21589.818096871542
2018-01-04,935115.971802804
2018-01-05,0.0
2018-01-14,57339.16838784471
2018-01-21,35808.70583136843
2018-01-24,59863.977866877045
2018-01-29,43843.97686929448
2018-02-03,27756.23869166197
2018-02-06,5678.141598555584
2018-02-08,1138894.7690597284
2018-02-13,5456149.922140081
2018-02-18,1680911.8511765485
2018-02-22,0.0
2018-02-23,8912751.959423631
2018-02-28,0.0
2018-03-05,479398.7560995024
2018-03-10,0.0
2018-03-15,365448.1852625641
2018-03-20,1677288.376123818
2018-03-25,1103620.844094907
2018-03-26,315269.1138335968
2018-03-30,115203.35976996797
2018-04-04,172640.84504592395
2018-04-09,193244.7751450645
2018-04-11,46674.38769579417
2018-04-14,422914.01354134624
2018-04-19,265463.428890001
2018-04-24,224885.38211820825
2018-04-27,105288.42957939608
2018-04-29,497327.1396722328
2018-05-09,325232.5695442045
2018-05-13,4753669.331779103
2018-05-14,7526125.060421097
2018-05-19,2744798.873960252
2018-05-24,1573492.408083207
2018-05-29,375738.6313259179
2018-06-03,1523470.8937396803
2018-06-08,799189.6940449398
2018-06-13,549173.1736767979
2018-06-14,811825.9068891021
2018-06-18,1255906.3897120266
2018-06-23,794528.3760253296
2018-06-28,289929.1529366046
2018-06-30,115968.46097427505
2018-07-03,805392.2220595705
2018-07-08,1300539.292134544
2018-07-13,1639669.2599281466
2018-07-18,3537947.045788004
2018-07-23,4076733.114008741
2018-07-28,1217682.7381138897
2018-08-01,1375938.6521816351
2018-08-02,4272158.892464575
2018-08-07,1151423.4977696554
2018-08-12,5747288.069176763
2018-08-17,11052583.874610202
2018-08-22,11892998.933941526
2018-08-27,1158289.5012634944
2018-09-01,1144528.9140430235
2018-09-02,4486325.703655201
2018-09-06,2251251.521375851
2018-09-11,268624.69566062244
2018-09-21,111427.66335154964
2018-09-26,2320089.8665709635
2018-10-01,6087502.619780731
2018-10-04,6782658.822822079
2018-10-06,9836741.19328208
2018-10-11,5203571.965817718
2018-10-16,2108509.95036882
2018-10-20,2401573.0190591337
2018-10-21,6010477.620161379
2018-10-26,3439331.913531716
2018-10-31,313002.8844019253
2018-11-05,85362.78494307827
2018-11-10,160363.93384068424
2018-11-15,0.0
2018-11-20,2973389.102668733
2018-11-21,4107060.312183328
2018-11-25,816197.81158858
2018-11-30,414964.0970756633
2018-12-07,37099.22942849215
2018-12-10,40136.55314949274
2018-12-15,0.0
2018-12-20,13996.60974242672
2018-12-23,5219.229058763521
2018-12-25,4804.1457044911285
2018-12-30,6675.304441089664
2019-01-04,5558.288708435293
2019-01-08,3998.875879135184
2019-01-09,1680503.167793302
2019-01-14,0.0
2019-01-19,0.0
2019-01-24,322669.8799939914
2019-01-29,0.0
2019-02-03,165622.34327970515
2019-02-08,2824.335765272897
2019-02-09,96261.9202982322
2019-02-13,1711739.4811021427
2019-02-18,777262.2960573239
2019-02-23,90482.79113505875
2019-02-25,28564.820851559256
2019-02-28,17563.37178173053
2019-03-05,13462.21378767979
2019-03-10,15595.427049095304
2019-03-13,35171.44023478272
2019-03-15,27317.75227164771
2019-03-20,13772.461237295403
2019-03-25,12327.626231709735
2019-03-29,12561.499920227192
2019-03-30,24456.593807052843
2019-04-04,12656.16524789786
2019-04-09,39707.55657218654
2019-04-14,1488872.7816253114
2019-04-19,1171763.7593822011
2019-04-24,11782847.93380746
2019-04-29,5567287.025956883
2019-04-30,2259949.3617816824
2019-05-04,563282.2639002725
2019-05-09,68263.0493763473
2019-05-14,21543.843685729764
2019-05-16,26413.482454179422
2019-05-19,33207.22751784767
2019-05-24,35710.60155733094
2019-05-29,31550.55951844572
2019-06-01,42684.00430865076
2019-06-03,59928.437563907646
2019-06-08,42468.16198018805
2019-06-13,39889.29300428641
2019-06-17,180692.6575454616
2019-06-18,216614.1083634084
2019-06-23,60701.03034646916
2019-06-28,88160.83931644197
2019-07-03,31543.68312377936
2019-07-08,16546.372549667158
2019-07-13,29838.62359241426
2019-07-18,36022.89618996896
2019-07-19,1556514.0273740578
2019-07-23,2672445.8409130964
2019-07-28,1460909.3805029388
2019-08-02,176364.26092855472
2019-08-04,53244.64039486612
2019-08-07,580012.0707817996
2019-08-12,15077053.293533836
2019-08-17,5709298.290714494
2019-08-20,2903532.6090963907
2019-08-22,3481038.1694399263
2019-08-27,714863.6601953341
2019-09-01,995564.0123541864
2019-09-05,1312585.5309644253
2019-09-06,2635814.028860724
2019-09-11,689714.235602869
2019-09-16,633311.3310543385
2019-09-21,1027313.5346694224
2019-09-26,1917282.9568377296
2019-10-01,1607467.856044331
2019-10-06,1411533.6485928132
2019-10-07,1186962.3634739462
2019-10-11,481884.1160474706
2019-10-16,1636220.7415098862
2019-10-21,1575543.6110432572
2019-10-23,3092868.7693200777
2019-10-26,3124580.0493475944
2019-10-31,940171.5139377584
2019-11-05,321435.34141631925
2019-11-08,51945.81777030016
2019-11-10,288748.55908923683
2019-11-15,614091.5591881379
2019-11-20,410828.5035906544
2019-11-24,131591.31583421846
2019-11-25,158812.36696966703
2019-11-30,48437.17040408576
2019-12-05,794327.4506929629
2019-12-10,254124.15528159705
2019-12-15,55803.63702036889
2019-12-20,26486.77623037333
2019-12-25,723825.063282198
2019-12-26,1136952.7159216462
2019-12-30,204061.12858346384
2020-01-04,22655.359283257272
2020-01-09,0.0
2020-01-11,0.0
2020-01-14,0.0
2020-01-19,0.0
2020-01-24,0.0
2020-01-27,26315.734923306933
2020-01-29,83765.62457801362
2020-02-03,28437.81426148469
2020-02-08,33536.59668792932
2020-02-12,37173.27959387212
2020-02-13,130915.75058294833
2020-02-18,73850.90053914991
2020-02-23,95384.49779815412
2020-02-28,84527.32955880613
2020-03-04,56051.32455748924
2020-03-09,58055.38830583172
2020-03-14,590421.882976808
2020-03-15,630611.9789895768
2020-03-19,130349.28559767574
2020-03-24,251891.9561280722
2020-03-29,500241.4053589954
2020-03-31,178253.44618465964
2020-04-03,64856.60865024069
2020-04-08,195043.02855182937
2020-04-13,763876.1835889721
2020-04-16,345821.6602848915
2020-04-18,212740.7521658841
2020-04-23,200535.59342911508
2020-04-28,179430.81636188616
2020-05-02,1519317.0094134654
2020-05-03,1925373.7981976324
2020-05-08,418306.47158419713
2020-05-13,131434.48449002713
2020-05-18,1469497.7925711074
2020-05-23,979354.7813583426
2020-05-28,111372.3589726104
2020-06-02,295102.41809098766
2020-06-03,290223.1974009914
2020-06-07,62234.32805343241
2020-06-12,40772.38860540983
2020-06-17,23886.262670879296
2020-06-19,29718.42107768421
2020-06-22,34962.4248748021
2020-06-27,279849.17798135505
2020-07-02,709772.6054275446
2020-07-05,1006901.920677034
2020-07-07,984278.7316943052
2020-07-12,603092.6547843989
2020-07-17,393546.0587878358
2020-07-21,816336.780164694
2020-07-22,4095454.812499725
2020-07-27,2515028.3180151857
2020-08-01,677300.100340692
2020-08-06,2462612.418153122
2020-08-11,5941859.545494691
2020-08-16,3571193.4133358733
2020-08-21,186157.4147339003
2020-08-22,0.0
2020-08-26,0.0
2020-08-31,0.0
2020-09-05,1150318.3819753365
2020-09-07,3317650.9684922947
2020-09-10,2116286.3934998675
2020-09-15,392120.9055301216
2020-09-20,305787.5883238579
2020-09-23,1879651.1152589545
2020-09-25,1330852.8752091364
2020-09-30,793851.5068250963
2020-10-05,174057.97377978504
2020-10-09,58128.1439153375
2020-10-10,188958.0254982985
2020-10-15,344450.877557281
2020-10-20,107743.56908175867
2020-10-25,41625.4530163416
2020-10-30,95977.84368289284
2020-11-04,289565.5683123674
2020-11-09,1051591.5725552673
2020-11-10,760446.6678907907
2020-11-14,186183.0065128869
2020-11-19,1113995.5187348174
2020-11-24,1113389.7316734183
2020-11-26,72591.12766170494
2020-11-29,175754.30754647605
2020-12-04,426716.4685319279
2020-12-09,3303714.6514707785
2020-12-12,2059519.8032538327
2020-12-14,615341.9199745728
2020-12-19,143988.31257380042
2020-12-24,29313.587561767235
2020-12-28,11477.915354562789
2020-12-29,0.0
2021-01-03,8697.888833929292
2021-01-08,161381.10731160807
2021-01-13,684615.7736260706
2021-01-18,1494366.5274982816
2021-01-23,322802.5920230617
2021-01-28,124828.15115706794
2021-01-29,322727.33091051824
2021-02-02,96659.257971757
2021-02-07,74800.47058539891
2021-02-12,41708.02209371334
2021-02-14,89644.99240847133
2021-02-17,62618.94676987041
2021-02-22,40586.89291164581
2021-02-27,47826.83602951304
2021-03-02,77931.51007609746
2021-03-04,93801.02839818508
2021-03-09,20995.625873069446
2021-03-14,564256.7044598686
2021-03-18,239781.1539374843
2021-03-19,52138.23769023679
2021-03-24,426043.16239087225
2021-03-29,381452.3581337764
2021-04-03,874209.4417542139
2021-04-08,123402.7832021891
2021-04-13,50859.68723114858
2021-04-18,1574016.1274293168
2021-04-19,3393649.771474328
2021-04-23,688158.663672614
2021-04-28,769431.6267767374
2021-05-03,3249472.5118679814
2021-05-05,2235668.883857834
2021-05-08,867140.7513974574
2021-05-13,432796.1301931779
2021-05-18,3040316.0990759176
2021-05-21,3238888.930649683
2021-05-23,1331513.9145766366
2021-05-28,2820753.114788843
2021-06-02,1496657.506608517
2021-06-06,532517.1859481395
2021-06-07,3279344.4034412783
2021-06-12,1297521.6235382594
2021-06-17,320890.2496388079
2021-06-22,83508.3639796827
2021-06-27,503792.0492881052
2021-07-02,241311.88288047008
2021-07-07,245985.0585268497
2021-07-08,1593516.11733376
2021-07-12,2952372.8143348047
2021-07-17,5342281.506188855
2021-07-22,5849803.723669835
2021-07-24,1006925.9816109954
2021-07-27,1294620.119971365
2021-08-01,524285.3887464351
2021-08-06,64389.83122743302
2021-08-09,709625.1306821251
2021-08-11,1003538.4870588091
2021-08-16,552384.9733304821
2021-08-21,2163966.399650929
2021-08-25,3337958.507442668
2021-08-26,4179278.950594907
2021-08-31,3715844.317195349
2021-09-05,2595253.2378099044
2021-09-10,821974.7892969749
2021-09-15,105646.1791112156
2021-09-20,81758.19172797029
2021-09-25,529963.8923107254
2021-09-26,1312099.5385263974
2021-09-30,1333716.615030534
2021-10-05,3303711.45457876
2021-10-10,3136815.680572851
2021-10-12,1958770.6200945848
2021-10-15,2250654.8225504486
2021-10-20,4027997.135229351
2021-10-25,3768438.898355578
2021-10-28,2444810.6010791534
2021-10-30,2868113.969541516
2021-11-04,2222987.5151171912
2021-11-09,4580363.183882517
2021-11-14,2037141.1906111825
2021-11-29,3083590.52253638
2021-12-14,1134964.0036804494
2021-12-15,163826.73767541058
2021-12-19,57940.30549028861
2021-12-24,15371.394043198135
2021-12-29,2582.5032388075074
2021-12-31,4538.031411928922
2022-01-03,1354.5858566792735
2022-01-08,5938.9682259988085
2022-01-13,4649.498405910418
2022-01-16,113855.2787160154
2022-01-18,249809.7217845276
