date,outflow (m3/d)
2017-08-02,1622685.1380667042
2017-08-14,2047694.0389195723
2017-08-17,2264968.178591464
2017-08-30,1568010.677739239
2017-09-06,3738115.920868027
2017-09-11,4187439.4317800784
2017-09-15,2511666.487041075
2017-09-26,2757413.8421852957
2017-10-01,960186.4879797909
2017-10-16,2296516.6712846053
2017-10-17,6349271.302494452
2017-10-21,2400192.2070977725
2017-11-02,1476893.1660088408
2017-11-05,3692362.57500395
2017-11-10,2867343.5427379613
2017-11-18,848264.5172316554
2017-11-25,571359.773327504
2017-11-30,736359.8347353835
2017-12-04,4256740.668837705
2017-12-05,5220232.011316799
2017-12-15,858090.727977462
2017-12-20,605732.2127971009
2017-12-25,408051.98951928905
2018-01-04,1402001.8067580955
2018-01-05,545304.207893309
2018-01-14,420472.9535081539
2018-01-21,402551.7619380684
2018-01-24,457963.8155554645
2018-01-29,401766.4232189608
2018-02-03,370348.8352877136
2018-02-06,375532.71211265615
2018-02-08,476276.06616110064
2018-02-13,581216.586926228
2018-02-18,373119.9958204575
2018-02-22,340718.5241540083
2018-02-23,2182333.9914646028
2018-02-28,656593.69721726
2018-03-05,544431.5332823567
2018-03-10,611296.8136904698
2018-03-15,566452.0062700734
2018-03-20,708488.55620497
2018-03-25,569139.2739004383
2018-03-26,1248732.3219013026
2018-03-30,388092.38258956216
2018-04-04,416169.53658025793
2018-04-09,358136.66420253494
2018-04-11,549083.4717894762
2018-04-14,577118.7148532759
2018-04-19,508020.9092981397
2018-04-24,385983.04014554166
2018-04-27,367119.3310431952
2018-04-29,517914.3507239559
2018-05-09,550670.2155792551
2018-05-13,2823221.2315116646
2018-05-14,4012652.2865595934
2018-05-19,1735014.2241593201
2018-05-24,906534.0695034508
2018-05-29,1078150.3816201647
2018-06-03,1360818.9293206993
2018-06-08,2338718.801579951
2018-06-13,2164197.2826949526
2018-06-14,3294756.5466233557
2018-06-18,2921612.7390134805
2018-06-23,2743047.154202996
2018-06-28,1698178.1436816948
2018-06-30,1897728.523422504
2018-07-03,4222023.743653551
2018-07-08,3678448.810200034
2018-07-13,6749034.215023948
2018-07-18,12078125.106527401
2018-07-23,12656097.96963854
2018-07-28,4520402.134747125
2018-08-01,4612363.664406729
2018-08-02,9433246.951978473
2018-08-07,2470321.550221609
2018-08-12,6508409.044131113
2018-08-17,10998832.893594543
2018-08-22,11460589.551598247
2018-08-27,1692291.6181025046
2018-09-01,1536995.071104922
2018-09-02,2330499.1587482267
2018-09-06,1264820.767583027
2018-09-11,424926.7043354867
2018-09-21,525870.620620589
2018-09-26,1023839.2856800079
2018-10-01,2156729.43852931
2018-10-04,3058148.980890929
2018-10-06,5931196.293017556
2018-10-11,4118023.925385463
2018-10-16,2724755.8084902344
2018-10-20,4528494.148211607
2018-10-21,9943895.93016003
2018-10-26,4126739.04123836
2018-10-31,873599.1499516792
2018-11-05,1108413.3798035348
2018-11-10,1262669.1989892304
2018-11-15,677179.2240939955
2018-11-20,5212118.710140763
2018-11-21,6762167.833926942
2018-11-25,2097470.384340457
2018-11-30,1010228.8786880494
2018-12-07,499029.71396810526
2018-12-10,527565.1871251231
2018-12-15,438092.901178747
2018-12-20,458757.6923762716
2018-12-23,442922.15262521495
2018-12-25,677252.6586880671
2018-12-30,1427893.1267838944
2019-01-04,0.0
2019-01-08,932257.0283570911
2019-01-09,0.0
2019-01-14,584808.3390563468
2019-01-19,219348.51257412077
2019-01-24,380638.8962984332
2019-01-29,642606.8106544394
2019-02-03,388095.8232165499
2019-02-08,680966.477792201
2019-02-09,1677837.7768049343
2019-02-13,2250238.335205379
2019-02-18,1015706.8420659071
2019-02-23,633268.4611849587
2019-02-25,647399.8947539838
2019-02-28,453174.5988721319
2019-03-05,373492.7250705146
2019-03-10,628452.0847454423
2019-03-13,782602.4198936841
2019-03-15,573995.0324776436
2019-03-20,348760.4692668565
2019-03-25,330553.523280541
2019-03-29,328958.66550487286
2019-03-30,532913.2587738853
2019-04-04,343441.68149949505
2019-04-09,477614.8959604392
2019-04-14,1309677.4534536665
2019-04-19,1821578.0462903099
2019-04-24,8644403.49907499
2019-04-29,4524410.630445259
2019-04-30,2584141.7443858897
2019-05-04,1425259.2885984539
2019-05-09,572087.3183705048
2019-05-14,529932.0768270739
2019-05-16,570267.7956139635
2019-05-19,693335.5303636837
2019-05-24,672567.3989750334
2019-05-29,560840.1035189755
2019-06-01,735155.5906476043
2019-06-03,837865.681378561
2019-06-08,683250.8115495547
2019-06-13,645264.4276132507
2019-06-17,847318.3766951609
2019-06-18,1054778.6727584875
2019-06-23,616008.9969312036
2019-06-28,1047541.0552593538
