date,outflow (m3/d)
2017-08-02,1952121.142086754
2017-08-14,2059185.5790775723
2017-08-17,2264968.178591464
2017-08-30,1568010.677739239
2017-09-06,3738115.920868027
2017-09-11,4839957.529053419
2017-09-15,1695599.3207514496
2017-09-26,2889797.495509641
2017-10-01,668745.2654281908
2017-10-16,2296516.6712846053
2017-10-17,6349271.302494452
2017-10-21,2400192.2070977725
2017-11-02,1476893.1660088408
2017-11-05,3692362.57500395
2017-11-10,2871280.3424079833
2017-11-18,843345.4685265974
2017-11-25,516572.3235531456
2017-11-30,699791.4982974236
2017-12-04,4403246.224312855
2017-12-05,4927977.651949714
2017-12-15,872580.6772739622
2017-12-20,635203.186077521
2017-12-25,451245.69412724837
2018-01-04,1391276.0219473653
2018-01-05,436591.66857880907
2018-01-14,420472.9535081539
2018-01-21,402551.7619380684
2018-01-24,476513.148632667
2018-01-29,407290.5557642208
2018-02-03,388027.35193187074
2018-02-06,401016.5217359455
2018-02-08,1372466.751136078
2018-02-13,780938.721436005
2018-02-18,286107.3148437375
2018-02-22,0.0
2018-02-23,9421852.969875604
2018-02-28,0.0
2018-03-05,791963.9501750966
2018-03-10,0.0
2018-03-15,666553.1911252533
2018-03-20,575934.9287243852
2018-03-25,529145.2732510183
2018-03-26,701210.5338069639
2018-03-30,352174.0331217563
2018-04-04,413849.02437746775
2018-04-09,358958.64055344474
2018-04-11,535961.6245481683
2018-04-14,616104.2387894965
2018-04-19,496484.33206653665
2018-04-24,408729.6385260176
2018-04-27,347249.1432265819
2018-04-29,533362.8640535724
2018-05-09,548715.2614278015
2018-05-13,2824561.655303931
2018-05-14,4005688.699404874
2018-05-19,1734843.2134894787
2018-05-24,905761.6782214164
2018-05-29,1077678.4911700138
2018-06-03,1360201.5765710042
2018-06-08,2329500.7969770897
2018-06-13,2171358.2420175257
2018-06-14,3284253.80290464
2018-06-18,2918079.0478981417
2018-06-23,2745912.8634395236
2018-06-28,1698140.892513038
2018-06-30,1957669.284455368
2018-07-03,4601868.342154111
2018-07-08,3798316.4691311447
2018-07-13,7000244.786547263
2018-07-18,12350284.040870588
2018-07-23,12942571.49792211
2018-07-28,4750044.508199339
2018-08-01,4702142.350101229
2018-08-02,9477377.175191743
2018-08-07,2403377.781208929
2018-08-12,6470596.221054029
2018-08-17,10916442.395313356
2018-08-22,11392525.232773008
2018-08-27,1608605.7485697626
2018-09-01,1445596.435085395
2018-09-02,3269282.479416407
2018-09-06,1362336.779624227
2018-09-11,528120.3714783667
2018-09-21,507578.3589370736
2018-09-26,1057363.8399978809
2018-10-01,2096283.9684656635
2018-10-04,3062825.6650897297
2018-10-06,5947694.877003333
2018-10-11,4122731.2596707465
2018-10-16,2730415.5861419584
2018-10-20,4534980.5360552985
2018-10-21,9954500.651061136
2018-10-26,4125626.3459388465
2018-10-31,817669.1344851567
2018-11-05,1081104.3424828346
2018-11-10,1356284.0527436368
2018-11-15,625780.3690102858
2018-11-20,5227976.711342653
2018-11-21,6673287.0928527005
2018-11-25,2098367.3400790025
2018-11-30,1001709.2434232644
2018-12-07,496245.2043176747
2018-12-10,541312.5819918552
2018-12-15,206757.84150814798
2018-12-20,467957.1718064074
2018-12-23,504365.77955478715
2018-12-25,700972.0454063811
2018-12-30,516426.9103952691
2019-01-04,418265.8247179318
2019-01-08,405475.61022489116
2019-01-09,2312256.6771298894
2019-01-14,231815.18138910685
2019-01-19,289313.5049810008
2019-01-24,706510.9218871658
2019-01-29,284236.6097805195
2019-02-03,542550.6326153532
2019-02-08,412699.7485273283
2019-02-09,934938.8947044475
2019-02-13,1977785.5491079604
2019-02-18,842810.8964099216
2019-02-23,446299.3165655757
2019-02-25,439596.8905680616
2019-02-28,378193.87921519834
2019-03-05,348818.0663223225
2019-03-10,399517.90339088393
2019-03-13,780350.3565423769
2019-03-15,570991.2551494291
2019-03-20,348716.22995108576
2019-03-25,328142.6132676276
2019-03-29,327454.1264247988
2019-03-30,527014.9434222128
2019-04-04,342273.819993651
2019-04-09,476464.8397797979
2019-04-14,1308542.1897144224
2019-04-19,1820459.0354962172
2019-04-24,8642113.331734115
2019-04-29,4510995.222300016
2019-04-30,2614067.6578359436
2019-05-04,1407762.4878639986
2019-05-09,570916.7942445214
2019-05-14,530160.1226776224
2019-05-16,579821.2797327077
2019-05-19,694434.4185975288
2019-05-24,670720.7859545597
2019-05-29,559094.0712271725
2019-06-01,735852.7704028696
2019-06-03,836272.1007955974
2019-06-08,683133.2568140365
2019-06-13,644895.830462079
2019-06-17,847015.0655248547
2019-06-18,1053274.118884448
2019-06-23,615739.8581550486
2019-06-28,1047259.7861322627
