date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,1396865.7825687714
2017-08-17,0.0
2017-08-30,189362.5616649129
2017-09-06,0.0
2017-09-11,0.0
2017-09-15,0.0
2017-09-26,0.0
2017-10-01,0.0
2017-10-16,778544.7558071159
2017-10-17,0.0
2017-10-21,72360.28726720097
2017-11-02,176493.62109770367
2017-11-05,97163.86820454925
2017-11-10,0.0
2017-11-18,0.0
2017-11-25,229523.4084784497
2017-12-04,2636478.031196085
2017-12-05,2609278.767664366
2017-12-15,0.0
2017-12-20,69624.91875274731
2017-12-25,0.0
2018-01-04,1219735.2487567093
2018-01-05,0.0
2018-01-14,670038.5846584294
2018-01-21,0.0
2018-01-24,1105292.301682416
2018-01-29,199987.35160374592
2018-02-03,604664.182699026
2018-02-06,749937.0779835702
2018-02-08,649868.6453394182
2018-02-13,443815.5804488248
2018-02-18,843766.2827323796
2018-02-22,163609.05744010577
2018-02-23,6200548.312924287
2018-02-28,811114.447195767
2018-03-05,796673.2305394704
2018-03-10,798623.221010239
2018-03-15,454077.5313238618
2018-03-20,1630601.066770545
2018-03-25,1410842.8824899157
2018-03-26,3480842.5545688346
2018-03-30,854116.9506118727
2018-04-04,911238.3451765236
2018-04-09,2281413.974056192
2018-04-11,0.0
2018-04-14,678254.8919409006
2018-04-24,173422.1242041225
2018-04-27,1723383.013445976
2018-04-29,0.0
2018-05-04,294248.8806622508
2018-05-09,159801.68096483004
2018-05-13,1077217.6143098762
2018-05-14,2390050.836028997
2018-05-19,969462.5096755144
2018-05-24,340361.08116693725
2018-05-29,106590.37274885018
2018-06-03,365350.7530160805
2018-06-08,444899.4145069853
2018-06-13,576566.0197615254
2018-06-14,922069.4586856222
2018-06-18,548803.3024858048
2018-06-23,45925.62893717361
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,0.0
2018-07-08,0.0
2018-07-13,0.0
2018-07-18,317493.8908153896
2018-07-23,0.0
2018-07-28,0.0
2018-08-01,0.0
2018-08-02,0.0
2018-08-07,188987.83485289343
2018-08-12,582668.7688983504
2018-08-17,2529127.022767825
2018-08-22,2988300.427496732
2018-08-27,143094.22672534172
2018-09-01,0.0
2018-09-02,1231045.982714696
2018-09-06,554031.9901546802
2018-09-11,446032.68279978784
2018-09-21,2965.560529189199
2018-09-26,0.0
2018-10-01,957348.223734124
2018-10-04,852939.7880241178
2018-10-06,2276720.2180824056
2018-10-11,0.0
2018-10-16,1233856.3867808986
2018-10-20,0.0
2018-10-21,0.0
2018-10-26,701431.756786373
2018-10-31,21082.029560497303
2018-11-05,59810.20600647347
2018-11-10,0.0
2018-11-15,6722.463555234772
2018-11-20,0.0
2018-11-21,2313812.331346704
2018-11-25,2295049.564487012
2018-11-30,0.0
2018-12-07,301579.96234339185
2018-12-10,2307695.627584294
2018-12-15,0.0
2018-12-20,0.0
2018-12-23,165843.2279878377
2018-12-25,396223.9854080143
2018-12-30,0.0
2019-01-04,735507.7008169317
2019-01-08,0.0
2019-01-09,1443619.53111006
2019-01-14,68410.97120700842
2019-01-19,178010.26480028132
2019-01-24,0.0
2019-01-29,0.0
2019-02-03,0.0
2019-02-08,0.0
2019-02-09,0.0
