date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,1653163.4770615746
2017-08-17,0.0
2017-08-30,689659.3656981785
2017-09-06,2797099.966047146
2017-09-11,2973541.7420804175
2017-09-15,1514301.6483913285
2017-09-26,1484544.1251944564
2017-10-01,0.0
2017-10-16,979667.0546297427
2017-10-17,0.0
2017-10-21,404389.6697869222
2017-11-02,320270.86025789124
2017-11-05,511209.64330174203
2017-11-10,342156.4389240708
2017-11-18,106985.85284545824
2017-11-25,260656.758134736
2017-12-04,3072811.2682264755
2017-12-05,4421544.800425971
2017-12-15,243099.6560743257
2017-12-20,121367.82697989426
2017-12-25,0.0
2018-01-04,1227096.7630828982
2018-01-05,0.0
2018-01-14,676747.6833613514
2018-01-21,0.0
2018-01-24,1111625.1344734891
2018-01-29,205488.80764094787
2018-02-03,610697.3382235348
2018-02-06,755713.577103306
2018-02-08,652607.5411210981
2018-02-13,371487.9162097668
2018-02-18,756198.5501681076
2018-02-22,157688.70557481566
2018-02-23,6199847.072107625
2018-02-28,814423.7939885649
2018-03-05,800792.9187353919
2018-03-10,802778.687934304
2018-03-15,457935.9304534385
2018-03-20,1164650.371863573
2018-03-25,776638.2465238494
2018-03-26,3383183.040796523
2018-03-30,810806.3539550188
2018-04-04,927541.7370664885
2018-04-09,2294769.9234450883
2018-04-11,0.0
2018-04-14,697400.0813760016
2018-04-24,203722.40220817202
2018-04-27,1760034.7722113105
2018-04-29,0.0
2018-05-04,340031.5297567748
2018-05-09,169910.13226783526
2018-05-13,873525.2139328759
2018-05-14,2124985.9332544105
2018-05-19,971093.3858125882
2018-05-24,429738.3979574872
2018-05-29,409419.38521922816
2018-06-03,544662.5678409227
2018-06-08,1414408.3614793392
2018-06-13,3350460.268016666
2018-06-14,8494734.30656573
2018-06-18,5719542.141707761
2018-06-23,2732500.3123087557
2018-06-28,1434328.2960635477
2018-06-30,191241.16189038896
2018-07-03,838947.8413969937
2018-07-08,1057277.4580859207
2018-07-13,2706564.6341527463
2018-07-18,7198060.3609412
2018-07-23,5584381.594366261
2018-07-28,2159775.8656622097
2018-08-01,879870.9786117655
2018-08-02,5736718.061683045
2018-08-07,3975825.0694837756
2018-08-12,2199874.0881887274
2018-08-17,5579343.999419349
2018-08-22,9382150.95543626
2018-08-27,1948597.8680220882
2018-09-01,233128.53289767998
2018-09-02,1386499.4719811005
2018-09-06,594967.3565481192
2018-09-11,458210.1532492935
2018-09-21,20143.99889671194
2018-09-26,0.0
2018-10-01,985800.836875506
2018-10-04,102462.81693039657
2018-10-06,2276199.7797188805
2018-10-11,0.0
2018-10-16,2204091.212712192
2018-10-20,541510.3724815035
2018-10-21,376873.9544915478
2018-10-26,1573045.7144765598
2018-10-31,570113.2572811237
2018-11-05,220472.63422143835
2018-11-10,49178.22825349337
2018-11-15,31073.771817765624
2018-11-20,114672.9340733759
2018-11-21,4473206.859878873
2018-11-25,2845711.921474021
2018-11-30,0.0
2018-12-07,367634.90768028237
2018-12-10,2365954.0568299135
2018-12-15,0.0
2018-12-20,0.0
2018-12-23,174968.89977471856
2018-12-25,411586.3326832746
2018-12-30,0.0
2019-01-04,742729.34909244
2019-01-08,0.0
2019-01-09,1453692.4686635763
2019-01-14,74272.65312166048
2019-01-19,183593.32273678592
2019-01-24,0.0
2019-01-29,0.0
2019-02-03,0.0
2019-02-08,0.0
2019-02-09,0.0
2019-02-13,0.0
2019-02-18,0.0
2019-02-23,0.0
2019-02-25,2960134.515511223
2019-02-28,2025410.561754349
2019-03-05,625360.2094325438
2019-03-10,5509143.062669093
2019-03-13,0.0
2019-03-15,6072619.439517724
2019-03-20,0.0
2019-03-25,581471.2810371422
2019-03-29,1070260.8925308858
2019-03-30,2406962.4265267774
2019-04-04,660729.6135882861
2019-04-09,1359556.0839114636
2019-04-14,476484.34899792064
2019-04-19,777054.071326217
2019-04-24,3094298.152119953
2019-04-29,1604213.8064851817
2019-04-30,922286.2079922907
2019-05-04,302573.2189250616
2019-05-09,65271.96343935044
2019-05-14,27308.330587627064
2019-05-16,44606.28532060943
2019-05-19,44625.9212015809
2019-05-24,51032.32027237154
2019-05-29,37801.78631281442
2019-06-01,80119.2553346016
2019-06-03,67810.47580233871
2019-06-08,103179.29834375744
2019-06-13,285330.35756186687
2019-06-17,338726.8082178429
2019-06-18,215569.46977579565
2019-06-23,141410.83033582405
2019-06-28,249742.5697372146
