date,outflow (m3/d)
2017-08-02,1523940.8152818324
2017-08-14,0.0
2017-08-17,2184191.5154209416
2017-08-30,18842.757926260187
2017-09-06,4857966.033987732
2017-09-11,1513264.1126661976
2017-09-15,5339436.519697853
2017-09-26,870749.895295811
2017-10-01,335749.5900394233
2017-10-16,0.0
2017-10-17,930680.6271698877
2017-10-21,437724.8317017973
2017-11-02,331499.2536292078
2017-11-05,555969.813114342
2017-11-10,369106.67289103067
2017-11-18,123830.36184052075
2017-11-25,262875.2266667074
2017-12-04,673649.5338994304
2017-12-05,2191510.5020856713
2017-12-15,0.0
2017-12-20,519414.68752679427
2017-12-25,0.0
2018-01-04,956659.722023868
2018-01-05,0.0
2018-01-14,103698.49907689577
2018-01-21,63215.99537428922
2018-01-24,0.0
2018-01-29,985250.482275568
2018-02-03,0.0
2018-02-06,2264204.010497406
2018-02-08,0.0
2018-02-13,549121.8227701067
2018-02-18,947523.9573748476
2018-02-22,0.0
2018-02-23,8890877.167243926
2018-02-28,0.0
2018-03-05,2221407.336281952
2018-03-10,0.0
2018-03-15,830283.8042724185
2018-03-20,257413.36668653303
2018-03-25,1298176.1664723495
2018-03-26,35971.06996482267
2018-03-30,1199291.6410480686
2018-04-04,25544.191497768614
2018-04-09,105157.4917157881
2018-04-11,92730.33673667962
2018-04-14,67165.68840056812
2018-04-24,52763.01859222202
2018-04-27,93866.4657383768
2018-04-29,173012.73188200677
2018-05-04,95865.52753559472
2018-05-09,182435.64669983357
2018-05-13,857976.4291119257
2018-05-14,2124074.9537722105
2018-05-19,964983.255196728
2018-05-24,426572.0783676072
2018-05-29,404870.4255485081
2018-06-03,540840.2978803228
2018-06-08,1418746.3007413791
2018-06-13,3359174.5138200666
2018-06-14,8527699.982816733
2018-06-18,5729370.689533962
2018-06-23,2830098.627248936
2018-06-28,1845176.1418662276
2018-06-30,1210144.8173627893
2018-07-03,1703721.8773400937
2018-07-08,1698111.8558213406
2018-07-13,4348115.087817766
2018-07-18,7176115.510698498
2018-07-23,6413420.36752512
2018-07-28,2279202.54455963
2018-08-01,1416848.3604762158
2018-08-02,6137999.079279345
2018-08-07,4006349.0417957683
2018-08-12,2255444.9317705273
2018-08-17,5622262.775380169
2018-08-22,9428659.841714442
2018-08-27,1992358.1495499888
2018-09-01,278351.23003003997
2018-09-02,1023961.9059280006
2018-09-06,426882.8058957943
2018-09-11,59625.71464381344
2018-09-21,12591.236750576209
2018-09-26,126276.6751957399
2018-10-01,257747.59676753188
2018-10-04,689729.3779262966
2018-10-06,1792193.5482751809
2018-10-11,1615540.918152453
2018-10-16,1216738.597301512
2018-10-20,1113348.5422064532
2018-10-21,2194559.1986299474
2018-10-26,1377959.8337030234
2018-10-31,668895.0352679099
2018-11-05,173470.9457896384
2018-11-10,76713.10767042861
2018-11-15,21337.98222265696
2018-11-20,970285.7323569409
2018-11-21,2351191.3156686486
2018-11-25,700263.4837139933
2018-11-30,260725.88123839477
2018-12-07,69717.83019202376
2018-12-10,52041.6105756987
2018-12-15,85312.3353737648
2018-12-20,116978.59441715486
2018-12-23,155114.60341275192
2018-12-25,0.0
2018-12-30,919455.5507445458
2019-01-04,0.0
2019-01-08,378111.9911464475
2019-01-09,3297.759711794801
2019-01-14,153156.76314714047
2019-01-19,78727.95842870585
2019-01-24,115353.48027904626
2019-01-29,96550.98880025423
2019-02-03,0.0
2019-02-08,0.0
2019-02-09,0.0
2019-02-13,35801.33903522223
2019-02-18,0.0
2019-02-23,0.0
2019-02-25,0.0
2019-02-28,619115.9927958824
2019-03-05,576824.4612433239
2019-03-10,470907.030033052
2019-03-13,0.0
2019-03-15,2193763.818968674
2019-03-20,207479.9853070663
2019-03-25,311231.1240743222
2019-03-29,35288.10934246079
2019-03-30,1890184.843647778
2019-04-04,208455.57157876616
2019-04-09,382256.08937384345
2019-04-14,115986.55842962056
2019-04-19,406849.7918163371
2019-04-24,2731567.7913758135
2019-04-29,1525031.1104276015
2019-04-30,916468.7994990252
2019-05-04,301051.4090349191
2019-05-09,64086.70914431221
2019-05-14,26112.717331481632
2019-05-16,41644.1916492738
2019-05-19,42651.77617717772
2019-05-24,49853.38465366792
2019-05-29,36625.86448050148
2019-06-01,78166.56609017908
2019-06-03,64890.707086891285
2019-06-08,102015.43430982588
2019-06-13,284170.4099193114
2019-06-17,337281.8985370095
2019-06-18,209809.881052472
2019-06-23,140262.96953574868
2019-06-28,248598.78544516594
