date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,0.0
2017-08-17,0.0
2017-08-30,451937.9539645466
2017-09-06,0.0
2017-09-11,0.0
2017-09-15,0.0
2017-09-26,941529.7293006395
2017-10-01,0.0
2017-10-10,0.0
2017-10-16,0.0
2017-10-17,749362.4624572821
2017-10-21,0.0
2017-10-26,466502.87818395894
2017-11-02,2322090.3893350004
2017-11-11,7077553.648474515
2017-11-18,1880324.4095202724
2017-11-25,16716705.864460567
2017-11-30,2443485.184940592
2017-12-04,35550287.32273904
2017-12-05,24249589.79140092
2017-12-15,3298800.771994657
2017-12-20,1121703.1633334653
2017-12-25,999528.4284948972
2017-12-29,296433.07598830195
2018-01-04,41032.12039020571
2018-01-05,109937.62884910652
2018-01-09,40608.47127264265
2018-01-14,0.0
2018-01-21,0.0
2018-01-24,0.0
2018-01-29,0.0
2018-02-03,0.0
2018-02-06,0.0
2018-02-08,0.0
2018-02-13,0.0
2018-02-18,0.0
2018-02-22,0.0
2018-02-23,532758.0362263783
2018-02-28,0.0
2018-03-05,705841.7961723487
2018-03-10,0.0
2018-03-15,484073.37016565155
2018-03-20,513139.7578154793
2018-03-25,372776.93670810276
2018-03-26,9929384.757449951
2018-03-30,0.0
2018-04-04,1189044.1057984203
2018-04-09,2604676.750520302
2018-04-11,3653398.2035149005
2018-04-14,1314703.0653547132
2018-04-19,2607219.2399738487
2018-04-24,854451.5377851521
2018-04-27,2667869.2074389923
2018-04-29,3111486.1358374865
2018-05-04,1543343.843567293
2018-05-06,4544866.192959073
2018-05-09,3867640.751797829
2018-05-13,3941204.645293947
2018-05-14,14810470.943232454
2018-05-19,2215382.782250181
2018-05-22,2276695.066516727
2018-05-24,3061605.936714041
2018-05-29,994115.3430016607
2018-06-03,481202.3785231555
2018-06-08,1695723.9689762122
2018-06-13,1202893.0343451642
2018-06-14,0.0
2018-06-18,0.0
2018-06-23,0.0
2018-06-28,0.0
2018-06-30,0.0
2018-07-03,0.0
2018-07-13,0.0
2018-07-18,2796663.0915078903
2018-07-23,4912987.4157263
2018-07-28,1362566.7895951483
2018-08-01,2124592.8257834464
2018-08-02,300284.0782145839
2018-08-07,4590500.083480195
2018-08-12,2083960.0868547494
2018-08-17,9102453.685125047
2018-08-22,15338673.578470888
2018-08-27,2576192.882020084
2018-09-01,2540039.248988569
2018-09-02,0.0
2018-09-06,1732896.1284479708
2018-09-11,0.0
2018-09-18,1476690.8227214937
2018-09-21,0.0
2018-09-26,1045074.1559857983
2018-10-01,595981.1027709611
2018-10-04,2511507.1976220524
2018-10-06,4824114.322999488
2018-10-11,5118891.828219655
2018-10-16,2593453.373294128
2018-10-20,1222045.5034383016
2018-10-21,0.0
2018-10-26,5764099.184944909
2018-10-29,4456220.09506709
2018-10-31,4248004.062047722
2018-11-05,9297491.278926333
2018-11-10,0.0
2018-11-15,6440349.642521194
2018-11-20,0.0
2018-11-21,9323602.03569029
2018-11-25,0.0
2018-11-30,10718614.139403302
2018-12-07,0.0
2018-12-10,5816557.9263624735
2018-12-15,0.0
2018-12-20,0.0
2018-12-23,3099445.5184962
2018-12-25,0.0
2018-12-30,170385.4027546926
2019-01-04,926069.6749168193
2019-01-08,0.0
2019-01-09,31563134.87206504
2019-01-14,0.0
2019-01-19,1201944.1870678389
2019-01-24,0.0
2019-01-29,0.0
2019-02-03,2355601.724976855
2019-02-08,0.0
2019-02-09,4436000.133063385
2019-02-13,384630.11390825047
2019-02-18,578299.5976996734
2019-02-23,366009.71557987644
2019-02-25,10674800.2204161
2019-02-28,0.0
2019-03-05,2829024.954691291
2019-03-10,1904494.330733209
2019-03-13,653263.8403918943
2019-03-15,3208095.9890143713
2019-03-20,813306.917745981
2019-03-25,1043403.8208608648
2019-03-29,1296713.6732771469
2019-03-30,5697676.194991989
2019-04-04,10545193.399944825
2019-04-09,7556279.448993438
2019-04-14,0.0
2019-04-19,1993625.0293983847
2019-04-24,8883851.373905102
2019-04-29,6741792.833303039
2019-04-30,6172980.116830354
2019-05-04,2121187.2814138685
2019-05-09,626530.8747880629
2019-05-14,171666.02425995056
2019-05-16,338006.43390148156
2019-05-19,106143.07662961648
2019-05-24,132404.2460058728
2019-05-25,225267.34087195343
2019-05-29,297481.0495268306
2019-06-01,294458.9471971778
2019-06-08,45932.68080401636
2019-06-10,420987.92509789264
2019-06-13,1391008.7017694362
2019-06-17,1328126.4120022815
2019-06-18,1200125.7423098425
2019-06-23,630134.5394741957
2019-06-28,625718.3267855216
