date,outflow (m3/d)
2017-08-02,0.0
2017-08-14,0.0
2017-08-17,0.0
2017-08-30,0.0
2017-09-06,0.0
2017-09-11,0.0
2017-09-15,0.0
2017-09-26,622831.7235875123
2017-10-01,0.0
2017-10-10,0.0
2017-10-16,0.0
2017-10-17,529279.2825065821
2017-10-21,0.0
2017-10-26,481870.34847971896
2017-11-02,2347280.300892914
2017-11-11,7091633.010303516
2017-11-18,1892206.0150132433
2017-11-25,19259536.64612159
2017-11-30,2443485.184940592
2017-12-04,10248252.497605192
2017-12-05,63084074.10980542
2017-12-15,1165879.547721267
2017-12-20,3546482.2978336257
2017-12-25,93150.60408649298
2017-12-29,2132513.284596752
2018-01-04,819417.0448988274
2018-01-05,8271306.40264848
2018-01-09,0.0
2018-01-14,4912711.353910242
2018-01-21,0.0
2018-01-24,0.0
2018-01-29,0.0
2018-02-03,2346811.093737455
2018-02-06,0.0
2018-02-08,876800.6985584381
2018-02-13,0.0
2018-02-18,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-28,0.0
2018-03-05,414145.8535596086
2018-03-10,121061.29182518483
2018-03-15,5670695.0088333115
2018-03-20,0.0
2018-03-25,3636981.9265912822
2018-03-26,0.0
2018-03-30,8814421.462292574
2018-04-04,0.0
2018-04-09,8542207.369219484
2018-04-11,0.0
2018-04-14,6093757.74074158
2018-04-19,579162.5818844088
2018-04-24,1426831.4548211722
2018-04-27,1561059.8686903592
2018-04-29,2709022.4328198363
2018-05-04,1170035.5871880527
2018-05-06,3081940.3516683728
2018-05-09,2537770.656111128
2018-05-13,2680675.920660222
2018-05-14,8157775.9754290525
2018-05-19,2035841.2837004005
2018-05-22,2751610.217971194
2018-05-24,4203746.238559591
2018-05-29,2691311.8200275805
2018-06-03,0.0
2018-06-08,6908988.6951143835
2018-06-13,0.0
2018-06-14,2229472.7502435003
2018-06-18,0.0
2018-06-23,4342472.178971181
2018-06-28,0.0
2018-06-30,9708577.801634349
2018-07-03,0.0
2018-07-13,982917.9629407048
2018-07-18,2440872.0108542303
2018-07-23,6137475.480988881
2018-07-28,403683.89711908845
2018-08-01,0.0
2018-08-02,19473832.511032287
2018-08-07,0.0
2018-08-12,5783044.08885631
2018-08-17,8492797.405521248
2018-08-22,15577756.93842665
2018-08-27,4010928.981060224
2018-09-01,1668871.2182093088
2018-09-02,0.0
2018-09-06,5850783.726993146
2018-09-11,0.0
2018-09-18,8790863.014262421
2018-09-21,0.0
2018-09-26,9954611.650133958
2018-10-01,0.0
2018-10-04,6326128.015203919
2018-10-06,1997987.0747686676
2018-10-11,5698743.048490895
2018-10-16,2318130.281705488
2018-10-20,1411668.8782574018
2018-10-21,0.0
2018-10-26,899598.4775705084
2018-10-29,8518912.461913357
2018-10-31,1251349.1644752214
2018-11-05,4170043.3862156942
2018-11-10,8213153.111840862
2018-11-15,0.0
2018-11-20,0.0
2018-11-21,2745389.38359949
2018-11-25,8673445.003892286
2018-11-30,0.0
2018-12-07,1409017.976240472
2018-12-10,0.0
2018-12-15,295123.7518034443
2018-12-20,1293980.753580406
2018-12-23,0.0
2018-12-25,0.0
2018-12-30,1822378.1215625529
2019-01-04,0.0
2019-01-08,39590.73274858764
2019-01-09,0.0
2019-01-14,0.0
2019-01-19,2778778.3337411787
2019-01-24,0.0
2019-01-29,2011473.969334229
2019-02-03,3848321.9577228148
2019-02-08,2962360.8146026665
2019-02-09,74483.53597228508
2019-02-13,932867.2823615504
2019-02-18,3623633.796071773
2019-02-23,1916456.9408484166
2019-02-25,7677359.194137151
2019-02-28,0.0
2019-03-05,3116004.8348167506
2019-03-10,0.0
2019-03-13,2465280.498921427
2019-03-15,0.0
2019-03-20,2828218.6559444205
2019-03-25,0.0
2019-03-29,5073287.268775146
2019-03-30,10058482.768308388
2019-04-04,268764.2818143837
2019-04-09,1369655.8268901596
2019-04-14,4147252.75726835
2019-04-19,0.0
2019-04-24,13229963.739171285
2019-04-29,2285962.714302179
2019-04-30,26021394.373344693
2019-05-04,0.0
2019-05-09,4730702.669195203
2019-05-14,306057.99754125066
2019-05-16,6491117.327640882
2019-05-19,2449001.4359691925
2019-05-24,2174558.901437433
2019-05-25,0.0
2019-05-29,3310801.2131550806
2019-06-01,2908457.942184112
2019-06-08,2047771.8931935735
2019-06-10,7778134.301461893
2019-06-13,7718058.494087685
2019-06-17,3644129.632544807
2019-06-18,9273552.922705943
2019-06-23,841859.3923233956
2019-06-28,635010.3701466399
