date,area (km2)
2017-02-10,11.67
2017-02-16,9.597
2017-02-26,8.824
2017-03-08,8.655
2017-03-14,11.293
2017-03-18,5.928
2017-03-28,10.918
2017-03-30,10.307
2017-04-15,9.697
2017-04-17,9.086
2017-04-27,8.755
2017-05-01,7.864
2017-05-07,7.254
2017-05-17,6.643
2017-05-27,6.302
2017-06-02,6.15
2017-06-06,6.269
2017-06-18,6.387
2017-06-26,6.506
2017-07-01,6.589
2017-07-04,6.689
2017-07-06,6.861
2017-07-16,6.915
2017-07-20,7.028
2017-07-21,7.11
2017-07-31,7.207
2017-08-05,7.296
2017-08-15,7.388
2017-08-20,7.477
2017-08-21,7.567
2017-08-30,7.656
2017-09-06,7.744
2017-09-09,7.832
2017-09-14,7.873
2017-09-19,7.983
2017-09-22,8.058
2017-09-24,8.149
2017-09-29,8.232
2017-10-04,8.318
2017-10-08,8.402
2017-10-09,8.486
2017-10-14,8.57
2017-10-19,8.653
2017-10-24,8.736
2017-10-29,8.818
2017-11-03,8.9
2017-11-08,8.982
2017-11-09,9.472
2017-11-13,9.351
2017-11-18,9.459
2017-11-23,9.544
2017-11-25,9.624
2017-11-28,9.706
2017-12-03,9.787
2017-12-08,9.868
2017-12-11,9.946
2017-12-13,10.028
2017-12-18,9.991
2017-12-23,10.078
2017-12-27,10.078
2017-12-28,10.195
2018-01-02,10.253
2018-01-07,10.34
2018-01-12,10.412
2018-01-17,10.491
2018-01-22,10.566
2018-01-27,10.642
2018-01-28,10.609
2018-02-06,10.52
2018-02-11,10.459
2018-02-13,10.383
2018-02-16,10.315
2018-02-21,10.242
2018-02-26,10.171
2018-03-01,10.099
2018-03-03,10.027
2018-03-08,9.955
2018-03-13,9.882
2018-03-17,9.809
2018-03-18,9.736
2018-03-23,9.662
2018-03-28,9.589
2018-04-02,9.44
2018-04-07,9.253
2018-04-12,9.083
2018-04-17,8.901
2018-04-18,8.723
2018-04-22,8.221
2018-04-27,8.202
2018-05-02,8.122
2018-05-04,7.866
2018-05-07,6.86
2018-05-12,7.094
2018-05-17,6.713
2018-05-20,6.842
2018-05-22,6.5
2018-06-01,6.822
2018-06-05,7.058
2018-06-06,7.294
2018-06-11,7.53
2018-06-16,7.766
2018-06-21,8.002
2018-06-26,8.238
2018-07-01,8.474
2018-07-06,8.71
2018-07-07,8.946
2018-07-11,9.182
2018-07-16,9.418
2018-07-23,9.572
2018-07-26,9.764
2018-07-31,9.935
2018-08-05,10.114
2018-08-08,10.286
2018-08-10,10.834
2018-08-15,11.07
2018-08-20,11.218
2018-08-24,11.408
2018-08-25,11.574
2018-08-30,12.014
2018-09-04,12.055
2018-09-09,12.486
2018-09-14,12.53
2018-09-19,12.958
2018-09-24,12.919
2018-09-25,12.471
2018-09-29,12.471
2018-10-04,12.8
2018-10-09,12.76
2018-10-11,12.737
2018-10-14,12.68
2018-10-19,12.641
2018-10-24,12.601
2018-10-27,12.578
2018-10-29,12.522
2018-11-03,12.482
2018-11-08,12.442
2018-11-12,12.419
2018-11-18,12.363
2018-11-23,12.323
2018-11-28,12.3
2018-12-03,12.244
2018-12-08,12.204
2018-12-13,12.164
2018-12-14,12.124
2018-12-18,12.085
2018-12-23,12.045
2018-12-28,12.005
2018-12-30,11.966
2019-01-02,11.942
2019-01-07,11.911
2019-01-12,11.883
2019-01-15,11.854
2019-01-17,11.825
2019-01-22,11.796
2019-01-27,11.767
2019-01-31,11.738
2019-02-01,11.709
2019-02-06,11.68
2019-02-11,11.651
2019-02-16,11.622
2019-02-21,11.593
2019-02-26,11.483
2019-03-03,11.332
2019-03-04,11.2
2019-03-08,11.057
2019-03-13,10.918
2019-03-18,10.776
2019-03-20,10.634
2019-03-23,10.491
2019-03-28,10.347
2019-04-02,9.404
2019-04-05,9.249
2019-04-07,9.096
2019-04-12,8.939
2019-04-17,8.781
2019-04-21,8.62
2019-04-22,8.457
2019-04-27,8.291
2019-05-02,8.122
2019-05-07,7.95
2019-05-12,7.774
2019-05-17,7.595
2019-05-22,7.412
2019-05-23,7.455
2019-05-27,7.598
2019-06-01,7.688
2019-06-06,7.803
2019-06-08,7.903
2019-06-11,8.009
2019-06-16,8.111
2019-06-21,8.212
2019-06-24,8.312
2019-06-26,8.412
2019-07-01,8.51
2019-07-06,8.608
2019-07-11,8.704
2019-07-16,8.8
2019-08-15,8.894
2019-08-20,9.221
2019-08-25,9.655
2019-08-27,10.014
2019-08-30,10.395
2019-09-04,10.75
2019-09-09,11.104
2019-09-14,11.447
2019-09-19,11.784
2019-09-24,11.875
2019-09-28,11.835
2019-09-29,11.861
2019-10-04,11.853
2019-10-09,11.863
2019-10-14,11.864
2019-10-19,11.869
2019-10-24,11.872
2019-10-29,11.876
2019-10-30,11.88
2019-11-03,11.884
2019-11-08,11.887
2019-11-13,11.891
2019-11-15,11.895
2019-11-18,11.863
2019-11-23,11.813
2019-11-28,11.772
2019-12-03,11.726
2019-12-08,11.683
2019-12-13,11.638
2019-12-17,11.593
2019-12-18,11.549
2019-12-23,11.504
2019-12-28,11.459
2020-01-02,11.414
2020-01-07,11.369
2020-01-12,11.323
2020-01-17,11.278
2020-01-18,11.209
2020-01-22,11.128
2020-01-27,11.053
2020-02-01,10.974
2020-02-03,10.897
