date,area,days_passed
2017-07-29,6.5196,0
2017-08-02,4.588799999999999,4
2017-08-14,4.7454,12
2017-08-17,5.055128571428572,3
2017-08-30,5.1795208811975,13
2017-09-06,5.486381098428106,7
2017-09-11,5.691657276392667,5
2017-09-15,5.941233423197165,4
2017-09-26,6.161242717617661,11
2017-10-01,6.389863634420404,5
2017-10-16,6.6081079054836644,15
2017-10-17,6.680652830658054,1
2017-10-21,6.7122,4
2017-11-02,6.725150874191702,12
2017-11-05,6.7122,3
2017-11-10,6.747250188509017,5
2017-11-18,6.758225625968543,8
2017-11-25,6.781215295818187,7
2017-12-04,6.76833324650456,9
2017-12-05,6.6339,1
2017-12-15,6.669954170404293,10
2017-12-20,6.620848855261526,5
2017-12-25,6.614208032043134,5
2018-01-04,6.3072,10
2018-01-05,6.8391,1
2018-01-14,5.6178,9
2018-01-21,6.68805,7
2018-01-24,6.065894523772329,3
2018-01-29,6.285478528420252,5
2018-02-03,6.085790897016404,5
2018-02-06,6.4731,3
2018-02-08,6.1848,2
2018-02-13,6.434099999999999,5
2018-02-18,6.414599999999999,5
2018-02-22,6.395099999999999,4
2018-02-23,6.2738,1
2018-02-28,6.1525,5
2018-03-05,6.0312,5
2018-03-10,5.9098999999999995,5
2018-03-15,5.7886,5
2018-03-20,5.6673,5
2018-03-25,5.595570498127864,5
2018-03-26,5.4247,1
2018-03-30,5.3034,4
2018-04-04,5.2137,5
2018-04-09,5.124,5
2018-04-11,5.0343,2
2018-04-14,4.979421695882036,3
2018-04-24,4.3794,10
2018-04-27,4.2736363636363635,3
2018-04-29,3.7566,2
2018-05-04,3.746940629805456,5
2018-05-09,3.483224172933131,5
2018-05-13,3.3363408156088004,4
2018-05-14,3.124866852185729,1
2018-05-19,2.935996447100735,5
2018-05-24,2.7262788141039938,5
2018-05-29,2.2451999999999996,5
2018-06-03,2.1733526598187103,5
2018-06-08,2.306459347977177,5
2018-06-13,2.6910888172872665,5
2018-06-14,2.917132334208459,1
2018-06-18,3.205918415791659,4
2018-06-23,3.4450222296275346,5
2018-06-28,3.6955162162478716,5
2018-06-30,3.9276745544622997,2
2018-07-03,4.158366378758524,3
2018-07-08,4.3801195231042165,5
2018-07-13,4.597768392839526,5
2018-07-18,4.809662130095577,5
2018-07-23,5.017343830737876,5
2018-07-28,5.220620613503228,5
2018-08-01,5.420104438877577,4
2018-08-02,5.511533164963193,1
2018-08-07,5.545949644068189,5
2018-08-12,5.608623551715505,5
2018-08-17,5.656722362916827,5
2018-08-22,5.711770947752097,5
2018-08-27,5.762963429696989,5
2018-09-01,5.815734291388524,5
2018-09-02,5.83124192860543,1
2018-09-06,5.828765718647904,4
2018-09-11,5.828687128444902,5
2018-09-21,5.82080826955413,10
2018-09-26,5.816824186122956,5
2018-10-01,5.810890001454271,5
2018-10-04,5.806132560105004,3
2018-10-06,5.800989126230232,2
2018-10-11,5.7960353538634655,5
2018-10-16,5.79098353478503,5
2018-10-20,5.785977455189793,4
2018-10-21,5.7809452474765255,1
2018-10-26,5.773361911924112,5
2018-10-31,5.764488245231575,5
2018-11-05,5.75624999577252,5
2018-11-10,5.74768496747887,5
2018-11-15,5.739273877795684,5
2018-11-20,5.730776517331505,5
2018-11-21,5.722312874549695,1
2018-11-25,5.713822971749114,4
2018-11-30,5.705336747614839,5
2018-12-07,5.696839215818302,7
2018-12-10,5.688337835703758,3
2018-12-15,5.673882253747758,5
2018-12-20,5.656439044678736,5
2018-12-23,5.640451608697529,3
2018-12-25,5.6237012676959095,2
2018-12-30,5.607295528266335,5
2019-01-04,5.590681235714085,5
2019-01-08,5.5741343435691775,4
2019-01-09,5.557516860899159,1
2019-01-14,5.540897459859883,5
2019-01-19,5.5242416326296455,5
2019-01-24,5.507566381848064,5
2019-01-29,5.490862991236708,5
2019-02-03,5.48836505885937,5
2019-02-08,5.49292988568499,5
2019-02-09,5.4939619551078565,1
2019-02-13,5.4967600919104695,4
2019-02-18,5.498674351480185,5
2019-02-23,5.501029972929905,5
2019-02-25,5.503164204155189,2
2019-02-28,5.416324157677131,3
2019-03-05,5.283384276775374,5
2019-03-10,5.409,5
2019-03-13,5.161569545193781,3
2019-03-15,5.096234960604608,2
2019-03-20,4.938638276020846,5
2019-03-25,4.824134229521517,5
2019-03-29,4.685786760830497,4
2019-03-30,4.5378,1
2019-04-04,4.3092,5
2019-04-09,4.222016576020762,5
2019-04-14,4.062039303202174,5
2019-04-19,3.9344441136764785,5
2019-04-24,3.7872845318704256,5
2019-04-29,3.6457998572609487,5
2019-04-30,3.5736353780105485,1
2019-05-04,3.5380789506250214,4
2019-05-09,3.4838583793986873,5
2019-05-14,3.4384094514490893,5
2019-05-16,3.388094989672512,2
2019-05-19,3.3396707869379436,3
2019-05-24,3.2897678067122045,5
2019-05-29,3.2400418751260536,5
2019-06-01,3.0195,3
2019-06-03,3.055932776884346,2
2019-06-08,2.964318123725251,5
2019-06-13,2.9355926932274774,5
2019-06-17,2.8750576927859144,4
2019-06-18,2.829638657085906,1
2019-06-23,2.7760538545879596,5
2019-06-28,2.725815210688366,5
