date,area (km2)
2017-07-21,1.511
2017-07-29,1.671
2017-08-02,1.831
2017-08-14,1.978
2017-08-15,2.572
2017-08-17,3.063
2017-08-30,3.118
2017-09-06,3.389
2017-09-11,3.539
2017-09-15,3.744
2017-09-19,4.081
2017-09-24,4.184
2017-09-26,4.082
2017-10-01,4.26
2017-10-09,4.103
2017-10-14,4.18
2017-10-17,4.081
2017-10-21,4.133
2017-10-29,4.109
2017-11-02,4.124
2017-11-03,4.112
2017-11-05,4.136
2017-11-08,4.216
2017-11-18,4.109
2017-11-23,4.165
2017-11-25,4.038
2017-11-28,3.802
2017-11-30,3.714
2017-12-04,3.55
2017-12-05,3.883
2017-12-08,3.802
2017-12-13,4.041
2017-12-18,4.008
2017-12-20,4.101
2017-12-25,4.277
2017-12-28,4.276
2018-01-02,4.363
2018-01-04,4.469
2018-01-05,4.469
2018-01-09,4.555
2018-01-14,4.557
2018-01-17,4.561
2018-01-21,4.591
2018-01-22,4.57
2018-01-24,4.49
2018-01-27,4.513
2018-01-29,4.485
2018-02-06,4.482
2018-02-08,4.478
2018-02-11,4.487
2018-02-13,4.49
2018-02-16,4.495
2018-02-18,4.499
2018-02-21,4.504
2018-02-22,4.508
2018-02-23,4.513
2018-02-28,4.49
2018-03-03,4.454
2018-03-05,4.424
2018-03-08,4.391
2018-03-10,4.31
2018-03-13,4.302
2018-03-15,4.194
2018-03-18,4.2
2018-03-20,4.149
2018-03-23,4.09
2018-03-25,3.982
2018-03-26,4.075
2018-03-28,4.05
2018-03-30,4.036
2018-04-02,4.009
2018-04-04,3.993
2018-04-07,3.977
2018-04-09,3.96
2018-04-11,3.944
2018-04-12,3.899
2018-04-14,3.853
2018-04-17,3.807
2018-04-19,3.761
2018-04-22,3.65
2018-04-24,3.67
2018-04-27,3.624
2018-04-29,3.578
2018-05-02,3.533
2018-05-04,3.487
2018-05-07,3.441
2018-05-09,3.395
2018-05-12,3.368
2018-05-13,3.304
2018-05-14,3.258
2018-05-17,3.213
