date,area,days_passed
2017-07-11,3.7962,0
2017-07-13,3.8133,2
2017-07-16,4.5801,3
2017-07-20,3.8133,4
2017-07-21,4.4685,1
2017-07-29,5.60745,8
2017-07-31,5.593050000000001,2
2017-08-05,5.584034982302557,5
2017-08-14,5.572314384372357,9
2017-08-15,5.561929509661702,1
2017-08-20,5.557024681537924,5
2017-08-21,5.55375,1
2017-08-30,5.551433528933284,9
2017-09-06,5.54675,7
2017-09-09,5.5432500000000005,3
2017-09-14,5.3703,5
2017-09-15,5.53625,1
2017-09-19,5.53275,4
2017-09-22,5.530544161438905,3
2017-09-24,5.523562780401469,2
2017-10-01,5.50035,7
2017-10-04,5.500607142857143,3
2017-10-08,5.500864285714286,4
2017-10-09,5.5011214285714285,1
2017-10-14,5.501378571428572,5
2017-10-17,5.501635714285714,3
2017-10-19,5.501892857142858,2
2017-10-24,5.50215,5
2017-10-29,5.502407142857143,5
2017-11-02,5.502664285714286,4
2017-11-03,5.502921428571428,1
2017-11-08,5.503083933200038,5
2017-11-09,5.503435714285715,1
2017-11-13,5.503550893707842,4
2017-11-18,5.50395,5
2017-11-23,5.504041511979032,5
2017-11-25,5.502715121643986,2
2017-11-28,5.5005255583099135,3
2017-12-03,5.498767013684474,5
2017-12-04,5.496792503447643,1
2017-12-08,5.494925463460871,4
2017-12-11,5.4863100000000005,3
2017-12-13,5.487764191993454,2
2017-12-18,5.484183934336628,5
2017-12-20,5.478750000000001,2
2017-12-23,5.478613734615576,3
2017-12-27,5.47582859927181,4
2017-12-28,5.4743671732879635,1
2018-01-02,5.46867,5
2018-01-05,5.0265,3
2018-01-12,5.48055,7
2018-01-17,4.9869,5
2018-01-21,5.46345,4
2018-01-22,5.215993695214415,1
2018-01-27,5.420700000000001,5
2018-01-28,5.4094500000000005,1
2018-02-06,5.3982,9
2018-02-11,5.39109032379074,5
2018-02-13,5.381902088509407,2
2018-02-16,5.373742254936063,3
2018-02-21,5.365058537258973,5
2018-02-22,5.35662643217903,1
2018-02-26,5.340487500000001,4
2018-03-01,4.8915,3
2018-03-03,5.337562500000001,2
2018-03-08,5.112939254217445,5
2018-03-10,5.3346374999999995,2
2018-03-13,4.6377,3
2018-03-17,4.984615258841762,4
2018-03-18,4.2507,1
2018-03-23,4.9284,5
2018-03-26,4.5412652501614375,3
2018-03-28,4.702833421422675,2
2018-04-02,4.6552681491620245,5
2018-04-07,4.9599,5
2018-04-11,4.841646707281412,4
2018-04-12,4.9352519594024375,1
2018-04-17,4.904660003679794,5
2018-04-18,5.39325,1
2018-04-22,5.39145,4
2018-04-27,5.3903078298832225,5
2018-05-02,5.38785,5
2018-05-04,5.387036436598437,2
2018-05-07,5.385400585725981,3
2018-05-12,5.384175568357399,5
2018-05-13,5.38065,1
2018-05-17,5.37885,4
2018-05-20,5.34015,3
2018-05-22,5.30145,2
2018-05-29,5.37525,7
2018-06-01,5.396400000000001,3
2018-06-05,5.41755,4
2018-06-06,5.431077915300266,1
2018-06-11,5.45985,5
2018-06-14,5.481000000000001,3
2018-06-16,5.494488944854105,2
2018-06-21,5.5233,5
2018-06-26,5.54445,5
2018-06-30,5.565600000000001,4
2018-07-01,5.57903855665463,1
2018-07-06,5.596303913072142,5
2018-07-07,5.611618871209663,1
2018-07-11,5.627876349656542,4
2018-07-16,5.643628025426803,5
2018-07-21,5.659599276306897,5
2018-07-23,5.681747110077692,2
2018-07-26,5.696065077151543,3
2018-07-31,5.703191692445905,5
2018-08-01,5.71390505804816,1
2018-08-05,5.722811664317366,4
2018-08-08,5.7326105509770535,3
2018-08-10,5.741951116584281,2
2018-08-15,5.7515092603862605,5
2018-08-17,5.760946792283846,2
2018-08-20,5.770432985323054,3
2018-08-24,5.779883171752946,4
2018-08-25,5.789339758330969,1
2018-08-30,5.798781562263094,5
2018-09-02,5.881950000000001,3
2018-09-04,5.854602705016557,2
2018-09-09,5.867861799466181,5
2018-09-14,5.846114269262913,5
2018-09-18,5.83155,4
2018-09-19,5.82165,1
2018-09-24,5.81075,5
2018-09-25,5.5899,1
2018-09-29,5.688318389034874,4
2018-10-04,5.77805,5
2018-10-09,5.76715,5
2018-10-11,5.7562500000000005,2
2018-10-14,5.74535,3
2018-10-19,5.734450000000001,5
2018-10-20,5.72355,1
2018-10-24,5.71675241066771,4
2018-10-27,5.714458891028815,3
2018-10-29,5.716462020499663,2
2018-11-03,5.716316675373597,5
2018-11-05,5.727357692307692,2
2018-11-08,5.728119230769231,3
2018-11-12,5.728596135028705,4
2018-11-18,5.729642307692308,6
2018-11-21,5.7304038461538465,3
2018-11-23,5.731165384615385,2
2018-11-28,5.731642231328159,5
2018-12-03,5.73226138824043,5
2018-12-07,5.7334499999999995,4
2018-12-08,5.730668181818182,1
2018-12-13,5.727886363636364,5
2018-12-14,5.726146570202178,1
2018-12-18,5.723885288788364,4
2018-12-23,5.721884132861719,5
2018-12-28,5.7167590909090915,5
2018-12-30,5.7139772727272735,2
2019-01-02,5.7111954545454555,3
2019-01-07,5.708413636363637,5
2019-01-08,5.705631818181818,1
2019-01-12,5.702850000000001,4
2019-01-15,5.6758500000000005,3
2019-01-17,5.672613148629679,2
2019-01-22,5.6565,5
2019-01-24,5.664149999999999,2
2019-01-27,5.63205,3
2019-01-31,5.59995,4
2019-02-01,5.579994237395375,1
2019-02-06,5.53575,5
2019-02-09,5.50365,3
2019-02-11,5.483617633901593,2
2019-02-16,5.457485541514178,5
2019-02-21,5.49410625,5
2019-02-25,5.4878625,4
2019-02-26,5.48161875,1
2019-03-03,5.477679338583089,5
2019-03-04,5.472585218719637,1
2019-03-08,5.468065165417935,4
2019-03-13,5.0814,5
2019-03-18,5.267906516828311,5
2019-03-20,5.031,2
2019-03-23,5.436,3
2019-03-28,5.226700897172685,5
2019-03-29,5.425425,1
2019-04-02,5.31912556717213,4
2019-04-05,4.9563,3
2019-04-07,5.131003255992229,2
2019-04-12,5.03705632526441,5
2019-04-14,5.393665384615385,2
2019-04-17,5.2542,3
2019-04-21,5.3800961538461545,4
2019-04-22,5.373311538461539,1
2019-04-27,5.369011511279589,5
2019-04-30,5.363466109605283,3
2019-05-02,5.358539416944728,2
2019-05-07,5.353299830323389,5
2019-05-12,4.977,5
2019-05-16,5.157707003863903,4
2019-05-17,5.0600409766897325,1
2019-05-22,5.3190346153846155,5
2019-05-23,5.182027274434642,1
2019-05-27,5.242921138162562,4
2019-06-01,5.30865,5
2019-06-06,5.306850000000001,5
2019-06-08,5.305703441219481,2
2019-06-11,5.304229940699236,3
2019-06-16,5.302919626753902,5
2019-06-17,5.313301812175865,1
2019-06-21,5.322150000000001,4
2019-06-24,5.322150000000001,3
2019-06-26,5.322150000000001,2
