date,area (km2)
2017-08-02,12.543
2017-08-14,14.118
2017-08-17,14.757
2017-08-30,15.862
2017-09-06,16.081
2017-09-11,16.737
2017-09-15,17.16
2017-09-26,17.69
2017-10-01,18.594
2017-10-17,17.653
2017-10-21,18.578
2017-11-02,18.229
2017-11-05,18.598
2017-11-18,18.317
2017-11-25,18.649
2017-11-30,18.07
2017-12-04,17.319
2017-12-05,17.084
2017-12-20,17.037
2017-12-25,16.875
2018-01-04,16.77
2018-01-05,16.636
2018-01-09,16.515
2018-01-14,16.052
2018-01-21,15.813
2018-01-24,15.574
2018-01-29,15.335
2018-02-06,15.353
2018-02-08,15.372
2018-02-13,15.384
2018-02-18,15.41
2018-02-22,15.428
2018-02-23,15.352
2018-02-28,15.275
2018-03-05,15.199
2018-03-10,15.152
2018-03-15,15.046
2018-03-20,14.97
2018-03-25,14.893
2018-03-26,14.817
2018-03-30,14.741
2018-04-04,14.703
2018-04-09,14.666
2018-04-11,14.642
2018-04-14,14.242
2018-04-19,13.856
2018-04-24,13.47
2018-04-27,11.985
2018-04-29,12.316
2018-05-04,12.312
2018-05-09,11.926
2018-05-13,11.684
2018-05-14,11.154
2018-05-19,10.768
2018-05-24,10.382
2018-05-29,9.996
2018-06-03,9.744
2018-06-08,10.064
2018-06-13,10.703
2018-06-14,11.159
2018-06-18,11.69
2018-06-23,12.167
2018-06-28,12.656
2018-06-30,13.125
2018-07-03,13.591
2018-07-08,14.047
2018-07-13,14.496
2018-07-16,14.938
2018-07-18,15.375
2018-07-23,15.704
2018-07-28,15.976
2018-08-01,16.274
2018-08-02,16.332
2018-08-07,16.281
2018-08-12,16.221
2018-08-17,16.229
2018-08-22,16.203
2018-08-27,16.194
2018-09-01,17.652
2018-09-02,17.652
2018-09-06,17.652
2018-09-11,17.898
2018-09-18,17.653
2018-09-21,17.652
2018-09-26,17.652
2018-10-01,17.627
2018-10-04,17.653
2018-10-06,17.788
2018-10-11,17.652
2018-10-16,17.598
2018-10-20,17.638
2018-10-21,17.494
2018-10-26,17.465
2018-10-31,17.401
2018-11-05,17.355
2018-11-10,17.299
2018-11-15,17.248
2018-11-20,17.195
2018-11-21,17.143
2018-11-25,17.09
2018-11-30,17.037
2018-12-07,16.984
2018-12-10,16.931
2018-12-15,16.815
2018-12-20,16.667
2018-12-23,16.154
2018-12-25,16.205
2018-12-30,15.974
2019-01-04,15.883
2019-01-08,15.722
2019-01-09,15.594
2019-01-14,15.449
2019-01-19,16.576
2019-01-24,16.368
2019-01-29,16.243
2019-02-03,16.035
2019-02-08,15.868
2019-02-09,15.701
2019-02-13,15.6
2019-02-18,15.368
2019-02-23,15.201
2019-02-25,15.065
2019-02-28,14.928
2019-03-05,14.844
2019-03-10,14.852
2019-03-13,14.995
2019-03-15,15.146
2019-03-20,15.137
2019-03-25,15.051
2019-03-29,15.003
2019-03-30,14.93
2019-04-04,14.864
2019-04-09,14.795
2019-04-14,14.727
2019-04-19,14.657
2019-04-24,14.588
2019-04-29,14.519
2019-04-30,14.449
2019-05-04,14.38
2019-05-09,14.317
2019-05-14,14.259
2019-05-16,14.198
2019-05-19,14.139
2019-05-24,14.078
2019-05-29,14.018
2019-06-01,12.526
2019-06-03,12.644
2019-06-08,11.962
2019-06-13,11.653
2019-06-17,10.308
2019-06-18,10.332
2019-06-23,10.965
2019-06-28,11.059
2019-07-03,11.42
2019-07-08,11.638
2019-07-13,11.922
2019-07-18,12.165
2019-07-19,12.423
2019-07-23,12.668
2019-07-28,12.914
2019-08-02,13.155
2019-08-04,13.393
2019-08-07,13.628
2019-08-12,13.861
2019-08-17,14.09
2019-08-20,14.317
2019-08-22,14.542
2019-08-27,14.764
2019-09-01,14.984
2019-09-05,15.201
2019-09-06,15.417
2019-09-11,15.631
2019-09-16,15.842
2019-09-21,16.052
2019-09-26,16.26
2019-10-01,16.466
2019-10-06,16.671
2019-10-07,16.873
2019-10-11,17.075
2019-10-16,17.275
2019-10-21,17.473
2019-10-23,17.67
2019-10-26,17.865
2019-10-31,18.059
2019-11-05,18.252
2019-11-08,18.443
2019-11-10,18.633
2019-11-15,18.458
2019-11-20,18.092
2019-11-24,17.816
2019-11-25,17.683
2019-11-30,17.665
2019-12-05,17.589
2019-12-10,17.542
2019-12-15,17.48
2019-12-20,17.425
2019-12-25,17.367
2019-12-26,17.31
2019-12-30,17.252
2020-01-04,17.178
2020-01-09,17.094
2020-01-11,17.014
2020-01-14,16.932
2020-01-19,16.85
2020-01-24,16.768
2020-01-27,16.134
2020-01-29,15.195
2020-02-03,14.355
2020-02-08,13.412
2020-02-12,12.452
2020-02-13,11.417
2020-02-18,11.475
2020-02-23,11.938
2020-02-28,12.184
2020-03-04,12.531
2020-03-09,12.817
2020-03-14,13.127
2020-03-15,13.417
2020-03-19,13.71
2020-03-24,13.995
2020-03-29,13.945
2020-03-31,13.714
2020-04-03,13.571
2020-04-08,13.444
2020-04-13,13.368
2020-04-16,13.267
2020-04-18,13.177
