date,area,days_passed
2017-07-29,2.1393,0
2017-08-02,2.403,4
2017-08-14,2.799,12
2017-08-17,2.7912857142857144,3
2017-08-30,2.7835714285714284,13
2017-09-06,2.779062083636375,7
2017-09-11,2.7729434804648116,5
2017-09-15,2.767620268381541,4
2017-09-26,2.7618912992761473,11
2017-10-01,2.756356506371547,5
2017-10-16,2.7507161923884436,15
2017-10-17,2.7501072913942974,1
2017-10-21,2.751954907408282,4
2017-11-02,2.750657142857143,12
2017-11-05,2.7520714285714285,3
2017-11-10,2.752905391680459,5
2017-11-18,2.7549,8
2017-11-25,2.755443497550509,7
2017-12-04,2.6505,9
2017-12-05,2.670686562505461,1
2017-12-15,2.5731,10
2017-12-20,2.6047125,5
2017-12-25,2.556834220463889,5
2018-01-04,2.5484010307691753,10
2018-01-05,2.5146,1
2018-01-14,2.398725,9
2018-01-21,2.2828500000000003,7
2018-01-24,2.2191644092025458,3
2018-01-29,2.0511,5
2018-02-03,2.011318658207205,5
2018-02-06,2.0214,3
2018-02-08,1.9998949057550213,2
2018-02-13,1.9940945053432892,5
2018-02-18,1.9768500000000002,5
2018-02-22,1.9620000000000002,4
2018-02-23,1.9562000000000002,1
2018-02-28,1.9504000000000001,5
2018-03-05,1.9445999999999999,5
2018-03-10,1.9388,5
2018-03-15,1.9330000000000003,5
2018-03-20,1.9272000000000002,5
2018-03-25,1.9214000000000002,5
2018-03-26,1.9156000000000002,1
2018-03-30,1.9119518140366005,4
2018-04-04,1.8108000000000002,5
2018-04-09,1.7118,5
2018-04-11,1.654574254016415,2
2018-04-14,1.574608921373538,3
2018-04-24,1.6146,10
2018-04-27,1.557,3
2018-04-29,1.6164,2
2018-05-04,1.5877273228658382,5
2018-05-09,1.6031002604811966,5
2018-05-13,1.5964454204859595,4
2018-05-14,1.6008066194868034,1
2018-05-19,1.5996583907882276,5
2018-05-24,1.6012652464552064,5
2018-05-29,1.6014940417659,5
2018-06-03,1.6024117935210755,5
2018-06-08,1.7758285714285715,5
2018-06-13,1.7792454393729742,5
2018-06-14,1.9289571428571428,1
2018-06-18,1.94348485120613,4
2018-06-23,2.0820857142857143,5
2018-06-28,2.1012816847079523,5
2018-06-30,2.179774162282365,2
2018-07-03,2.1411,3
2018-07-08,2.2443520816806415,5
2018-07-13,2.4649071428571427,5
2018-07-18,2.439492627205964,5
2018-07-23,2.6180357142857145,5
2018-07-28,2.6946,5
2018-08-01,2.7023142857142854,4
2018-08-02,2.7100285714285715,1
2018-08-07,2.717742857142857,5
2018-08-12,2.725457142857143,5
2018-08-17,2.7331714285714286,5
2018-08-22,2.7377476592861862,5
2018-08-27,2.7486,5
2018-09-01,2.7515979681336646,5
2018-09-02,2.7423,1
2018-09-06,2.7435180534953982,4
2018-09-11,2.73915,5
2018-09-21,2.739618318395391,10
2018-09-26,2.737668597489392,5
2018-10-01,2.736927285337081,5
2018-10-04,2.7294,3
2018-10-06,2.7261,2
2018-10-11,2.7241580609316745,5
2018-10-16,2.7215358111234127,5
2018-10-20,2.7162,4
2018-10-21,2.7067909090909095,1
2018-10-26,2.7045813559353253,5
2018-10-31,2.6954475704916003,5
2018-11-05,2.6785636363636365,5
2018-11-10,2.6064,5
2018-11-15,2.6597454545454546,5
2018-11-20,2.5335,5
2018-11-21,2.5866073753838834,1
2018-11-25,2.5501411516220145,4
2018-11-30,2.622109090909091,5
2018-12-07,2.6127000000000002,7
2018-12-10,2.607150839076481,3
2018-12-15,2.5705354294779474,5
2018-12-20,2.519944540350765,5
2018-12-23,2.3619000000000003,3
2018-12-25,2.372307530324226,2
2018-12-30,2.2986391325479754,5
2019-01-04,2.1738,5
2019-01-08,2.1111,4
2019-01-09,2.0484,1
2019-01-14,1.8396,5
2019-01-19,1.923,5
2019-01-24,1.8154571828413282,5
2019-01-29,1.8603,5
2019-02-03,1.8603,5
2019-02-08,1.8603,5
2019-02-09,1.8603,1
2019-02-13,1.8603,4
2019-02-18,1.8603,5
2019-02-23,1.8603,5
2019-02-25,1.8603,2
2019-02-28,1.8603,3
2019-03-05,1.8603,5
2019-03-10,1.8603,5
2019-03-13,1.8603,3
2019-03-15,1.8602999999999998,2
2019-03-20,1.8603,5
2019-03-25,1.8603,5
2019-03-29,1.8603,4
2019-03-30,1.8603,1
2019-04-04,1.8603,5
2019-04-09,1.8603,5
2019-04-14,1.8603,5
2019-04-19,1.8603,5
2019-04-24,1.8603,5
2019-04-29,1.8603,5
2019-04-30,1.8603,1
2019-05-04,1.8603,4
2019-05-09,1.8603,5
2019-05-14,1.8603,5
2019-05-16,1.8603,2
2019-05-19,1.8603,3
2019-05-24,1.8603,5
2019-05-29,1.8602999999999998,5
2019-06-01,1.8602999999999998,3
2019-06-03,1.8603,2
2019-06-08,1.8603,5
2019-06-13,1.8603,5
2019-06-17,1.8603,4
2019-06-18,1.8603,1
2019-06-23,1.8603,5
2019-06-28,1.8603,5
