date,area,days_passed
2017-07-29,2.1402,0
2017-08-02,2.4228,4
2017-08-14,2.799,12
2017-08-17,2.7912857142857144,3
2017-08-30,2.7835714285714284,13
2017-09-06,2.775857142857143,7
2017-09-11,2.7681428571428572,5
2017-09-15,2.7604285714285717,4
2017-09-26,2.755913300190343,11
2017-10-01,2.745,5
2017-10-16,2.7420753508517905,15
2017-10-17,2.7478285714285713,1
2017-10-21,2.7464920633537853,4
2017-11-02,2.750657142857143,12
2017-11-05,2.750115009321652,3
2017-11-10,2.7534857142857145,5
2017-11-18,2.753340849162211,8
2017-11-25,2.754953809608261,7
2017-12-04,2.6948250000000002,9
2017-12-05,2.6923424268201583,1
2017-12-15,2.63475,10
2017-12-20,2.6047125,5
2017-12-25,2.547,5
2018-01-04,2.4714,10
2018-01-05,2.5146,1
2018-01-14,2.1096,9
2018-01-21,2.2828500000000003,7
2018-01-24,2.0821131156078287,3
2018-01-29,2.0628642396136483,5
2018-02-03,1.9523077480722526,5
2018-02-06,2.0214,3
2018-02-08,1.8009,2
2018-02-13,1.9917000000000002,5
2018-02-18,1.8805588409042133,5
2018-02-22,1.9620000000000002,4
2018-02-23,1.9562000000000002,1
2018-02-28,1.9504000000000001,5
2018-03-05,1.9446,5
2018-03-10,1.9388,5
2018-03-15,1.9351618914821993,5
2018-03-20,1.9272000000000002,5
2018-03-25,1.9214000000000002,5
2018-03-26,1.9156000000000002,1
2018-03-30,1.9098000000000002,4
2018-04-04,1.8108000000000002,5
2018-04-09,1.7117999999999998,5
2018-04-11,1.6127999999999998,2
2018-04-14,1.6137,3
2018-04-24,1.6146,10
2018-04-27,1.6155,3
2018-04-29,1.6160963557949324,2
2018-05-04,1.6173,5
2018-05-09,1.6182,5
2018-05-13,1.6191,4
2018-05-14,1.62,1
2018-05-19,1.6209,5
2018-05-24,1.6218000000000001,5
2018-05-29,1.6227,5
2018-06-03,1.6232956011398534,5
2018-06-08,1.7758285714285715,5
2018-06-13,1.7902444848665906,5
2018-06-14,1.9289571428571428,1
2018-06-18,1.9492494980452773,4
2018-06-23,2.0820857142857143,5
2018-06-28,2.104290735630012,5
2018-06-30,2.1813420502604743,2
2018-07-03,2.1411,3
2018-07-08,2.24516647536936,5
2018-07-13,2.4649071428571427,5
2018-07-18,2.439914499798774,5
2018-07-23,2.6180357142857145,5
2018-07-28,2.6946,5
2018-08-01,2.7023142857142854,4
2018-08-02,2.7458397913068535,1
2018-08-07,2.717742857142857,5
2018-08-12,2.740284840421624,5
2018-08-17,2.7331714285714286,5
2018-08-22,2.7408857142857146,5
2018-08-27,2.7486,5
2018-09-01,2.7531718140320334,5
2018-09-02,2.7533864812143194,1
2018-09-06,2.749840310697531,4
2018-09-11,2.7490331431548034,5
2018-09-21,2.7477159473675643,10
2018-09-26,2.746653353250164,5
2018-10-01,2.7454631253601107,5
2018-10-04,2.7294,3
2018-10-06,2.7261,2
2018-10-11,2.7241580609316745,5
2018-10-16,2.7215358111234127,5
2018-10-20,2.7162,4
2018-10-21,2.7067909090909095,1
2018-10-26,2.7045813559353253,5
2018-10-31,2.6954475704916003,5
2018-11-05,2.6785636363636365,5
2018-11-10,2.669154545454546,5
2018-11-15,2.6636247822221804,5
2018-11-20,2.5929,5
2018-11-21,2.640927272727273,1
2018-11-25,2.631518181818182,4
2018-11-30,2.622109090909091,5
2018-12-07,2.6127000000000002,7
2018-12-10,2.607150839076481,3
2018-12-15,2.4873000000000003,5
2018-12-20,2.4246000000000003,5
2018-12-23,2.3619000000000003,3
2018-12-25,2.2446,2
2018-12-30,2.1537,5
2019-01-04,2.1336482167454016,5
2019-01-08,2.1111,4
2019-01-09,2.055153836913648,1
2019-01-14,1.9857,5
2019-01-19,1.923,5
2019-01-24,1.8603,5
2019-01-29,1.8603,5
2019-02-03,1.8603,5
2019-02-08,1.8603,5
2019-02-09,1.8603,1
2019-02-13,1.8603,4
2019-02-18,1.8603,5
2019-02-23,1.8603,5
2019-02-25,1.8603,2
2019-02-28,1.8603,3
2019-03-05,1.8603,5
2019-03-10,1.8603,5
2019-03-13,1.8603,3
2019-03-15,1.8603,2
2019-03-20,1.8603,5
2019-03-25,1.8603,5
2019-03-29,1.8603,4
2019-03-30,1.8603,1
2019-04-04,1.8603,5
2019-04-09,1.8603,5
2019-04-14,1.8603,5
2019-04-19,1.8603,5
2019-04-24,1.8603,5
2019-04-29,1.8603,5
2019-04-30,1.8603,1
2019-05-04,1.8603,4
2019-05-09,1.8603,5
2019-05-14,1.8603,5
2019-05-16,1.8603,2
2019-05-19,1.8603,3
2019-05-24,1.8603,5
2019-05-29,1.8603,5
2019-06-01,1.8603,3
2019-06-03,1.8603,2
2019-06-08,1.8603,5
2019-06-13,1.8603,5
2019-06-17,1.8603,4
2019-06-18,1.8603,1
2019-06-23,1.8603,5
2019-06-28,1.7901,5
