date,area,days_passed
2017-07-16,2.4957,0
2017-07-20,2.5569,4
2017-07-21,2.8872,1
2017-07-31,1.9971,10
2017-08-05,2.5326,5
2017-08-15,2.5182,10
2017-08-20,2.5182,5
2017-08-21,2.3706,1
2017-08-25,2.5326,4
2017-08-30,2.5326,5
2017-09-06,1.5147,7
2017-09-09,1.6704,3
2017-09-14,2.3247,5
2017-09-19,2.5326,5
2017-09-22,2.1942,3
2017-09-24,2.0331,2
2017-10-04,2.6307,10
2017-10-08,2.331,4
2017-10-09,2.5326,1
2017-10-14,2.5326,5
2017-10-19,1.7343,5
2017-10-24,2.7702,5
2017-10-29,2.7702,5
2017-11-03,2.5326,5
2017-11-08,2.2428,5
2017-11-09,2.5776,1
2017-11-13,2.5776,4
2017-11-18,2.5326,5
2017-11-23,2.5326,5
2017-11-25,2.3688,2
2017-11-28,1.4094,3
2017-12-03,2.7522,5
2017-12-08,1.7721,5
2017-12-11,2.2239,3
2017-12-13,2.034,2
2017-12-18,2.2374,5
2017-12-23,2.360748194395664,5
2017-12-27,2.518190768971334,4
2017-12-28,2.5497789388597907,1
2018-01-02,2.5331286332951053,5
2018-01-07,2.5405947514792846,5
2018-01-12,2.5479,5
2018-01-17,2.5326,5
2018-01-22,2.539390500736693,5
2018-01-27,2.535136900284407,5
2018-01-28,2.537578891667304,1
2018-02-06,2.537846234672529,9
2018-02-11,2.539200823473873,5
2018-02-13,2.6154,2
2018-02-16,2.6154,3
2018-02-21,2.5335,5
2018-02-26,2.575956271788299,5
2018-03-01,2.5562219946835327,3
2018-03-03,2.567588758391245,2
2018-03-08,2.5011,5
2018-03-13,2.535823723622724,5
2018-03-17,2.5199310777056874,4
2018-03-18,2.4813,1
2018-03-23,2.4957,5
2018-03-28,2.489949200499165,5
2018-04-02,2.5569,5
2018-04-07,2.5569,5
2018-04-12,2.6334,5
2018-04-17,2.5326,5
2018-04-18,2.5326,1
2018-04-22,2.5326,4
2018-04-27,2.520978509432217,5
2018-05-02,2.5326,5
2018-05-04,2.5326,2
2018-05-07,2.4192,3
2018-05-12,2.464326254409391,5
2018-05-17,2.4302953493872534,5
2018-05-20,2.4357627333612313,3
2018-05-22,2.421493933096779,2
2018-06-01,2.4170592389768633,10
2018-06-05,2.3816583093683095,4
2018-06-06,2.3353447447935696,1
2018-06-11,2.2938524243154,5
2018-06-16,2.2493644245989564,5
2018-06-21,2.2057287726239587,5
2018-06-26,2.161014872258608,5
2018-07-01,2.1161513113119024,5
2018-07-06,2.0706494975716634,5
2018-07-07,2.024719814724397,1
2018-07-11,1.9782244200865908,4
2018-07-16,1.9311948642200147,5
2018-07-21,1.8835758467528947,5
2018-07-23,1.8353514529556652,2
2018-07-26,1.8126084724742075,3
2018-07-31,1.8021110627478998,5
2018-08-05,1.7854271641080568,5
2018-08-08,1.7717340253878056,3
2018-08-10,1.7564603452941194,2
2018-08-15,1.7418807492303783,5
2018-08-24,1.7268611235959124,9
2018-08-25,1.7119644810959418,1
2018-08-30,1.696908849801332,5
2018-09-04,1.6545214285714287,5
2018-09-09,1.6349142857142858,5
2018-09-14,1.615307142857143,5
2018-09-19,1.6026659044175182,5
2018-09-24,1.5864531803137123,5
2018-09-25,1.6106071442415342,1
2018-09-29,1.652343411139958,4
2018-10-04,1.7833800000000002,5
2018-10-09,1.8303000000000003,5
2018-10-11,1.8620850563234335,2
2018-10-14,1.9009657104837154,3
2018-10-19,1.97106,5
2018-10-24,2.01798,5
2018-10-27,2.0649,3
2018-10-29,2.1118200000000003,2
2018-11-03,2.1423128961258384,5
2018-11-08,2.180635151947945,5
2018-11-12,2.2145718208190863,4
2018-11-18,2.250294255039061,6
2018-11-23,2.2847054134274023,5
2018-11-28,2.3193783998406134,5
2018-12-03,2.3535325518978776,5
2018-12-08,2.48718,5
2018-12-13,2.5341,5
2018-12-14,2.58102,1
2018-12-18,2.610067550960248,4
2018-12-23,2.6748600000000002,5
2018-12-28,2.7217800000000003,5
2018-12-30,2.7687000000000004,2
2019-01-02,2.8156200000000005,3
2019-01-07,2.8625400000000005,5
2019-01-12,2.890974217409211,5
2019-01-15,2.928396046941242,3
2019-01-17,3.0033000000000003,2
2019-01-22,2.9916000000000005,5
2019-01-27,3.016883849340824,5
2019-01-31,2.9915636844799693,4
2019-02-01,2.9914918730777322,1
2019-02-06,2.978795731885923,5
2019-02-11,2.972384622250944,5
2019-02-16,2.962817236505568,5
2019-02-21,2.8921875000000004,5
2019-02-26,2.862975,5
2019-03-03,2.8462351273095363,5
2019-03-04,2.8231667508975864,1
2019-03-08,2.8031341727785284,4
2019-03-13,2.781470888495503,5
2019-03-18,2.7604995786509487,5
2019-03-20,2.7390614671935625,2
2019-03-23,2.7177318133906474,3
2019-03-28,2.696222153313996,5
2019-04-02,2.674674143560284,5
2019-04-05,2.65301517365294,3
2019-04-07,2.631279279229224,2
2019-04-12,2.6094473272873997,5
2019-04-17,2.5875265962300085,5
2019-04-21,2.5655111468431993,4
2019-04-22,2.543401551399996,1
2019-04-27,2.521195067698165,5
2019-05-02,2.4988905278518336,5
2019-05-07,2.476485901091759,5
2019-05-12,2.453979503438915,5
2019-05-17,2.278725,5
2019-05-22,2.333394456530614,5
2019-05-23,2.2203,1
2019-05-27,2.1984000000000004,4
2019-06-01,2.1447,5
2019-06-06,2.1546000000000003,5
2019-06-08,2.1177,2
2019-06-11,2.1108000000000002,3
2019-06-16,2.0901165816206406,5
2019-06-21,2.0888999999999998,5
2019-06-24,2.0888999999999998,3
2019-06-26,2.0466,2
