date,area,days_passed
2017-07-16,2.5182,0
2017-07-20,2.5569,4
2017-07-21,2.8872,1
2017-07-31,2.1384,10
2017-08-05,2.5326,5
2017-08-15,2.5506,10
2017-08-20,2.5506,5
2017-08-21,2.4885,1
2017-08-25,2.5326,4
2017-08-30,2.5326,5
2017-09-06,1.6704,7
2017-09-09,1.9089,3
2017-09-14,2.4309,5
2017-09-19,2.5326,5
2017-09-22,2.1042,3
2017-09-24,1.9638,2
2017-10-04,2.0727,10
2017-10-08,2.4048,4
2017-10-09,2.5326,1
2017-10-14,2.5326,5
2017-10-19,1.8171,5
2017-10-24,1.8819,5
2017-10-29,1.7892,5
2017-11-03,2.5326,5
2017-11-08,2.097,5
2017-11-09,1.9728,1
2017-11-13,1.9161,4
2017-11-18,2.5326,5
2017-11-23,2.5326,5
2017-11-25,2.1879,2
2017-11-28,2.0484,3
2017-12-03,2.5911,5
2017-12-08,2.5911,5
2017-12-11,2.2239,3
2017-12-13,2.4456,2
2017-12-18,2.6673,5
2017-12-23,2.825834490594557,5
2017-12-27,3.0083329162363603,4
2017-12-28,3.0489902192696765,1
2018-01-02,2.8512,5
2018-01-07,2.8854,5
2018-01-12,2.8673301605809023,5
2018-01-17,2.875392184920061,5
2018-01-22,2.8827000000000003,5
2018-01-27,2.8842600000000003,5
2018-01-28,2.883838199818369,1
2018-02-06,2.8873800000000003,9
2018-02-11,2.8889400000000003,5
2018-02-13,2.8905000000000003,2
2018-02-16,2.89206,3
2018-02-21,2.8936200000000003,5
2018-02-26,2.89518,5
2018-03-01,2.89674,3
2018-03-03,2.8983,2
2018-03-08,2.8998599999999994,5
2018-03-13,2.90142,5
2018-03-17,2.90298,4
2018-03-18,2.90454,1
2018-03-23,2.9061,5
2018-03-28,2.907011939398928,5
2018-04-02,2.900897507772602,5
2018-04-07,2.890928058418629,5
2018-04-12,2.8581,5
2018-04-17,2.8615026961645773,5
2018-04-18,2.8341,1
2018-04-22,2.834793166272573,4
2018-04-27,2.8101000000000003,5
2018-05-02,2.8094353507830867,5
2018-05-04,2.7967549036342145,2
2018-05-07,2.790052855262933,3
2018-05-12,2.7288,5
2018-05-17,2.746466739272227,5
2018-05-20,2.7247153627538396,3
2018-05-22,2.7261,2
2018-06-01,2.5326,10
2018-06-05,2.5326,4
2018-06-06,2.46503114262426,1
2018-06-11,2.462746153846154,5
2018-06-16,2.3969076923076926,5
2018-06-21,2.331069230769231,5
2018-06-26,2.265230769230769,5
2018-07-01,2.227395758297249,5
2018-07-06,2.1749575449596645,5
2018-07-07,2.128960122872079,1
2018-07-11,2.078961476559354,4
2018-07-16,2.030084883819563,5
2018-07-21,1.9797570725316487,5
2018-07-23,1.9292035664274152,2
2018-07-26,1.9052308909885523,3
2018-07-31,1.894230445603587,5
2018-08-05,1.8766771289527129,5
2018-08-08,1.8622924228152762,3
2018-08-10,1.8462339489522424,2
2018-08-15,1.8309112300257075,5
2018-08-24,1.815122906492413,9
2018-08-25,1.7994653875748101,1
2018-08-30,1.783639989251677,5
2018-09-04,1.7677935808542393,5
2018-09-09,1.7518511755092887,5
2018-09-14,1.7358481613542165,5
2018-09-19,1.7197649252185057,5
2018-09-24,1.7036091634670125,5
2018-09-25,1.7289134140667959,1
2018-09-29,1.7740378625374058,4
2018-10-04,1.7833800000000002,5
2018-10-09,1.8303000000000003,5
2018-10-11,1.87722,2
2018-10-14,1.908757695479967,3
2018-10-19,1.97106,5
2018-10-24,1.9942380558144128,5
2018-10-27,2.036662234476999,3
2018-10-29,2.1118200000000003,2
2018-11-03,2.15874,5
2018-11-08,2.20566,5
2018-11-12,2.25258,4
2018-11-18,2.2995,6
2018-11-23,2.34642,5
2018-11-28,2.3761074494259775,5
2018-12-03,2.4402600000000003,5
2018-12-08,2.48718,5
2018-12-13,2.5341,5
2018-12-14,2.58102,1
2018-12-18,2.62794,4
2018-12-23,2.6748600000000002,5
2018-12-28,2.7217800000000003,5
2018-12-30,2.7687000000000004,2
2019-01-02,2.8156200000000005,3
2019-01-07,2.8625400000000005,5
2019-01-12,2.890974217409211,5
2019-01-15,2.95638,3
2019-01-17,3.0033000000000003,2
2019-01-22,3.031475420340567,5
2019-01-27,2.9799,5
2019-01-31,2.9682,4
2019-02-01,2.9614459825263024,1
2019-02-06,2.9522046008802274,5
2019-02-11,2.9441871511966964,5
2019-02-16,2.935540527535657,5
2019-02-21,2.927189852469717,5
2019-02-26,2.9091538521730036,5
2019-03-03,2.886383567311259,5
2019-03-04,2.8658550274766723,1
2019-03-08,2.844091303000855,4
2019-03-13,2.822822616234673,5
2019-03-18,2.801185278933955,5
2019-03-20,2.7796076157692884,2
2019-03-23,2.757874358961758,3
2019-03-28,2.7360907416027915,5
2019-04-02,2.7142023169153107,5
2019-04-05,2.692234105044811,3
2019-04-07,2.67017149172186,2
2019-04-12,2.6480195373446223,5
2019-04-17,2.625773440352752,5
2019-04-21,2.6034332420257105,4
2019-04-22,2.5809965018072374,1
2019-04-27,2.5584619411237948,5
2019-05-02,2.5358276260144477,5
2019-05-07,2.513091868449406,5
2019-05-12,2.49025277401135,5
2019-05-17,2.4673084631974422,5
2019-05-22,2.444256957181344,5
2019-05-23,2.421096230335625,1
2019-05-27,2.397824179486601,4
2019-06-01,2.378853804405411,5
2019-06-06,2.3619796215405757,5
2019-06-08,2.3439631766881925,2
2019-06-11,2.3264161882560246,3
2019-06-16,2.3085343155087585,5
2019-06-21,2.2907166386997475,5
2019-06-24,2.286272577022435,3
2019-06-26,2.2884946078610913,2
