date,area,days_passed
2017-07-21,4.731,0
2017-07-26,4.9425,5
2017-07-28,5.154,2
2017-07-29,5.300417458684683,1
2017-08-02,5.475886261096915,4
2017-08-14,5.9433,12
2017-08-15,6.0309,1
2017-08-17,6.338589999392353,2
2017-08-30,6.450055388051904,13
2017-09-06,6.657335858868392,7
2017-09-11,6.812610093691403,5
2017-09-15,7.348071428571428,4
2017-09-19,7.339571165300883,4
2017-09-24,7.651199999999999,5
2017-09-26,7.662449854829295,2
2017-10-01,7.789199999999999,5
2017-10-09,7.801060198164169,8
2017-10-14,7.82470909090909,5
2017-10-16,7.842463636363636,2
2017-10-17,7.8602181818181815,1
2017-10-21,7.877972727272727,4
2017-11-02,7.895727272727272,12
2017-11-03,7.906113420948736,1
2017-11-05,7.9201711146765446,2
2017-11-08,7.932375951266843,3
2017-11-10,7.94549241978399,2
2017-11-18,7.9845,8
2017-11-23,7.9618199999999995,5
2017-11-25,7.970524055472186,2
2017-11-28,7.91646,3
2017-12-04,7.89378,6
2017-12-05,7.880653099843096,1
2017-12-08,7.862729272174741,3
2017-12-13,7.82574,5
2017-12-15,7.8197286364905585,2
2017-12-18,7.780379999999999,3
2017-12-20,7.7577,2
2017-12-25,7.73502,5
2017-12-28,7.712339999999999,3
2018-01-02,7.689659999999999,5
2018-01-04,7.66698,2
2018-01-05,7.644299999999999,1
2018-01-14,7.592549999999999,9
2018-01-17,7.578216260134508,3
2018-01-21,7.52424,4
2018-01-22,7.50768,1
2018-01-24,7.49112,2
2018-01-27,7.474559999999999,3
2018-01-29,7.457999999999999,2
2018-02-03,7.448316226945121,5
2018-02-06,7.4266840193408,3
2018-02-08,7.402496859416879,2
2018-02-11,7.379529989327047,3
2018-02-13,7.355898415111662,2
2018-02-16,7.332542786731975,3
2018-02-18,7.308993170439467,2
2018-02-21,7.285483795632878,3
2018-02-22,7.261897370189677,1
2018-02-23,7.238292075610992,1
2018-02-26,7.198881498150268,3
2018-02-28,7.151509645252833,2
2018-03-03,6.925199999999999,3
2018-03-05,6.86445,2
2018-03-08,6.8037,3
2018-03-10,6.7429499999999996,2
2018-03-13,6.707318533494409,3
2018-03-15,6.6589524606743575,2
2018-03-18,6.5607,3
2018-03-20,6.4975499999999995,2
2018-03-23,6.461602991707282,3
2018-03-25,6.37125,2
2018-03-26,6.3081,1
2018-03-28,6.270680617067139,2
2018-03-30,6.1155,2
2018-04-02,6.027900000000001,3
2018-04-04,5.874,2
2018-04-07,5.7200999999999995,3
2018-04-09,5.5662,2
2018-04-11,5.4123,2
2018-04-12,5.339142857142856,1
2018-04-14,5.265985714285714,2
2018-04-17,5.192828571428571,3
2018-04-22,5.1196714285714275,5
2018-04-24,5.046514285714285,2
2018-04-27,4.973357142857142,3
2018-04-29,4.928175867703192,2
2018-05-04,4.827042857142857,5
2018-05-07,4.795323087903355,3
2018-05-09,4.680728571428571,2
2018-05-12,4.607571428571429,3
2018-05-13,4.534414285714285,1
2018-05-14,4.461257142857143,1
2018-05-17,4.3881,3
2018-05-19,4.341625981439795,2
2018-05-22,3.5780999999999996,3
2018-05-24,3.1731,2
2018-05-29,2.7680999999999996,5
2018-06-01,2.534827181615721,3
2018-06-03,3.183385714285714,2
2018-06-06,3.120962060687689,3
2018-06-08,3.41660579000159,2
2018-06-11,3.521743323272568,3
2018-06-13,3.71833325292944,2
2018-06-14,3.8625909128371636,1
2018-06-16,4.028469667964205,2
2018-06-18,4.178624953800478,2
2018-06-21,4.332443444488072,3
2018-06-23,4.480358245866978,2
2018-06-26,4.627506371567109,3
2018-06-28,4.771516190581127,2
2018-06-30,4.9138063808784,2
2018-07-01,5.05384911576518,1
2018-07-03,5.192085597843711,2
2018-07-06,5.328449379156275,3
2018-07-08,5.463117176909447,2
2018-07-11,5.596130146686609,3
2018-07-13,5.727587180317506,2
2018-07-16,6.0309,3
2018-07-18,6.075656137843074,2
2018-07-21,6.228806956067667,3
2018-07-23,6.305030661803222,2
2018-07-26,6.418793749328252,3
2018-07-28,6.512440762555867,2
2018-08-01,6.615063062236156,4
2018-08-02,6.638096060166218,1
2018-08-05,6.625294586712412,3
2018-08-07,6.630409107528999,2
2018-08-10,6.6265661272867185,3
2018-08-12,6.627201524756649,2
2018-08-15,6.625597795023947,3
2018-08-17,6.62511347325029,2
2018-08-20,6.624069400484466,3
2018-08-22,6.623305101847915,2
2018-08-25,6.622400841928183,3
2018-08-27,6.621566474823258,2
2018-08-30,6.858,3
2018-09-01,6.76504962378739,2
2018-09-02,7.0497,1
2018-09-04,6.959901011687385,2
2018-09-06,7.0302402415606045,2
2018-09-09,6.992888260559487,3
2018-09-11,7.009376056524314,2
2018-09-14,6.9989465375950655,3
2018-09-19,7.001974047655262,5
2018-09-21,7.0056,2
2018-09-24,6.991994710198614,3
2018-09-26,6.986993568489501,2
2018-09-29,6.977686128270072,3
2018-10-01,6.970242393350387,2
2018-10-04,6.96157910301962,3
2018-10-06,6.953517884063789,2
2018-10-11,6.945148445874229,5
2018-10-14,6.936925645778203,3
2018-10-16,7.1577,2
2018-10-19,7.03468527715296,3
2018-10-20,7.083454684610515,1
2018-10-21,7.046375877143792,1
2018-10-24,7.2864,3
2018-10-26,7.17533187966655,2
2018-10-29,7.239879103277482,3
2018-10-31,7.216578476431835,2
2018-11-03,7.23721626063435,3
2018-11-05,7.2358720248867625,2
2018-11-08,7.245519632738135,3
2018-11-10,7.4511,2
2018-11-15,7.308,5
2018-11-18,7.3886689295726224,3
2018-11-20,7.357403614462342,2
2018-11-21,7.382124691382562,1
2018-11-23,7.378837354746093,2
2018-11-25,7.389556245979166,2
2018-11-28,7.3932654412591265,3
2018-11-30,7.400477209646563,2
2018-12-03,7.405933273887192,3
2018-12-07,7.4122638521591115,4
2018-12-08,7.418153305076063,1
2018-12-10,7.6176,2
2018-12-13,7.511102365289722,3
2018-12-15,7.3026,2
2018-12-18,7.400164889479991,3
2018-12-20,7.344740228122426,2
2018-12-23,7.365785280533169,3
2018-12-25,7.348605000719863,2
2018-12-28,7.350529604447054,3
2018-12-30,7.2351,2
2019-01-02,7.286195600059569,3
2019-01-04,7.254051806966094,2
2019-01-07,7.263513096529919,3
2019-01-08,7.252176150178186,1
2019-01-09,7.2512331581407246,1
2019-01-12,7.245092759048409,3
2019-01-14,7.241548261608217,2
2019-01-17,7.241955535680038,3
2019-01-19,7.245633362202389,2
2019-01-22,6.8031,3
2019-01-24,6.9993,2
2019-01-27,6.904892995010439,3
2019-01-29,6.75,2
2019-02-01,6.7740342682123345,3
2019-02-03,6.708699651604031,2
2019-02-06,6.687789846854662,3
2019-02-08,6.93,2
2019-02-09,6.93,1
2019-02-11,6.873578468471195,2
2019-02-13,6.845136127840719,2
2019-02-16,6.831089353441428,3
2019-02-18,6.838112740641073,2
2019-02-21,6.83460104704125,3
2019-02-23,6.836356893841161,2
2019-02-25,6.835478970441206,2
2019-02-26,6.835917932141184,1
2019-02-28,6.835698451291195,2
2019-03-03,6.83580819171619,3
2019-03-05,6.8357533215036925,2
2019-03-08,6.4809,3
2019-03-10,6.4809,2
2019-03-13,6.4809,3
2019-03-15,6.4809,2
2019-03-18,6.4809,3
2019-03-20,6.4809,2
2019-03-23,6.4809,3
2019-03-25,6.4809,2
2019-03-28,6.4809,3
2019-03-29,6.4809,1
2019-03-30,6.4809,1
2019-04-02,6.4809,3
2019-04-04,6.4809,2
2019-04-07,6.4809,3
2019-04-09,6.4809,2
2019-04-12,6.4809,3
2019-04-14,6.4809,2
2019-04-17,6.4809,3
2019-04-19,6.4809,2
2019-04-22,6.4809,3
2019-04-24,6.4809,2
2019-04-27,6.4809,3
2019-04-29,6.4809,2
2019-04-30,6.4809,1
2019-05-02,6.4809,2
2019-05-04,6.4809,2
2019-05-07,6.4809,3
2019-05-09,6.4809,2
2019-05-12,6.4809,3
2019-05-14,6.4809,2
2019-05-16,6.4809,2
2019-05-17,6.4809,1
2019-05-19,6.4809,2
2019-05-22,6.4809,3
2019-05-24,6.4809,2
2019-05-27,6.4809,3
2019-05-29,6.4809,2
2019-06-01,6.4809,3
2019-06-03,6.4809,2
2019-06-06,6.4809,3
2019-06-08,6.4809,2
2019-06-11,6.4809,3
2019-06-13,6.4809,2
2019-06-16,6.4809,3
2019-06-17,6.4809,1
2019-06-18,6.4809,1
2019-06-23,6.4809,5
2019-06-26,6.4809,3
2019-06-28,6.4809,2
