date,area,days_passed
2017-07-16,,0
2017-07-20,5.7816,4
2017-07-21,6.0165,1
2017-07-31,6.1848,10
2017-08-05,5.8221,5
2017-08-15,5.7816,10
2017-08-20,5.7816,5
2017-08-21,5.7816,1
2017-08-30,5.8617,9
2017-09-06,5.7771,7
2017-09-09,5.7816,3
2017-09-14,6.6465,5
2017-09-19,6.3,5
2017-09-22,6.3,3
2017-09-24,7.2108,2
2017-09-29,5.7816,5
2017-10-04,5.7816,5
2017-10-08,5.742,4
2017-10-09,6.8526,1
2017-10-14,5.7816,5
2017-10-19,5.9229,5
2017-10-24,6.8679,5
2017-10-29,6.8679,5
2017-11-03,5.7816,5
2017-11-08,7.1199,5
2017-11-09,7.9011,1
2017-11-13,6.2937,4
2017-11-18,5.7816,5
2017-11-23,7.3953,5
2017-11-25,7.3953,2
2017-11-28,6.6402,3
2017-12-03,6.9525,5
2017-12-08,7.0776,5
2017-12-11,5.7816,3
2017-12-13,8.5689,2
2017-12-18,6.5205,5
2017-12-23,6.5331,5
2017-12-27,11.2302,4
2017-12-28,6.6681,1
2018-01-02,6.2388,5
2018-01-07,9.2313,5
2018-01-12,8.145,5
2018-01-17,5.1039,5
2018-01-22,8.4696,5
2018-01-27,8.37618,5
2018-01-28,8.28276,1
2018-02-06,8.18934,9
2018-02-11,8.136503732239387,5
2018-02-13,8.0025,2
2018-02-16,7.909079999999999,3
2018-02-21,7.815659999999999,5
2018-02-26,7.722239999999999,5
2018-03-01,7.628819999999999,3
2018-03-03,7.5354,2
2018-03-08,7.481997133939538,5
2018-03-13,7.408228363000199,5
2018-03-17,7.344142257288529,4
2018-03-18,7.274774212022981,1
2018-03-23,7.207563569652849,5
2018-03-28,7.138799069871741,5
2018-04-02,7.07622,5
2018-04-07,7.0801799999999995,5
2018-04-12,7.08414,5
2018-04-17,7.0881,5
2018-04-18,7.09206,1
2018-04-22,7.09602,4
2018-04-27,7.0999799999999995,5
2018-05-02,7.1023282891101625,5
2018-05-04,7.105481718119774,2
2018-05-07,7.108231616885902,3
2018-05-12,7.111182443874201,5
2018-05-17,7.114031909247994,5
2018-05-20,7.116931189281952,3
2018-05-22,7.119804681232112,2
2018-06-01,7.139033333333333,10
2018-06-05,7.150366666666667,4
2018-06-06,7.157093813436901,1
2018-06-11,7.173033333333334,5
2018-06-16,7.184366666666667,5
2018-06-21,7.1956999999999995,5
2018-06-26,7.207033333333333,5
2018-07-01,7.213751361114674,5
2018-07-06,7.222771274842555,5
2018-07-07,7.230632516078936,1
2018-07-11,7.239066368478809,4
2018-07-16,7.247206712685547,5
2018-07-23,7.255486870890358,7
2018-07-26,7.263690074815098,3
2018-07-31,7.271924785959148,5
2018-08-05,7.309033333333334,5
2018-08-08,7.320366666666667,3
2018-08-10,7.3317,2
2018-08-15,6.9552,5
2018-08-20,7.3543666666666665,5
2018-08-24,7.3657,4
2018-08-25,7.372393309317054,1
2018-08-30,7.388366666666666,5
2018-09-04,7.3997,5
2018-09-09,7.406388162963937,5
2018-09-14,7.415393332730455,5
2018-09-19,7.4337,5
2018-09-24,7.43685,5
2018-09-25,7.443164397390647,1
2018-09-29,7.44315,4
2018-10-04,7.4463,5
2018-10-09,7.44945,5
2018-10-11,7.4526,2
2018-10-14,7.45575,3
2018-10-19,7.457602319633335,5
2018-10-24,7.46010305381101,5
2018-10-27,7.462279006344277,3
2018-10-29,7.46835,2
2018-11-03,7.4715,5
2018-11-08,7.47465,5
2018-11-12,7.4778,4
2018-11-18,7.479651429943898,6
2018-11-23,7.4841,5
2018-11-28,7.48725,5
2018-12-03,7.4904,5
2018-12-08,7.49355,5
2018-12-13,7.4967,5
2018-12-14,7.1307,1
2018-12-18,7.503,4
2018-12-23,7.32019113654522,5
2018-12-28,7.5093,5
2018-12-30,7.4181283180805835,2
2019-01-02,7.5156,3
2019-01-07,7.51875,5
2019-01-12,7.5219,5
2019-01-15,7.52505,3
2019-01-17,7.5282,2
2019-01-22,7.530049417648209,5
2019-01-27,7.601742857142857,5
2019-01-31,7.638514285714286,4
2019-02-01,7.675285714285714,1
2019-02-06,7.697007111972185,5
2019-02-11,7.6689,5
2019-02-16,7.722779910870196,5
2019-02-21,7.7142,5
2019-02-26,7.642799999999999,5
2019-03-03,7.601819407469531,5
2019-03-04,7.5454224032514565,1
2019-03-08,7.49644624400332,4
2019-03-13,7.4435075406791995,5
2019-03-18,7.392274755631466,5
2019-03-20,7.3399197284309,2
2019-03-23,7.287847717329766,3
2019-03-28,7.235354625889997,5
2019-04-02,7.182787182179061,5
2019-04-05,6.9288,3
2019-04-07,6.8574,2
2019-04-12,6.786,5
2019-04-17,6.7146,5
2019-04-21,6.6432,4
2019-04-22,6.601360769719789,1
2019-04-27,6.5444954027541575,5
2019-05-02,6.494805133406822,5
2019-05-07,6.441228431111335,5
2019-05-12,6.2862,5
2019-05-17,6.285281120465786,5
2019-05-22,5.7726,5
2019-05-23,5.952755525315416,1
2019-05-27,5.787645529390253,4
2019-06-01,5.704548470254695,5
2019-06-06,5.490108538490496,5
2019-06-08,5.1186,2
2019-06-11,5.044917010660452,3
2019-06-16,4.8204182148006804,5
2019-06-21,4.665231597749364,5
2019-06-24,4.61077043324066,3
2019-06-26,4.6419,2
