date,area,days_passed
2017-07-16,6.8823,0
2017-07-20,5.7816,4
2017-07-21,6.0165,1
2017-07-31,5.454,10
2017-08-05,5.7879,5
2017-08-15,5.7816,10
2017-08-20,5.7816,5
2017-08-21,5.7816,1
2017-08-30,5.8617,9
2017-09-06,5.7807,7
2017-09-09,5.7816,3
2017-09-14,6.6492,5
2017-09-19,6.3,5
2017-09-22,6.3,3
2017-09-24,7.2783,2
2017-09-29,5.7816,5
2017-10-04,5.7816,5
2017-10-08,5.7663,4
2017-10-09,6.7563,1
2017-10-14,5.7816,5
2017-10-19,5.7114,5
2017-10-24,6.912,5
2017-10-29,6.912,5
2017-11-03,5.7816,5
2017-11-08,7.3071,5
2017-11-09,8.2602,1
2017-11-13,6.6582,4
2017-11-18,5.7816,5
2017-11-23,6.9435,5
2017-11-25,8.307,2
2017-11-28,6.9516,3
2017-12-03,7.1847,5
2017-12-08,6.8454,5
2017-12-11,6.8454,3
2017-12-13,7.9092,2
2017-12-18,6.9282,5
2017-12-23,6.9966,5
2017-12-27,8.145,4
2017-12-28,7.1091,1
2018-01-02,6.7338,5
2018-01-07,8.6004,5
2018-01-12,8.7894,5
2018-01-17,5.0949,5
2018-01-22,8.4696,5
2018-01-27,8.37618,5
2018-01-28,8.28276,1
2018-02-06,8.18934,9
2018-02-11,8.136503732239387,5
2018-02-13,8.063052339842015,2
2018-02-16,7.909079999999999,3
2018-02-21,7.815659999999999,5
2018-02-26,7.722239999999999,5
2018-03-01,7.533,3
2018-03-03,7.528218760971745,2
2018-03-08,7.4311765196777015,5
2018-03-13,7.379615483496657,5
2018-03-17,6.9354,4
2018-03-18,6.8751,1
2018-03-23,7.0683,5
2018-03-28,7.0002,5
2018-04-02,7.07622,5
2018-04-07,7.042517590121294,5
2018-04-12,7.063686692303118,5
2018-04-17,7.0881,5
2018-04-18,7.09206,1
2018-04-22,7.09602,4
2018-04-27,7.098368513826436,5
2018-05-02,7.10394,5
2018-05-04,7.1079,2
2018-05-07,6.7851,3
2018-05-12,7.11582,5
2018-05-17,7.1197799999999996,5
2018-05-20,7.12374,3
2018-05-22,7.1277,2
2018-06-01,7.139033333333333,10
2018-06-05,7.150366666666667,4
2018-06-06,7.157093813436901,1
2018-06-11,7.173033333333334,5
2018-06-16,7.184366666666667,5
2018-06-21,7.1956999999999995,5
2018-06-26,7.207033333333333,5
2018-07-01,7.213751361114674,5
2018-07-06,7.222771274842555,5
2018-07-07,7.230632516078936,1
2018-07-11,7.239066368478809,4
2018-07-16,7.247206712685547,5
2018-07-23,7.255486870890358,7
2018-07-26,7.263690074815098,3
2018-07-31,7.271924785959148,5
2018-08-05,7.309033333333334,5
2018-08-08,7.320366666666667,3
2018-08-10,7.3317,2
2018-08-15,7.338398507787985,5
2018-08-20,7.3543666666666665,5
2018-08-24,7.3657,4
2018-08-25,7.372393309317054,1
2018-08-30,7.388366666666666,5
2018-09-04,7.392732644291065,5
2018-09-09,7.1082,5
2018-09-14,7.1082,5
2018-09-19,7.4337,5
2018-09-24,7.43685,5
2018-09-25,7.3647,1
2018-09-29,7.44315,4
2018-10-04,7.4463,5
2018-10-09,7.44945,5
2018-10-11,7.2711,2
2018-10-14,7.45575,3
2018-10-19,7.366810594122903,5
2018-10-24,7.4146863283005775,5
2018-10-27,7.394143496284595,3
2018-10-29,7.407814663505587,2
2018-11-03,7.4715,5
2018-11-08,7.47465,5
2018-11-12,7.0218,4
2018-11-18,7.251546935225346,6
2018-11-23,7.139942779277488,5
2018-11-28,7.48725,5
2018-12-03,7.316943682940811,5
2018-12-08,7.49355,5
2018-12-13,7.4967,5
2018-12-14,7.1982,1
2018-12-18,7.503,4
2018-12-23,7.50615,5
2018-12-28,7.3557,5
2018-12-30,7.51245,2
2019-01-02,7.5156,3
2019-01-07,7.51875,5
2019-01-12,7.5219,5
2019-01-15,7.52505,3
2019-01-17,7.526899542557978,2
2019-01-22,7.529398893090126,5
2019-01-27,7.549839213632495,5
2019-01-31,7.579529955928758,4
2019-02-01,7.604517315846307,1
2019-02-06,7.631790923178735,5
2019-02-11,7.657850347537804,5
2019-02-16,7.684449319487419,5
2019-02-21,7.71070993086554,5
2019-02-26,7.642799999999999,5
2019-03-03,7.600091799520078,5
2019-03-04,7.500000000000001,1
2019-03-08,7.0839,4
2019-03-13,7.3572,5
2019-03-18,7.2858,5
2019-03-20,7.2144,2
2019-03-23,7.143,3
2019-03-28,7.0716,5
2019-04-02,7.0001999999999995,5
2019-04-05,6.9288,3
2019-04-07,6.8574,2
2019-04-12,6.815767479641209,5
2019-04-17,6.7146,5
2019-04-21,6.6432,4
2019-04-22,6.5718,1
2019-04-27,6.5004,5
2019-05-02,6.458414769720006,5
2019-05-07,6.401469610792587,5
2019-05-12,6.2862,5
2019-05-17,6.265646725028089,5
2019-05-22,6.197607003929132,5
2019-05-23,6.152880573066401,1
2019-05-27,5.8336500000000004,4
2019-06-01,5.5953,5
2019-06-06,5.459895297879544,5
2019-06-08,5.26985494021229,2
2019-06-11,5.102477770964357,3
2019-06-16,4.919456668246356,5
2019-06-21,4.739286009836826,5
2019-06-24,4.694907153694875,3
2019-06-26,4.717096581765851,2
