date,area,days_passed
2017-07-29,7.164,0
2017-08-02,7.5114,4
2017-08-14,6.9003,12
2017-08-17,7.5276,3
2017-08-30,7.5267,13
2017-09-06,7.723303130613553,7
2017-09-11,7.818657261520304,5
2017-09-15,7.963454257771158,4
2017-09-26,8.081779283855013,11
2017-10-01,8.9964,5
2017-10-16,8.735958092683951,15
2017-10-17,9.009,1
2017-10-21,9.0153,4
2017-11-02,9.0216,12
2017-11-05,9.027899999999999,3
2017-11-10,9.0342,5
2017-11-18,9.0405,8
2017-11-25,9.04414536591028,7
2017-12-04,8.5293,9
2017-12-05,8.4798,1
2017-12-15,8.512750671537171,10
2017-12-20,8.504460135957249,5
2017-12-25,9.089100000000002,5
2018-01-04,8.805238060490709,10
2018-01-05,9.1053,1
2018-01-14,8.963862882122307,9
2018-01-21,8.9937,7
2018-01-24,8.919312308014968,3
2018-01-29,8.896789028189469,5
2018-02-03,8.825099999999999,5
2018-02-06,8.7681,3
2018-02-08,8.735460365637937,2
2018-02-13,8.690526320567647,5
2018-02-18,8.5971,5
2018-02-22,8.582456071773489,4
2018-02-23,8.431799999999999,1
2018-02-28,8.3235,5
2018-03-05,8.2152,5
2018-03-10,8.1069,5
2018-03-15,8.045006440295266,5
2018-03-20,7.8903,5
2018-03-25,7.782,5
2018-03-26,7.673699999999999,1
2018-03-30,7.5653999999999995,4
2018-04-04,7.4097,5
2018-04-09,6.9993,5
2018-04-11,7.040362767632765,2
2018-04-14,6.962727272727273,3
2018-04-24,6.845346600290409,10
2018-04-27,6.3954,3
2018-04-29,6.556009090909091,2
2018-05-04,6.331925920559565,5
2018-05-09,6.297644341275772,5
2018-05-13,6.168063257770992,4
2018-05-14,6.084590243976348,1
2018-05-19,5.9770456725404575,5
2018-05-24,5.880193305642584,5
2018-05-29,5.776753748952034,5
2018-06-03,5.675247442055773,5
2018-06-08,5.787304580624836,5
2018-06-13,6.000335798751885,5
2018-06-14,6.158097503388309,1
2018-06-18,6.340103379311786,4
2018-06-23,6.50623785415923,5
2018-06-28,6.677020997794759,5
2018-06-30,6.842229770734464,2
2018-07-03,7.00719714474105,3
2018-07-08,7.169368186968928,5
2018-07-13,7.5276,5
2018-07-18,7.59097145078073,5
2018-07-23,7.80075887651557,5
2018-07-28,7.934089498966019,5
2018-08-01,8.10364522212363,4
2018-08-02,8.152622386717706,1
2018-08-07,8.158845064085561,5
2018-08-12,8.186433273055602,5
2018-08-17,8.203286987214598,5
2018-08-22,8.225476465292747,5
2018-08-27,8.244956764897413,5
2018-09-01,8.265755533636906,5
2018-09-02,8.23264176436378,1
2018-09-06,8.17291702872892,4
2018-09-11,8.1126,5
2018-09-21,8.1126,10
2018-09-26,8.3079,5
2018-10-01,8.20870066652707,5
2018-10-04,8.25373529977432,3
2018-10-06,8.223667831525441,2
2018-10-11,8.4717,5
2018-10-16,8.34001286213817,5
2018-10-20,8.3981248152405,4
2018-10-21,8.442,1
2018-10-26,8.416890401871429,5
2018-10-31,8.43085802444609,5
2018-11-05,8.42528586633834,5
2018-11-10,8.42948406537819,5
2018-11-15,8.428796734199898,5
2018-11-20,8.5338,5
2018-11-21,8.482718691226806,1
2018-11-25,8.2575,4
2018-11-30,8.371510580108318,5
2018-12-07,8.315896982928352,7
2018-12-10,8.1279,3
2018-12-15,8.208604351182217,5
2018-12-20,8.2692,5
2018-12-23,8.2557,3
2018-12-25,8.2341068671618,2
2018-12-30,8.3754,5
2019-01-04,8.276068384608742,5
2019-01-08,8.296877000167456,4
2019-01-09,8.257651686951567,1
2019-01-14,8.248374885367767,5
2019-01-19,8.224107581926775,5
2019-01-24,8.2665,5
2019-01-29,8.64,5
2019-02-03,8.6535,5
2019-02-08,8.661376596310369,5
2019-02-09,8.672058243784873,1
2019-02-13,8.694,4
2019-02-18,8.7075,5
2019-02-23,8.721,5
2019-02-25,8.57334,2
2019-02-28,8.42568,3
2019-03-05,8.342512314086402,5
2019-03-10,7.5276,5
2019-03-13,7.9827,3
2019-03-15,7.603497202655946,2
2019-03-20,7.637663875782672,5
2019-03-25,7.53972,5
2019-03-29,7.39206,4
2019-03-30,7.307503356823128,1
2019-04-04,7.190478275990058,5
2019-04-09,6.949080000000001,5
2019-04-14,6.80142,5
2019-04-19,6.65376,5
2019-04-24,6.5061,5
2019-04-29,6.4521,5
2019-04-30,6.3981,1
2019-05-04,6.365551918716115,4
2019-05-09,6.322125626555435,5
2019-05-14,6.2839333883833275,5
2019-05-16,6.242942065055739,2
2019-05-19,6.20315300312573,3
2019-05-24,6.1625694537389135,5
2019-05-29,6.122183994937841,5
2019-06-01,6.0814993451484565,3
2019-06-03,6.0407606437622245,2
2019-06-08,5.9998429882257245,5
2019-06-13,5.958805811358638,5
2019-06-17,5.917616622655096,4
2019-06-18,5.876288665997472,1
2019-06-23,5.834812324581303,5
2019-06-28,5.793189296927631,5
