date,area (km2)
2017-07-29,12.293
2017-08-02,13.298
2017-08-14,16.208
2017-08-17,16.745
2017-08-30,16.708
2017-09-06,17.336
2017-09-11,17.62
2017-09-15,18.071
2017-09-26,18.431
2017-10-01,18.831
2017-10-10,19.205
2017-10-16,19.363
2017-10-17,19.398
2017-10-21,19.494
2017-10-26,19.56
2017-11-02,19.64
2017-11-11,19.713
2017-11-18,19.79
2017-11-25,17.554
2017-11-30,17.554
2017-12-04,16.371
2017-12-05,16.317
2017-12-15,16.24
2017-12-20,16.174
2017-12-25,16.102
2017-12-29,16.033
2018-01-04,15.962
2018-01-05,15.892
2018-01-09,15.821
2018-01-14,16.025
2018-01-21,16.36
2018-01-24,16.625
2018-01-29,16.922
2018-02-03,17.2
2018-02-06,17.361
2018-02-08,17.454
2018-02-13,17.581
2018-02-18,17.69
2018-02-22,17.808
2018-02-23,17.798
2018-02-28,17.874
2018-03-05,17.807
2018-03-10,17.811
2018-03-15,17.779
2018-03-20,17.766
2018-03-25,17.743
2018-03-26,17.556
2018-03-30,17.712
2018-04-04,17.605
2018-04-09,17.384
2018-04-11,17.268
2018-04-14,17.221
2018-04-19,17.064
2018-04-24,17.01
2018-04-27,16.904
2018-04-29,16.823
2018-05-04,16.73
2018-05-06,16.643
2018-05-09,16.552
2018-05-13,16.463
2018-05-14,16.372
2018-05-19,16.282
2018-05-22,16.191
2018-05-24,16.1
2018-05-29,16.009
2018-06-03,15.918
2018-06-08,16.009
2018-06-13,16.19
2018-06-14,16.326
2018-06-18,16.483
2018-06-23,16.628
2018-06-28,16.778
2018-06-30,16.925
2018-07-03,17.072
2018-07-13,17.218
2018-07-18,17.364
2018-07-23,17.56
2018-07-28,17.629
2018-08-01,17.556
2018-08-02,17.653
2018-08-07,17.509
2018-08-12,17.554
2018-08-17,17.554
2018-08-22,17.458
2018-08-27,17.554
2018-09-01,17.409
2018-09-02,18.329
2018-09-06,18.19
2018-09-11,18.564
2018-09-18,18.346
2018-09-21,18.423
2018-09-26,18.337
2018-10-01,18.348
2018-10-04,18.319
2018-10-06,18.318
2018-10-11,18.302
2018-10-16,18.294
2018-10-20,18.282
2018-10-21,18.575
2018-10-26,18.393
2018-10-29,18.428
2018-10-31,18.355
2018-11-05,17.758
2018-11-10,18.487
2018-11-15,18.067
2018-11-20,18.221
2018-11-21,18.088
2018-11-25,18.652
2018-11-30,17.665
2018-12-07,18.212
2018-12-10,17.883
2018-12-15,17.976
2018-12-20,18.543
2018-12-23,18.344
2018-12-25,18.529
2018-12-30,18.522
2019-01-04,18.425
2019-01-08,18.864
2019-01-09,18.199
2019-01-14,18.615
2019-01-19,18.49
2019-01-24,18.636
2019-01-29,18.646
2019-02-03,18.398
2019-02-08,18.457
2019-02-09,18.363
2019-02-13,18.345
2019-02-18,18.29
2019-02-23,18.253
2019-02-25,17.828
2019-02-28,17.951
2019-03-05,17.68
2019-03-10,17.503
2019-03-13,17.478
2019-03-15,17.376
2019-03-20,17.312
2019-03-25,17.229
2019-03-29,17.156
2019-03-30,17.077
2019-04-04,16.494
2019-04-09,15.971
2019-04-14,16.122
2019-04-19,15.936
2019-04-24,15.917
2019-04-29,15.815
2019-04-30,15.729
2019-05-04,15.609
2019-05-09,15.506
2019-05-14,15.394
2019-05-16,14.846
2019-05-19,14.842
2019-05-24,14.683
2019-05-25,14.6
